# BEGIN PLOT
DrawOnly=/REF/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/professor.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T3.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T4.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T5.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d17-x01-y01
Title=Log of scaled momentum, $\log(1/x_p)$ (charged)
RatioPlotReference=/REF/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot=0
LogY=1
XLabel=$\xi_p$
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{\xi_p}$
LegendYPos=0.8
Legend=1
FullRange=1
RatioPlot1=1
RatioPlot1DrawOnly=/REF/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/professor.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T3.yoda/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot1DrawReferenceFirst=0
RatioPlot1Reference=/REF/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot1SameStyle=1
RatioPlot1YLabel=MC/data
RatioPlot1YMajorTickMarks=20
RatioPlot1YMax=1.4999
RatioPlot1YMin=0.5001
RatioPlot1YSize=4
RatioPlot2=1
RatioPlot2DrawOnly=/REF/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T4.yoda/ALEPH_1996_S3486095/d17-x01-y01 
RatioPlot2DrawReferenceFirst=0
RatioPlot2Reference=/REF/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot2SameStyle=1
RatioPlot2YLabel=MC/data
RatioPlot2YMajorTickMarks=20
RatioPlot2YMax=1.4999
RatioPlot2YMin=0.5001
RatioPlot2YSize=4
RatioPlot3=1
RatioPlot3DrawOnly=/REF/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d17-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T5.yoda/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot3DrawReferenceFirst=0
RatioPlot3Reference=/REF/ALEPH_1996_S3486095/d17-x01-y01
RatioPlot3SameStyle=1
RatioPlot3YLabel=MC/data
RatioPlot3YMajorTickMarks=20
RatioPlot3YMax=1.4999
RatioPlot3YMin=0.5001
RatioPlot3YSize=4
# END PLOT

# BEGIN HISTO1D /REF/ALEPH_1996_S3486095/d17-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ALEPH_1996_S3486095/d17-x01-y01
PolyMarker=*
Title=\texttt{ALEPH_1996}
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	4.770000e-02	1.421267e-03	1.421267e-03
3.000000e-01	4.000000e-01	9.150000e-02	2.475884e-03	2.475884e-03
4.000000e-01	5.000000e-01	1.483000e-01	3.500000e-03	3.500000e-03
5.000000e-01	6.000000e-01	2.283000e-01	5.024938e-03	5.024938e-03
6.000000e-01	7.000000e-01	3.320000e-01	7.155418e-03	7.155418e-03
7.000000e-01	8.000000e-01	4.514000e-01	1.010198e-02	1.010198e-02
8.000000e-01	9.000000e-01	5.971000e-01	1.350296e-02	1.350296e-02
9.000000e-01	1.000000e+00	7.699000e-01	1.483273e-02	1.483273e-02
1.000000e+00	1.100000e+00	9.605000e-01	1.306790e-02	1.306790e-02
1.100000e+00	1.200000e+00	1.169000e+00	1.252996e-02	1.252996e-02
1.200000e+00	1.300000e+00	1.413000e+00	1.476482e-02	1.476482e-02
1.300000e+00	1.400000e+00	1.653000e+00	1.746425e-02	1.746425e-02
1.400000e+00	1.500000e+00	1.905000e+00	1.969772e-02	1.969772e-02
1.500000e+00	1.600000e+00	2.199000e+00	2.247221e-02	2.247221e-02
1.600000e+00	1.700000e+00	2.473000e+00	2.563201e-02	2.563201e-02
1.700000e+00	1.800000e+00	2.757000e+00	2.657066e-02	2.657066e-02
1.800000e+00	1.900000e+00	3.043000e+00	2.692582e-02	2.692582e-02
1.900000e+00	2.000000e+00	3.337000e+00	2.692582e-02	2.692582e-02
2.000000e+00	2.100000e+00	3.653000e+00	2.915476e-02	2.915476e-02
2.100000e+00	2.200000e+00	3.913000e+00	2.915476e-02	2.915476e-02
2.200000e+00	2.300000e+00	4.211000e+00	2.915476e-02	2.915476e-02
2.300000e+00	2.400000e+00	4.509000e+00	3.046309e-02	3.046309e-02
2.400000e+00	2.500000e+00	4.747000e+00	3.231099e-02	3.231099e-02
2.500000e+00	2.600000e+00	4.975000e+00	3.361547e-02	3.361547e-02
2.600000e+00	2.700000e+00	5.240000e+00	3.269557e-02	3.269557e-02
2.700000e+00	2.800000e+00	5.431000e+00	3.178050e-02	3.178050e-02
2.800000e+00	2.900000e+00	5.668000e+00	3.087070e-02	3.087070e-02
2.900000e+00	3.000000e+00	5.863000e+00	2.952965e-02	2.952965e-02
3.000000e+00	3.100000e+00	6.054000e+00	3.130495e-02	3.130495e-02
3.100000e+00	3.200000e+00	6.124000e+00	3.220248e-02	3.220248e-02
3.200000e+00	3.300000e+00	6.269000e+00	3.401470e-02	3.401470e-02
3.300000e+00	3.400000e+00	6.377000e+00	3.310589e-02	3.310589e-02
3.400000e+00	3.500000e+00	6.474000e+00	3.088689e-02	3.088689e-02
3.500000e+00	3.600000e+00	6.455000e+00	2.865310e-02	2.865310e-02
3.600000e+00	3.700000e+00	6.503000e+00	3.001666e-02	3.001666e-02
3.700000e+00	3.800000e+00	6.497000e+00	3.088689e-02	3.088689e-02
3.800000e+00	3.900000e+00	6.436000e+00	3.088689e-02	3.088689e-02
3.900000e+00	4.000000e+00	6.338000e+00	3.220248e-02	3.220248e-02
4.000000e+00	4.100000e+00	6.149000e+00	3.584690e-02	3.584690e-02
4.100000e+00	4.200000e+00	6.062000e+00	3.676955e-02	3.676955e-02
4.200000e+00	4.300000e+00	5.899000e+00	3.584690e-02	3.584690e-02
4.300000e+00	4.400000e+00	5.698000e+00	3.584690e-02	3.584690e-02
4.400000e+00	4.500000e+00	5.554000e+00	3.676955e-02	3.676955e-02
4.500000e+00	4.600000e+00	5.127000e+00	4.016217e-02	4.016217e-02
4.600000e+00	4.700000e+00	4.778000e+00	4.684015e-02	4.684015e-02
4.700000e+00	4.800000e+00	4.641000e+00	5.263079e-02	5.263079e-02
4.800000e+00	4.900000e+00	4.190000e+00	5.629387e-02	5.629387e-02
4.900000e+00	5.000000e+00	3.772000e+00	6.216912e-02	6.216912e-02
5.000000e+00	5.100000e+00	3.358000e+00	4.729693e-02	4.729693e-02
5.100000e+00	5.200000e+00	2.951000e+00	6.789698e-02	6.789698e-02
5.200000e+00	5.300000e+00	2.565000e+00	2.272202e-01	2.272202e-01
5.300000e+00	5.400000e+00	2.185000e+00	6.900725e-01	6.900725e-01
# END HISTO1D

# BEGIN HISTO1D /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d17-x01-y01
ErrorBandColor=green!80!white
ErrorBandOpacity=0.4
ErrorBands=1
LineColor=green!80!black
LineStyle=solid
Title=\texttt{Pythia8}:T1
Path=/home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d17-x01-y01
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	4.741500e-02	4.720000e-03	6.345000e-03
3.000000e-01	4.000000e-01	9.285000e-02	8.640000e-03	9.880000e-03
4.000000e-01	5.000000e-01	1.551700e-01	1.182500e-02	1.447000e-02
5.000000e-01	6.000000e-01	2.401300e-01	1.556000e-02	1.721500e-02
6.000000e-01	7.000000e-01	3.472600e-01	1.742500e-02	2.239000e-02
7.000000e-01	8.000000e-01	4.766150e-01	1.991000e-02	1.985000e-02
8.000000e-01	9.000000e-01	6.302000e-01	2.236500e-02	1.606000e-02
9.000000e-01	1.000000e+00	7.949200e-01	2.114000e-02	2.612000e-02
1.000000e+00	1.100000e+00	9.843450e-01	2.239000e-02	2.291000e-02
1.100000e+00	1.200000e+00	1.195740e+00	2.056000e-02	2.025000e-02
1.200000e+00	1.300000e+00	1.418630e+00	1.968000e-02	1.363000e-02
1.300000e+00	1.400000e+00	1.658965e+00	2.436500e-02	9.640000e-03
1.400000e+00	1.500000e+00	1.904780e+00	1.133000e-02	1.253000e-02
1.500000e+00	1.600000e+00	2.166040e+00	1.623500e-02	3.425000e-03
1.600000e+00	1.700000e+00	2.436395e+00	3.330000e-03	4.200000e-03
1.700000e+00	1.800000e+00	2.708020e+00	4.110000e-03	7.665000e-03
1.800000e+00	1.900000e+00	2.991415e+00	1.046500e-02	2.815000e-03
1.900000e+00	2.000000e+00	3.268980e+00	1.550500e-02	5.840000e-03
2.000000e+00	2.100000e+00	3.541200e+00	1.784500e-02	1.712500e-02
2.100000e+00	2.200000e+00	3.809795e+00	3.130000e-02	2.192000e-02
2.200000e+00	2.300000e+00	4.082800e+00	3.762500e-02	2.784000e-02
2.300000e+00	2.400000e+00	4.330535e+00	3.855500e-02	5.100500e-02
2.400000e+00	2.500000e+00	4.585580e+00	4.855500e-02	3.478500e-02
2.500000e+00	2.600000e+00	4.832445e+00	5.854000e-02	4.056500e-02
2.600000e+00	2.700000e+00	5.062355e+00	6.432000e-02	5.340000e-02
2.700000e+00	2.800000e+00	5.288060e+00	6.954000e-02	6.235500e-02
2.800000e+00	2.900000e+00	5.498860e+00	7.421500e-02	6.952500e-02
2.900000e+00	3.000000e+00	5.711315e+00	9.371000e-02	5.447500e-02
3.000000e+00	3.100000e+00	5.881950e+00	8.489500e-02	8.565500e-02
3.100000e+00	3.200000e+00	6.048335e+00	9.013500e-02	8.313000e-02
3.200000e+00	3.300000e+00	6.199580e+00	1.110100e-01	8.796500e-02
3.300000e+00	3.400000e+00	6.304940e+00	1.057300e-01	1.053850e-01
3.400000e+00	3.500000e+00	6.395525e+00	1.124450e-01	1.203850e-01
3.500000e+00	3.600000e+00	6.465990e+00	1.115250e-01	1.229700e-01
3.600000e+00	3.700000e+00	6.506915e+00	1.319950e-01	1.210350e-01
3.700000e+00	3.800000e+00	6.502800e+00	1.234350e-01	1.354200e-01
3.800000e+00	3.900000e+00	6.462120e+00	1.173300e-01	1.459750e-01
3.900000e+00	4.000000e+00	6.375940e+00	1.217950e-01	1.550100e-01
4.000000e+00	4.100000e+00	6.257350e+00	1.328550e-01	1.433800e-01
4.100000e+00	4.200000e+00	6.080770e+00	1.291150e-01	1.538250e-01
4.200000e+00	4.300000e+00	5.856585e+00	1.155550e-01	1.608450e-01
4.300000e+00	4.400000e+00	5.602460e+00	1.222150e-01	1.530100e-01
4.400000e+00	4.500000e+00	5.296510e+00	1.045550e-01	1.665000e-01
4.500000e+00	4.600000e+00	4.956580e+00	8.272000e-02	1.646900e-01
4.600000e+00	4.700000e+00	4.608520e+00	8.308000e-02	1.513350e-01
4.700000e+00	4.800000e+00	4.240300e+00	7.697500e-02	1.306750e-01
