# BEGIN PLOT
DrawOnly=/REF/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/professor.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T3.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T4.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T5.yoda/ALEPH_1996_S3486095/d25-x01-y01
Title=$\pi^\pm$ spectrum
RatioPlotReference=/REF/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot=0
LogY=1
XLabel=$x_p$
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{x_p}$
Legend=1
FullRange=1
RatioPlot1=1
RatioPlot1DrawOnly=/REF/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/professor.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T3.yoda/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot1DrawReferenceFirst=0
RatioPlot1Reference=/REF/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot1SameStyle=1
RatioPlot1YLabel=MC/data
RatioPlot1YMajorTickMarks=20
RatioPlot1YMax=1.4999
RatioPlot1YMin=0.5001
RatioPlot1YSize=4
RatioPlot2=1
RatioPlot2DrawOnly=/REF/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T4.yoda/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot2DrawReferenceFirst=0
RatioPlot2Reference=/REF/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot2SameStyle=1
RatioPlot2YLabel=MC/data
RatioPlot2YMajorTickMarks=20
RatioPlot2YMax=1.4999
RatioPlot2YMin=0.5001
RatioPlot2YSize=4
RatioPlot3=1
RatioPlot3DrawOnly=/REF/ALEPH_1996_S3486095/d25-x01-y01 /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/T5.yoda/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot3DrawReferenceFirst=0
RatioPlot3Reference=/REF/ALEPH_1996_S3486095/d25-x01-y01
RatioPlot3SameStyle=1
RatioPlot3YLabel=MC/data
RatioPlot3YMajorTickMarks=20
RatioPlot3YMax=1.4999
RatioPlot3YMin=0.5001
RatioPlot3YSize=4
# END PLOT

# BEGIN HISTO1D /REF/ALEPH_1996_S3486095/d25-x01-y01
ConnectBins=0
ErrorBars=1
Path=/REF/ALEPH_1996_S3486095/d25-x01-y01
PolyMarker=*
Title=\texttt{ALEPH_1996}
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-03	5.500000e-03	4.829000e+02	6.041523e+00	6.041523e+00
5.500000e-03	6.000000e-03	4.626000e+02	4.883646e+00	4.883646e+00
6.000000e-03	6.500000e-03	4.965000e+02	4.669047e+00	4.669047e+00
6.500000e-03	7.000000e-03	5.112000e+02	4.472136e+00	4.472136e+00
7.000000e-03	7.500000e-03	5.077000e+02	4.257934e+00	4.257934e+00
7.500000e-03	8.000000e-03	5.385000e+02	4.455334e+00	4.455334e+00
8.000000e-03	8.500000e-03	4.842000e+02	3.945884e+00	3.945884e+00
8.500000e-03	9.000000e-03	4.997000e+02	3.962323e+00	3.962323e+00
9.000000e-03	9.500000e-03	4.946000e+02	3.847077e+00	3.847077e+00
9.500000e-03	1.000000e-02	4.739000e+02	3.634556e+00	3.634556e+00
1.000000e-02	1.100000e-02	4.609000e+02	2.549510e+00	2.549510e+00
1.100000e-02	1.200000e-02	4.256000e+02	2.353720e+00	2.353720e+00
1.200000e-02	1.300000e-02	4.207000e+02	2.334524e+00	2.334524e+00
1.300000e-02	1.400000e-02	3.805000e+02	2.236068e+00	2.236068e+00
1.400000e-02	1.600000e-02	3.608000e+02	1.615549e+00	1.615549e+00
1.600000e-02	1.800000e-02	3.240000e+02	2.280351e+00	2.280351e+00
4.500000e-02	5.000000e-02	1.039600e+02	2.177200e+00	2.177200e+00
5.000000e-02	5.500000e-02	8.995000e+01	1.149478e+00	1.149478e+00
5.500000e-02	6.000000e-02	7.896000e+01	1.029563e+00	1.029563e+00
6.000000e-02	6.500000e-02	6.936000e+01	8.005623e-01	8.005623e-01
6.500000e-02	7.000000e-02	6.135000e+01	6.847627e-01	6.847627e-01
7.000000e-02	7.500000e-02	5.527000e+01	5.852350e-01	5.852350e-01
7.500000e-02	8.000000e-02	4.991000e+01	5.325411e-01	5.325411e-01
8.000000e-02	8.500000e-02	4.433000e+01	4.780167e-01	4.780167e-01
8.500000e-02	9.000000e-02	4.024000e+01	4.341659e-01	4.341659e-01
9.000000e-02	1.000000e-01	3.538000e+01	3.498571e-01	3.498571e-01
1.000000e-01	1.100000e-01	2.951000e+01	3.023243e-01	3.023243e-01
1.100000e-01	1.200000e-01	2.491000e+01	2.720294e-01	2.720294e-01
1.200000e-01	1.300000e-01	2.106000e+01	2.280351e-01	2.280351e-01
1.300000e-01	1.400000e-01	1.816000e+01	2.061553e-01	2.061553e-01
1.400000e-01	1.500000e-01	1.546000e+01	1.920937e-01	1.920937e-01
1.500000e-01	1.600000e-01	1.364000e+01	1.769181e-01	1.769181e-01
1.600000e-01	1.800000e-01	1.100000e+01	1.303840e-01	1.303840e-01
1.800000e-01	2.000000e-01	8.484000e+00	1.148564e-01	1.148564e-01
2.000000e-01	2.500000e-01	5.621000e+00	7.915807e-02	7.915807e-02
2.500000e-01	3.000000e-01	3.181000e+00	5.371220e-02	5.371220e-02
3.000000e-01	4.000000e-01	1.563000e+00	3.087070e-02	3.087070e-02
4.000000e-01	6.000000e-01	4.495000e-01	1.122542e-02	1.122542e-02
6.000000e-01	8.000000e-01	7.670000e-02	2.969848e-03	2.969848e-03
# END HISTO1D

# BEGIN HISTO1D /home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d25-x01-y01
ErrorBandColor=green!80!white
ErrorBandOpacity=0.4
ErrorBands=1
LineColor=green!80!black
LineStyle=solid
Title=\texttt{Pythia8}:T1
Path=/home/arhrib/Desktop/Adil/PhD/DarkMatter_QCD/Results/pythia-manual.yoda/ALEPH_1996_S3486095/d25-x01-y01
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-03	5.500000e-03	4.224560e+02	7.346000e+00	1.640900e+01
5.500000e-03	6.000000e-03	4.383700e+02	9.162000e+00	1.426400e+01
6.000000e-03	6.500000e-03	4.463070e+02	7.528000e+00	1.636500e+01
6.500000e-03	7.000000e-03	4.539660e+02	8.411000e+00	1.456700e+01
7.000000e-03	7.500000e-03	4.547390e+02	8.060000e+00	1.664600e+01
7.500000e-03	8.000000e-03	4.546130e+02	8.028000e+00	1.521300e+01
8.000000e-03	8.500000e-03	4.534820e+02	7.929000e+00	1.501600e+01
8.500000e-03	9.000000e-03	4.506250e+02	8.856000e+00	1.294900e+01
9.000000e-03	9.500000e-03	4.450020e+02	8.281000e+00	1.431800e+01
9.500000e-03	1.000000e-02	4.385340e+02	8.442000e+00	1.382800e+01
1.000000e-02	1.100000e-02	4.267175e+02	7.042000e+00	1.417200e+01
1.100000e-02	1.200000e-02	4.112395e+02	7.903000e+00	1.286000e+01
1.200000e-02	1.300000e-02	3.947755e+02	7.484000e+00	1.158100e+01
1.300000e-02	1.400000e-02	3.773230e+02	8.393000e+00	1.025500e+01
1.400000e-02	1.600000e-02	3.515835e+02	7.095250e+00	8.486000e+00
1.600000e-02	1.800000e-02	3.189623e+02	6.397000e+00	7.920500e+00
4.500000e-02	5.000000e-02	9.858190e+01	1.416600e+00	1.311700e+00
5.000000e-02	5.500000e-02	8.558300e+01	1.287900e+00	7.051000e-01
5.500000e-02	6.000000e-02	7.479690e+01	1.065000e+00	7.476000e-01
6.000000e-02	6.500000e-02	6.587840e+01	7.819000e-01	8.335000e-01
6.500000e-02	7.000000e-02	5.851850e+01	7.326000e-01	6.001000e-01
7.000000e-02	7.500000e-02	5.234490e+01	5.664000e-01	3.580000e-01
7.500000e-02	8.000000e-02	4.704440e+01	5.186000e-01	2.484000e-01
8.000000e-02	8.500000e-02	4.247560e+01	4.824000e-01	2.451000e-01
8.500000e-02	9.000000e-02	3.849450e+01	4.170000e-01	2.662000e-01
9.000000e-02	1.000000e-01	3.350070e+01	2.625000e-01	2.837500e-01
1.000000e-01	1.100000e-01	2.816230e+01	2.308000e-01	1.367000e-01
1.100000e-01	1.200000e-01	2.375880e+01	6.235000e-02	9.700000e-02
1.200000e-01	1.300000e-01	2.039240e+01	1.420500e-01	6.040000e-02
1.300000e-01	1.400000e-01	1.754080e+01	6.300000e-02	0.000000e+00
1.400000e-01	1.500000e-01	1.521095e+01	5.690000e-02	0.000000e+00
1.500000e-01	1.600000e-01	1.325110e+01	4.270000e-02	0.000000e+00
1.600000e-01	1.800000e-01	1.089603e+01	7.025000e-03	0.000000e+00
1.800000e-01	2.000000e-01	8.537750e+00	7.002500e-02	0.000000e+00
2.000000e-01	2.500000e-01	5.763270e+00	5.206000e-02	3.943000e-02
2.500000e-01	3.000000e-01	3.408630e+00	6.525000e-02	3.371000e-02
3.000000e-01	4.000000e-01	1.690940e+00	4.596000e-02	4.651000e-02
