# BEGIN PLOT
LegendOnly=/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1995_I382179/d02-x01-y01
XLabel=$z=p/p_{\text{beam}}$
RatioPlotReference=/ALEPH_1995_I382179/d02-x01-y01
YLabel=$1/\sigma \, \text{d}\sigma/\text{d}p$ [$\text{GeV}^-1$]
DrawOnly=/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1995_I382179/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1995_I382179/d02-x01-y01
RatioPlot=1
Title=$K^\pm$ momentum
Legend=1
LogX=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1995_I382179/d02-x01-y01
ConnectBins=0
ErrorBars=1
Path=/ALEPH_1995_I382179/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.500000e-03	6.000000e-03	1.240000e+01	1.120045e+00	1.120045e+00
6.000000e-03	6.500000e-03	1.327000e+01	9.100549e-01	9.100549e-01
6.500000e-03	7.000000e-03	1.533000e+01	9.000556e-01	9.000556e-01
7.000000e-03	7.500000e-03	1.743000e+01	9.202174e-01	9.202174e-01
7.500000e-03	8.000000e-03	1.833000e+01	8.802272e-01	8.802272e-01
8.000000e-03	8.500000e-03	1.962000e+01	9.002222e-01	9.002222e-01
8.500000e-03	9.000000e-03	2.002000e+01	8.614523e-01	8.614523e-01
9.000000e-03	9.500000e-03	2.166000e+01	8.881441e-01	8.881441e-01
1.300000e-02	1.400000e-02	2.584000e+01	8.280097e-01	8.280097e-01
1.400000e-02	1.600000e-02	2.746000e+01	8.266196e-01	8.266196e-01
1.600000e-02	1.800000e-02	2.763000e+01	2.262941e+00	2.262941e+00
7.000000e-02	7.500000e-02	1.060000e+01	1.314686e+00	1.314686e+00
7.500000e-02	8.000000e-02	9.530000e+00	1.013903e+00	1.013903e+00
8.000000e-02	8.500000e-02	9.150000e+00	8.612781e-01	8.612781e-01
8.500000e-02	9.000000e-02	8.410000e+00	7.404053e-01	7.404053e-01
9.000000e-02	1.000000e-01	7.960000e+00	5.772348e-01	5.772348e-01
1.000000e-01	1.100000e-01	7.260000e+00	4.876474e-01	4.876474e-01
1.100000e-01	1.200000e-01	6.340000e+00	3.860052e-01	3.860052e-01
1.200000e-01	1.300000e-01	5.630000e+00	3.383785e-01	3.383785e-01
1.300000e-01	1.400000e-01	4.940000e+00	2.973214e-01	2.973214e-01
1.400000e-01	1.500000e-01	4.390000e+00	2.563201e-01	2.563201e-01
1.500000e-01	1.600000e-01	4.220000e+00	2.376973e-01	2.376973e-01
1.600000e-01	1.800000e-01	3.630000e+00	1.897367e-01	1.897367e-01
1.800000e-01	2.000000e-01	3.100000e+00	1.581139e-01	1.581139e-01
2.000000e-01	2.500000e-01	2.245000e+00	1.127918e-01	1.127918e-01
2.500000e-01	3.000000e-01	1.538000e+00	8.000625e-02	8.000625e-02
3.000000e-01	4.000000e-01	8.410000e-01	4.492215e-02	4.492215e-02
