# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d01-x01-y01
XLabel=$S$
RatioPlotReference=/ALEPH_1996_S3486095/d01-x01-y01
YLabel=$1/N \, \text{d}{N}/\text{d}{S}$
Title=Sphericity, $S$ (charged)
DrawOnly=/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d01-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.236000e+01	4.079216e-01	4.079216e-01
5.000000e-03	1.000000e-02	2.333000e+01	2.549510e-01	2.549510e-01
1.000000e-02	1.500000e-02	2.023000e+01	1.562050e-01	1.562050e-01
1.500000e-02	2.000000e-02	1.669000e+01	1.204159e-01	1.204159e-01
2.000000e-02	2.500000e-02	1.341000e+01	1.000000e-01	1.000000e-01
2.500000e-02	3.000000e-02	1.079000e+01	9.899495e-02	9.899495e-02
3.000000e-02	3.500000e-02	8.870000e+00	9.404786e-02	9.404786e-02
3.500000e-02	4.000000e-02	7.408000e+00	8.919641e-02	8.919641e-02
4.000000e-02	5.000000e-02	5.922000e+00	6.933974e-02	6.933974e-02
5.000000e-02	6.000000e-02	4.508000e+00	5.263079e-02	5.263079e-02
6.000000e-02	8.000000e-02	3.258000e+00	3.047950e-02	3.047950e-02
8.000000e-02	1.000000e-01	2.317000e+00	2.334524e-02	2.334524e-02
1.000000e-01	1.200000e-01	1.742000e+00	2.267157e-02	2.267157e-02
1.200000e-01	1.600000e-01	1.211000e+00	1.835756e-02	1.835756e-02
1.600000e-01	2.000000e-01	8.132000e-01	1.520691e-02	1.520691e-02
2.000000e-01	2.500000e-01	5.626000e-01	1.271220e-02	1.271220e-02
2.500000e-01	3.000000e-01	3.973000e-01	1.024597e-02	1.024597e-02
3.000000e-01	3.500000e-01	2.903000e-01	7.782673e-03	7.782673e-03
3.500000e-01	4.000000e-01	2.224000e-01	6.191123e-03	6.191123e-03
4.000000e-01	5.000000e-01	1.476000e-01	3.982462e-03	3.982462e-03
5.000000e-01	6.000000e-01	8.610000e-02	2.441311e-03	2.441311e-03
6.000000e-01	7.000000e-01	4.470000e-02	1.486607e-03	1.486607e-03
7.000000e-01	8.000000e-01	1.160000e-02	7.810250e-04	7.810250e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d01-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d01-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.190160e+01	3.449870e-02	3.449870e-02
5.000000e-03	1.000000e-02	2.340490e+01	4.837861e-02	4.837861e-02
1.000000e-02	1.500000e-02	2.079800e+01	4.560482e-02	4.560482e-02
1.500000e-02	2.000000e-02	1.699230e+01	4.122172e-02	4.122172e-02
2.000000e-02	2.500000e-02	1.375420e+01	3.708666e-02	3.708666e-02
2.500000e-02	3.000000e-02	1.108710e+01	3.329730e-02	3.329730e-02
3.000000e-02	3.500000e-02	9.137000e+00	3.022747e-02	3.022747e-02
3.500000e-02	4.000000e-02	7.699100e+00	2.774725e-02	2.774725e-02
4.000000e-02	5.000000e-02	6.029400e+00	1.736289e-02	1.736289e-02
5.000000e-02	6.000000e-02	4.587900e+00	1.514579e-02	1.514579e-02
6.000000e-02	8.000000e-02	3.303175e+00	9.087319e-03	9.087319e-03
8.000000e-02	1.000000e-01	2.285900e+00	7.559597e-03	7.559597e-03
1.000000e-01	1.200000e-01	1.683650e+00	6.487777e-03	6.487777e-03
1.200000e-01	1.600000e-01	1.180262e+00	3.841000e-03	3.841000e-03
1.600000e-01	2.000000e-01	7.768250e-01	3.116137e-03	3.116137e-03
2.000000e-01	2.500000e-01	5.350500e-01	2.313115e-03	2.313115e-03
2.500000e-01	3.000000e-01	3.731800e-01	1.931787e-03	1.931787e-03
3.000000e-01	3.500000e-01	2.718300e-01	1.648727e-03	1.648727e-03
3.500000e-01	4.000000e-01	2.037400e-01	1.427375e-03	1.427375e-03
4.000000e-01	5.000000e-01	1.374350e-01	8.289602e-04	8.289602e-04
5.000000e-01	6.000000e-01	8.069500e-02	6.351968e-04	6.351968e-04
6.000000e-01	7.000000e-01	4.067000e-02	4.509435e-04	4.509435e-04
7.000000e-01	8.000000e-01	1.084500e-02	2.328626e-04	2.328626e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d01-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d01-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.193150e+01	3.454200e-02	3.454200e-02
5.000000e-03	1.000000e-02	2.342490e+01	4.839928e-02	4.839928e-02
1.000000e-02	1.500000e-02	2.078880e+01	4.559474e-02	4.559474e-02
1.500000e-02	2.000000e-02	1.704080e+01	4.128050e-02	4.128050e-02
2.000000e-02	2.500000e-02	1.371380e+01	3.703215e-02	3.703215e-02
2.500000e-02	3.000000e-02	1.113280e+01	3.336585e-02	3.336585e-02
3.000000e-02	3.500000e-02	9.131400e+00	3.021821e-02	3.021821e-02
3.500000e-02	4.000000e-02	7.612700e+00	2.759112e-02	2.759112e-02
4.000000e-02	5.000000e-02	6.038800e+00	1.737642e-02	1.737642e-02
5.000000e-02	6.000000e-02	4.600450e+00	1.516649e-02	1.516649e-02
6.000000e-02	8.000000e-02	3.292775e+00	9.073003e-03	9.073003e-03
8.000000e-02	1.000000e-01	2.267850e+00	7.529691e-03	7.529691e-03
1.000000e-01	1.200000e-01	1.683600e+00	6.487681e-03	6.487681e-03
1.200000e-01	1.600000e-01	1.176287e+00	3.834527e-03	3.834527e-03
1.600000e-01	2.000000e-01	7.801375e-01	3.122774e-03	3.122774e-03
2.000000e-01	2.500000e-01	5.366000e-01	2.316463e-03	2.316463e-03
2.500000e-01	3.000000e-01	3.767600e-01	1.941031e-03	1.941031e-03
3.000000e-01	3.500000e-01	2.746700e-01	1.657317e-03	1.657317e-03
3.500000e-01	4.000000e-01	2.045300e-01	1.430140e-03	1.430140e-03
4.000000e-01	5.000000e-01	1.384400e-01	8.319856e-04	8.319856e-04
5.000000e-01	6.000000e-01	7.993500e-02	6.321985e-04	6.321985e-04
6.000000e-01	7.000000e-01	4.034000e-02	4.491102e-04	4.491102e-04
7.000000e-01	8.000000e-01	1.017000e-02	2.254994e-04	2.254994e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d01-x01-y01
IsRef=1
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d01-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.183710e+01	3.440509e-02	3.440509e-02
5.000000e-03	1.000000e-02	2.346270e+01	4.843831e-02	4.843831e-02
1.000000e-02	1.500000e-02	2.086060e+01	4.567341e-02	4.567341e-02
1.500000e-02	2.000000e-02	1.702120e+01	4.125676e-02	4.125676e-02
2.000000e-02	2.500000e-02	1.372350e+01	3.704524e-02	3.704524e-02
2.500000e-02	3.000000e-02	1.110340e+01	3.332176e-02	3.332176e-02
3.000000e-02	3.500000e-02	9.162200e+00	3.026913e-02	3.026913e-02
3.500000e-02	4.000000e-02	7.573100e+00	2.751927e-02	2.751927e-02
4.000000e-02	5.000000e-02	6.036000e+00	1.737239e-02	1.737239e-02
5.000000e-02	6.000000e-02	4.585200e+00	1.514133e-02	1.514133e-02
6.000000e-02	8.000000e-02	3.296325e+00	9.077892e-03	9.077892e-03
8.000000e-02	1.000000e-01	2.288600e+00	7.564060e-03	7.564060e-03
1.000000e-01	1.200000e-01	1.684850e+00	6.490089e-03	6.490089e-03
1.200000e-01	1.600000e-01	1.175550e+00	3.833324e-03	3.833324e-03
1.600000e-01	2.000000e-01	7.802625e-01	3.123024e-03	3.123024e-03
2.000000e-01	2.500000e-01	5.340700e-01	2.310995e-03	2.310995e-03
2.500000e-01	3.000000e-01	3.764100e-01	1.940129e-03	1.940129e-03
3.000000e-01	3.500000e-01	2.723800e-01	1.650394e-03	1.650394e-03
3.500000e-01	4.000000e-01	2.050500e-01	1.431957e-03	1.431957e-03
4.000000e-01	5.000000e-01	1.372350e-01	8.283568e-04	8.283568e-04
5.000000e-01	6.000000e-01	8.008000e-02	6.327717e-04	6.327717e-04
6.000000e-01	7.000000e-01	4.170000e-02	4.566180e-04	4.566180e-04
7.000000e-01	8.000000e-01	1.072500e-02	2.315707e-04	2.315707e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d01-x01-y01
IsRef=1
LineColor=blue
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d01-x01-y01
ScaledBy=5.00000750001125017e-07
Title=$\Delta\eta=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.187512e+01	3.446032e-02	3.446032e-02
5.000000e-03	1.000000e-02	2.340684e+01	4.838065e-02	4.838065e-02
1.000000e-02	1.500000e-02	2.073564e+01	4.553643e-02	4.553643e-02
1.500000e-02	2.000000e-02	1.704753e+01	4.128868e-02	4.128868e-02
2.000000e-02	2.500000e-02	1.372372e+01	3.704557e-02	3.704557e-02
2.500000e-02	3.000000e-02	1.114332e+01	3.338163e-02	3.338163e-02
3.000000e-02	3.500000e-02	9.141514e+00	3.023496e-02	3.023496e-02
3.500000e-02	4.000000e-02	7.632712e+00	2.762738e-02	2.762738e-02
4.000000e-02	5.000000e-02	6.038459e+00	1.737594e-02	1.737594e-02
5.000000e-02	6.000000e-02	4.566357e+00	1.511020e-02	1.511020e-02
6.000000e-02	8.000000e-02	3.305655e+00	9.090737e-03	9.090737e-03
8.000000e-02	1.000000e-01	2.280178e+00	7.550136e-03	7.550136e-03
1.000000e-01	1.200000e-01	1.688853e+00	6.497798e-03	6.497798e-03
1.200000e-01	1.600000e-01	1.174977e+00	3.832392e-03	3.832392e-03
1.600000e-01	2.000000e-01	7.813137e-01	3.125130e-03	3.125130e-03
2.000000e-01	2.500000e-01	5.378308e-01	2.319120e-03	2.319120e-03
2.500000e-01	3.000000e-01	3.758006e-01	1.938559e-03	1.938559e-03
3.000000e-01	3.500000e-01	2.732404e-01	1.653000e-03	1.653000e-03
3.500000e-01	4.000000e-01	2.052304e-01	1.432587e-03	1.432587e-03
4.000000e-01	5.000000e-01	1.377452e-01	8.298958e-04	8.298958e-04
5.000000e-01	6.000000e-01	8.070512e-02	6.352371e-04	6.352371e-04
6.000000e-01	7.000000e-01	4.107506e-02	4.531838e-04	4.531838e-04
7.000000e-01	8.000000e-01	1.060002e-02	2.302176e-04	2.302176e-04
# END HISTO1D

