# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d03-x01-y01
XLabel=$1-T$
RatioPlotReference=/ALEPH_1996_S3486095/d03-x01-y01
YLabel=$1/N \, \text{d}{N}/\text{d}{(1-T)}$
Title=1-Thrust, $1-T$ (charged)
DrawOnly=/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d03-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.017000e+00	1.793544e-01	1.793544e-01
5.000000e-03	1.000000e-02	6.035000e+00	2.773085e-01	2.773085e-01
1.000000e-02	1.500000e-02	1.244000e+01	2.340940e-01	2.340940e-01
1.500000e-02	2.000000e-02	1.607000e+01	2.376973e-01	2.376973e-01
2.000000e-02	2.500000e-02	1.645000e+01	2.751363e-01	2.751363e-01
2.500000e-02	3.000000e-02	1.525000e+01	2.340940e-01	2.340940e-01
3.000000e-02	3.500000e-02	1.338000e+01	1.788854e-01	1.788854e-01
3.500000e-02	4.000000e-02	1.158000e+01	1.389244e-01	1.389244e-01
4.000000e-02	5.000000e-02	9.346000e+00	1.104943e-01	1.104943e-01
5.000000e-02	6.000000e-02	7.159000e+00	8.635392e-02	8.635392e-02
6.000000e-02	8.000000e-02	5.088000e+00	6.132699e-02	6.132699e-02
8.000000e-02	1.000000e-01	3.427000e+00	4.472136e-02	4.472136e-02
1.000000e-01	1.200000e-01	2.482000e+00	4.071855e-02	4.071855e-02
1.200000e-01	1.400000e-01	1.847000e+00	4.085340e-02	4.085340e-02
1.400000e-01	1.600000e-01	1.390000e+00	3.546830e-02	3.546830e-02
1.600000e-01	1.800000e-01	1.072000e+00	2.731300e-02	2.731300e-02
1.800000e-01	2.000000e-01	8.465000e-01	2.209457e-02	2.209457e-02
2.000000e-01	2.500000e-01	5.661000e-01	1.322309e-02	1.322309e-02
2.500000e-01	3.000000e-01	3.065000e-01	6.545991e-03	6.545991e-03
3.000000e-01	3.500000e-01	1.248000e-01	3.061046e-03	3.061046e-03
3.500000e-01	4.000000e-01	1.840000e-02	2.236068e-03	2.236068e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d03-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d03-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.037400e+00	1.018528e-02	1.018528e-02
5.000000e-03	1.000000e-02	5.939400e+00	2.437088e-02	2.437088e-02
1.000000e-02	1.500000e-02	1.176100e+01	3.429431e-02	3.429431e-02
1.500000e-02	2.000000e-02	1.500170e+01	3.873203e-02	3.873203e-02
2.000000e-02	2.500000e-02	1.565620e+01	3.956792e-02	3.956792e-02
2.500000e-02	3.000000e-02	1.476380e+01	3.842369e-02	3.842369e-02
3.000000e-02	3.500000e-02	1.327000e+01	3.642801e-02	3.642801e-02
3.500000e-02	4.000000e-02	1.167680e+01	3.417133e-02	3.417133e-02
4.000000e-02	5.000000e-02	9.619450e+00	2.193109e-02	2.193109e-02
5.000000e-02	6.000000e-02	7.441350e+00	1.928905e-02	1.928905e-02
6.000000e-02	8.000000e-02	5.331375e+00	1.154489e-02	1.154489e-02
8.000000e-02	1.000000e-01	3.586300e+00	9.468764e-03	9.468764e-03
1.000000e-01	1.200000e-01	2.538250e+00	7.965943e-03	7.965943e-03
1.200000e-01	1.400000e-01	1.860200e+00	6.819457e-03	6.819457e-03
1.400000e-01	1.600000e-01	1.411950e+00	5.941275e-03	5.941275e-03
1.600000e-01	1.800000e-01	1.078575e+00	5.192723e-03	5.192723e-03
1.800000e-01	2.000000e-01	8.451000e-01	4.596466e-03	4.596466e-03
2.000000e-01	2.500000e-01	5.619400e-01	2.370527e-03	2.370527e-03
2.500000e-01	3.000000e-01	3.073400e-01	1.753112e-03	1.753112e-03
3.000000e-01	3.500000e-01	1.267700e-01	1.125922e-03	1.125922e-03
3.500000e-01	4.000000e-01	1.946000e-02	4.411349e-04	4.411349e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d03-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d03-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.071700e+00	1.035229e-02	1.035229e-02
5.000000e-03	1.000000e-02	6.038400e+00	2.457316e-02	2.457316e-02
1.000000e-02	1.500000e-02	1.182040e+01	3.438081e-02	3.438081e-02
1.500000e-02	2.000000e-02	1.501930e+01	3.875474e-02	3.875474e-02
2.000000e-02	2.500000e-02	1.569280e+01	3.961414e-02	3.961414e-02
2.500000e-02	3.000000e-02	1.480570e+01	3.847818e-02	3.847818e-02
3.000000e-02	3.500000e-02	1.323390e+01	3.637843e-02	3.637843e-02
3.500000e-02	4.000000e-02	1.165360e+01	3.413737e-02	3.413737e-02
4.000000e-02	5.000000e-02	9.609250e+00	2.191945e-02	2.191945e-02
5.000000e-02	6.000000e-02	7.431700e+00	1.927654e-02	1.927654e-02
6.000000e-02	8.000000e-02	5.319725e+00	1.153226e-02	1.153226e-02
8.000000e-02	1.000000e-01	3.561175e+00	9.435538e-03	9.435538e-03
1.000000e-01	1.200000e-01	2.517150e+00	7.932764e-03	7.932764e-03
1.200000e-01	1.400000e-01	1.854025e+00	6.808129e-03	6.808129e-03
1.400000e-01	1.600000e-01	1.407900e+00	5.932748e-03	5.932748e-03
1.600000e-01	1.800000e-01	1.088375e+00	5.216261e-03	5.216261e-03
1.800000e-01	2.000000e-01	8.570500e-01	4.628850e-03	4.628850e-03
2.000000e-01	2.500000e-01	5.650700e-01	2.377120e-03	2.377120e-03
2.500000e-01	3.000000e-01	3.025000e-01	1.739253e-03	1.739253e-03
3.000000e-01	3.500000e-01	1.283300e-01	1.132828e-03	1.132828e-03
3.500000e-01	4.000000e-01	1.922000e-02	4.384062e-04	4.384062e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d03-x01-y01
IsRef=1
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d03-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.007100e+00	1.003544e-02	1.003544e-02
5.000000e-03	1.000000e-02	5.895700e+00	2.428106e-02	2.428106e-02
1.000000e-02	1.500000e-02	1.167880e+01	3.417426e-02	3.417426e-02
1.500000e-02	2.000000e-02	1.503810e+01	3.877899e-02	3.877899e-02
2.000000e-02	2.500000e-02	1.569880e+01	3.962171e-02	3.962171e-02
2.500000e-02	3.000000e-02	1.483780e+01	3.851987e-02	3.851987e-02
3.000000e-02	3.500000e-02	1.330590e+01	3.647725e-02	3.647725e-02
3.500000e-02	4.000000e-02	1.166350e+01	3.415187e-02	3.415187e-02
4.000000e-02	5.000000e-02	9.600550e+00	2.190953e-02	2.190953e-02
5.000000e-02	6.000000e-02	7.473750e+00	1.933100e-02	1.933100e-02
