# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d06-x01-y01
XLabel=$M_h^2/s$
RatioPlotReference=/ALEPH_1996_S3486095/d06-x01-y01
YLabel=$1/N \, \text{d}{N}/\text{d}{(M_h^2/s)}$
Title=Heavy jet mass (charged)
DrawOnly=/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d06-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d06-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.011000e+00	2.031945e-01	2.031945e-01
5.000000e-03	1.000000e-02	7.656000e+00	8.201975e-01	8.201975e-01
1.000000e-02	1.500000e-02	1.590000e+01	8.338465e-01	8.338465e-01
1.500000e-02	2.000000e-02	1.936000e+01	7.156815e-01	7.156815e-01
2.000000e-02	2.500000e-02	1.873000e+01	5.770615e-01	5.770615e-01
2.500000e-02	3.000000e-02	1.652000e+01	4.100000e-01	4.100000e-01
3.000000e-02	3.500000e-02	1.407000e+01	3.298485e-01	3.298485e-01
3.500000e-02	4.000000e-02	1.189000e+01	3.275668e-01	3.275668e-01
4.000000e-02	5.000000e-02	9.422000e+00	3.155202e-01	3.155202e-01
5.000000e-02	6.000000e-02	7.013000e+00	2.462702e-01	2.462702e-01
6.000000e-02	8.000000e-02	4.839000e+00	1.420422e-01	1.420422e-01
8.000000e-02	1.000000e-01	3.125000e+00	6.484597e-02	6.484597e-02
1.000000e-01	1.200000e-01	2.138000e+00	3.264966e-02	3.264966e-02
1.200000e-01	1.400000e-01	1.506000e+00	2.385372e-02	2.385372e-02
1.400000e-01	1.600000e-01	1.089000e+00	2.195450e-02	2.195450e-02
1.600000e-01	1.800000e-01	7.835000e-01	1.831993e-02	1.831993e-02
1.800000e-01	2.000000e-01	5.794000e-01	1.541850e-02	1.541850e-02
2.000000e-01	2.500000e-01	3.466000e-01	1.148260e-02	1.148260e-02
2.500000e-01	3.000000e-01	1.482000e-01	7.151224e-03	7.151224e-03
3.000000e-01	3.500000e-01	5.540000e-02	3.264966e-03	3.264966e-03
3.500000e-01	4.000000e-01	1.820000e-02	1.204159e-03	1.204159e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d06-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d06-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.150700e+00	1.072707e-02	1.072707e-02
5.000000e-03	1.000000e-02	7.958000e+00	2.820993e-02	2.820993e-02
1.000000e-02	1.500000e-02	1.571060e+01	3.963660e-02	3.963660e-02
1.500000e-02	2.000000e-02	1.891570e+01	4.349218e-02	4.349218e-02
2.000000e-02	2.500000e-02	1.843360e+01	4.293437e-02	4.293437e-02
2.500000e-02	3.000000e-02	1.632880e+01	4.040891e-02	4.040891e-02
3.000000e-02	3.500000e-02	1.409480e+01	3.754304e-02	3.754304e-02
3.500000e-02	4.000000e-02	1.206150e+01	3.472967e-02	3.472967e-02
4.000000e-02	5.000000e-02	9.583400e+00	2.188995e-02	2.188995e-02
5.000000e-02	6.000000e-02	7.157250e+00	1.891725e-02	1.891725e-02
6.000000e-02	8.000000e-02	4.906000e+00	1.107475e-02	1.107475e-02
8.000000e-02	1.000000e-01	3.148075e+00	8.871408e-03	8.871408e-03
1.000000e-01	1.200000e-01	2.127750e+00	7.293405e-03	7.293405e-03
1.200000e-01	1.400000e-01	1.495825e+00	6.115196e-03	6.115196e-03
1.400000e-01	1.600000e-01	1.068575e+00	5.168595e-03	5.168595e-03
1.600000e-01	1.800000e-01	7.751500e-01	4.402130e-03	4.402130e-03
1.800000e-01	2.000000e-01	5.649500e-01	3.758158e-03	3.758158e-03
2.000000e-01	2.500000e-01	3.314600e-01	1.820604e-03	1.820604e-03
2.500000e-01	3.000000e-01	1.419600e-01	1.191470e-03	1.191470e-03
3.000000e-01	3.500000e-01	5.284000e-02	7.269113e-04	7.269113e-04
3.500000e-01	4.000000e-01	1.740000e-02	4.171331e-04	4.171331e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d06-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d06-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.171600e+00	1.082405e-02	1.082405e-02
5.000000e-03	1.000000e-02	8.030700e+00	2.833849e-02	2.833849e-02
1.000000e-02	1.500000e-02	1.575350e+01	3.969068e-02	3.969068e-02
1.500000e-02	2.000000e-02	1.896360e+01	4.354722e-02	4.354722e-02
2.000000e-02	2.500000e-02	1.832740e+01	4.281051e-02	4.281051e-02
2.500000e-02	3.000000e-02	1.638130e+01	4.047382e-02	4.047382e-02
3.000000e-02	3.500000e-02	1.409880e+01	3.754837e-02	3.754837e-02
3.500000e-02	4.000000e-02	1.200070e+01	3.464203e-02	3.464203e-02
4.000000e-02	5.000000e-02	9.575500e+00	2.188093e-02	2.188093e-02
5.000000e-02	6.000000e-02	7.119350e+00	1.886710e-02	1.886710e-02
6.000000e-02	8.000000e-02	4.895975e+00	1.106343e-02	1.106343e-02
8.000000e-02	1.000000e-01	3.138700e+00	8.858188e-03	8.858188e-03
1.000000e-01	1.200000e-01	2.143225e+00	7.319879e-03	7.319879e-03
1.200000e-01	1.400000e-01	1.497650e+00	6.118926e-03	6.118926e-03
1.400000e-01	1.600000e-01	1.070400e+00	5.173007e-03	5.173007e-03
1.600000e-01	1.800000e-01	7.691750e-01	4.385131e-03	4.385131e-03
1.800000e-01	2.000000e-01	5.666750e-01	3.763891e-03	3.763891e-03
2.000000e-01	2.500000e-01	3.335700e-01	1.826390e-03	1.826390e-03
2.500000e-01	3.000000e-01	1.427800e-01	1.194906e-03	1.194906e-03
3.000000e-01	3.500000e-01	5.379000e-02	7.334167e-04	7.334167e-04
3.500000e-01	4.000000e-01	1.762000e-02	4.197618e-04	4.197618e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d06-x01-y01
IsRef=1
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d06-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.114700e+00	1.055794e-02	1.055794e-02
5.000000e-03	1.000000e-02	7.945700e+00	2.818812e-02	2.818812e-02
1.000000e-02	1.500000e-02	1.570610e+01	3.963092e-02	3.963092e-02
1.500000e-02	2.000000e-02	1.902170e+01	4.361387e-02	4.361387e-02
2.000000e-02	2.500000e-02	1.843930e+01	4.294101e-02	4.294101e-02
2.500000e-02	3.000000e-02	1.639940e+01	4.049617e-02	4.049617e-02
3.000000e-02	3.500000e-02	1.411410e+01	3.756874e-02	3.756874e-02
3.500000e-02	4.000000e-02	1.205660e+01	3.472262e-02	3.472262e-02
4.000000e-02	5.000000e-02	9.509500e+00	2.180539e-02	2.180539e-02
5.000000e-02	6.000000e-02	7.158450e+00	1.891884e-02	1.891884e-02
6.000000e-02	8.000000e-02	4.894375e+00	1.106162e-02	1.106162e-02
8.000000e-02	1.000000e-01	3.133375e+00	8.850671e-03	8.850671e-03
1.000000e-01	1.200000e-01	2.136625e+00	7.308599e-03	7.308599e-03
1.200000e-01	1.400000e-01	1.496625e+00	6.116831e-03	6.116831e-03
1.400000e-01	1.600000e-01	1.076450e+00	5.187605e-03	5.187605e-03
1.600000e-01	1.800000e-01	7.695250e-01	4.386129e-03	4.386129e-03
1.800000e-01	2.000000e-01	5.678750e-01	3.767874e-03	3.767874e-03
2.000000e-01	2.500000e-01	3.330300e-01	1.824911e-03	1.824911e-03
2.500000e-01	3.000000e-01	1.430900e-01	1.196202e-03	1.196202e-03
3.000000e-01	3.500000e-01	5.556000e-02	7.453858e-04	7.453858e-04
3.500000e-01	4.000000e-01	1.749000e-02	4.182105e-04	4.182105e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d06-x01-y01
IsRef=1
LineColor=blue
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d06-x01-y01
ScaledBy=5.00000750001125017e-07
Title=$\Delta\eta=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-03	1.132202e+00	1.064050e-02	1.064050e-02
5.000000e-03	1.000000e-02	7.904712e+00	2.811534e-02	2.811534e-02
1.000000e-02	1.500000e-02	1.571342e+01	3.964019e-02	3.964019e-02
1.500000e-02	2.000000e-02	1.893953e+01	4.351960e-02	4.351960e-02
2.000000e-02	2.500000e-02	1.842713e+01	4.292686e-02	4.292686e-02
2.500000e-02	3.000000e-02	1.640892e+01	4.050796e-02	4.050796e-02
3.000000e-02	3.500000e-02	1.408992e+01	3.753657e-02	3.753657e-02
3.500000e-02	4.000000e-02	1.199322e+01	3.463125e-02	3.463125e-02
4.000000e-02	5.000000e-02	9.568114e+00	2.187250e-02	2.187250e-02
5.000000e-02	6.000000e-02	7.152161e+00	1.891054e-02	1.891054e-02
