# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d09-x01-y01
XLabel=$x_p$
RatioPlotReference=/ALEPH_1996_S3486095/d09-x01-y01
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{x_p}$
Title=Scaled momentum, $x_p = |p|/|p_\text{beam}|$ (charged)
DrawOnly=/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d09-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d09-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	4.786000e+02	4.801260e+01	4.801260e+01
6.000000e-03	8.000000e-03	5.358000e+02	6.873136e+00	6.873136e+00
8.000000e-03	1.000000e-02	5.130000e+02	4.609772e+00	4.609772e+00
1.000000e-02	1.200000e-02	4.786000e+02	3.420526e+00	3.420526e+00
1.200000e-02	1.400000e-02	4.402000e+02	2.846050e+00	2.846050e+00
1.400000e-02	1.600000e-02	4.031000e+02	2.247221e+00	2.247221e+00
1.600000e-02	1.800000e-02	3.644000e+02	1.700000e+00	1.700000e+00
1.800000e-02	2.000000e-02	3.295000e+02	1.303840e+00	1.303840e+00
2.000000e-02	2.500000e-02	2.872000e+02	1.300000e+00	1.300000e+00
2.500000e-02	3.000000e-02	2.373000e+02	1.077033e+00	1.077033e+00
3.000000e-02	3.500000e-02	1.981000e+02	8.944272e-01	8.944272e-01
3.500000e-02	4.000000e-02	1.687000e+02	8.544004e-01	8.544004e-01
4.000000e-02	4.500000e-02	1.454000e+02	7.615773e-01	7.615773e-01
4.500000e-02	5.000000e-02	1.270000e+02	6.708204e-01	6.708204e-01
5.000000e-02	6.000000e-02	1.054000e+02	5.385165e-01	5.385165e-01
6.000000e-02	7.000000e-02	8.345000e+01	4.681880e-01	4.681880e-01
7.000000e-02	8.000000e-02	6.812000e+01	3.992493e-01	3.992493e-01
8.000000e-02	9.000000e-02	5.628000e+01	3.453983e-01	3.453983e-01
9.000000e-02	1.000000e-01	4.761000e+01	3.138471e-01	3.138471e-01
1.000000e-01	1.100000e-01	4.031000e+01	3.008322e-01	3.008322e-01
1.100000e-01	1.200000e-01	3.446000e+01	2.973214e-01	2.973214e-01
1.200000e-01	1.300000e-01	2.984000e+01	2.692582e-01	2.692582e-01
1.300000e-01	1.400000e-01	2.607000e+01	2.376973e-01	2.376973e-01
1.400000e-01	1.600000e-01	2.126000e+01	1.897367e-01	1.897367e-01
1.600000e-01	1.800000e-01	1.662000e+01	1.486607e-01	1.486607e-01
1.800000e-01	2.000000e-01	1.321000e+01	1.208305e-01	1.208305e-01
2.000000e-01	2.250000e-01	1.034000e+01	8.944272e-02	8.944272e-02
2.250000e-01	2.500000e-01	7.920000e+00	7.021396e-02	7.021396e-02
