# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d10-x01-y01
DrawOnly=/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d10-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d10-x01-y01
Title=Rapidity w.r.t. thrust axes, $y_T$ (charged)
RatioPlotReference=/ALEPH_1996_S3486095/d10-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.15
XLabel=$y_T$
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{y_T}$
LegendYPos=0.8
Legend=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d10-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e-01	5.832000e+00	7.299315e-02	7.299315e-02
2.500000e-01	5.000000e-01	6.407000e+00	8.697701e-02	8.697701e-02
5.000000e-01	7.500000e-01	6.641000e+00	1.048094e-01	1.048094e-01
7.500000e-01	1.000000e+00	6.726000e+00	1.146298e-01	1.146298e-01
1.000000e+00	1.250000e+00	6.745000e+00	1.106526e-01	1.106526e-01
1.250000e+00	1.500000e+00	6.703000e+00	9.563472e-02	9.563472e-02
1.500000e+00	1.750000e+00	6.578000e+00	7.863841e-02	7.863841e-02
1.750000e+00	2.000000e+00	6.389000e+00	5.688585e-02	5.688585e-02
2.000000e+00	2.250000e+00	6.135000e+00	2.657066e-02	2.657066e-02
2.250000e+00	2.500000e+00	5.721000e+00	2.012461e-02	2.012461e-02
2.500000e+00	2.750000e+00	5.090000e+00	5.178803e-02	5.178803e-02
2.750000e+00	3.000000e+00	4.307000e+00	8.736704e-02	8.736704e-02
3.000000e+00	3.250000e+00	3.427000e+00	8.429116e-02	8.429116e-02
3.250000e+00	3.500000e+00	2.549000e+00	5.830952e-02	5.830952e-02
3.500000e+00	3.750000e+00	1.749000e+00	3.634556e-02	3.634556e-02
3.750000e+00	4.000000e+00	1.107000e+00	2.334524e-02	2.334524e-02
4.000000e+00	4.250000e+00	6.623000e-01	1.602904e-02	1.602904e-02
4.250000e+00	4.500000e+00	3.662000e-01	1.205073e-02	1.205073e-02
4.500000e+00	5.000000e+00	1.403000e-01	6.946222e-03	6.946222e-03
5.000000e+00	5.500000e+00	2.860000e-02	2.121320e-03	2.121320e-03
5.500000e+00	6.000000e+00	3.900000e-03	6.082763e-04	6.082763e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d10-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d10-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
