# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d11-x01-y01
XLabel=$p_\perp^\text{in}$ / GeV
RatioPlotReference=/ALEPH_1996_S3486095/d11-x01-y01
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{p_\perp^\text{in}}$
Title=In-plane $p_T$ in GeV w.r.t. sphericity axes (charged)
DrawOnly=/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d11-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d11-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d11-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d11-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.830000e+01	2.942788e-01	2.942788e-01
1.000000e-01	2.000000e-01	3.814000e+01	4.318565e-01	4.318565e-01
2.000000e-01	3.000000e-01	2.821000e+01	1.529706e-01	1.529706e-01
3.000000e-01	4.000000e-01	2.045000e+01	8.544004e-02	8.544004e-02
4.000000e-01	5.000000e-01	1.505000e+01	5.385165e-02	5.385165e-02
5.000000e-01	6.000000e-01	1.122000e+01	4.472136e-02	4.472136e-02
6.000000e-01	7.000000e-01	8.522000e+00	4.438468e-02	4.438468e-02
7.000000e-01	8.000000e-01	6.602000e+00	3.716181e-02	3.716181e-02
8.000000e-01	9.000000e-01	5.180000e+00	2.906888e-02	2.906888e-02
9.000000e-01	1.000000e+00	4.156000e+00	2.418677e-02	2.418677e-02
1.000000e+00	1.200000e+00	3.045000e+00	1.746425e-02	1.746425e-02
1.200000e+00	1.400000e+00	2.095000e+00	1.341641e-02	1.341641e-02
1.400000e+00	1.600000e+00	1.473000e+00	1.118034e-02	1.118034e-02
1.600000e+00	1.800000e+00	1.081000e+00	8.944272e-03	8.944272e-03
1.800000e+00	2.000000e+00	8.036000e-01	8.407735e-03	8.407735e-03
2.000000e+00	2.500000e+00	5.104000e-01	5.515433e-03	5.515433e-03
2.500000e+00	3.000000e+00	2.753000e-01	3.264966e-03	3.264966e-03
3.000000e+00	3.500000e+00	1.601000e-01	2.370654e-03	2.370654e-03
3.500000e+00	4.000000e+00	9.700000e-02	1.700000e-03	1.700000e-03
4.000000e+00	5.000000e+00	4.930000e-02	8.944272e-04	8.944272e-04
5.000000e+00	6.000000e+00	2.020000e-02	5.000000e-04	5.000000e-04
6.000000e+00	7.000000e+00	8.800000e-03	2.828427e-04	2.828427e-04
7.000000e+00	8.000000e+00	4.000000e-03	2.236068e-04	2.236068e-04
8.000000e+00	1.000000e+01	1.240000e-03	8.602325e-05	8.602325e-05
1.000000e+01	1.400000e+01	1.500000e-04	3.162278e-05	3.162278e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d11-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d11-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.557513e+01	1.509555e-02	1.509555e-02
1.000000e-01	2.000000e-01	3.608318e+01	1.343190e-02	1.343190e-02
2.000000e-01	3.000000e-01	2.721283e+01	1.166466e-02	1.166466e-02
3.000000e-01	4.000000e-01	2.028916e+01	1.007203e-02	1.007203e-02
4.000000e-01	5.000000e-01	1.524116e+01	8.729593e-03	8.729593e-03
5.000000e-01	6.000000e-01	1.153806e+01	7.595413e-03	7.595413e-03
6.000000e-01	7.000000e-01	8.833930e+00	6.646025e-03	6.646025e-03
7.000000e-01	8.000000e-01	6.819500e+00	5.839306e-03	5.839306e-03
8.000000e-01	9.000000e-01	5.333480e+00	5.164049e-03	5.164049e-03
9.000000e-01	1.000000e+00	4.220785e+00	4.593900e-03	4.593900e-03
1.000000e+00	1.200000e+00	3.061735e+00	2.766647e-03	2.766647e-03
1.200000e+00	1.400000e+00	2.054373e+00	2.266259e-03	2.266259e-03
1.400000e+00	1.600000e+00	1.433642e+00	1.893173e-03	1.893173e-03
1.600000e+00	1.800000e+00	1.027133e+00	1.602445e-03	1.602445e-03
1.800000e+00	2.000000e+00	7.547650e-01	1.373649e-03	1.373649e-03
2.000000e+00	2.500000e+00	4.716060e-01	6.867358e-04	6.867358e-04
2.500000e+00	3.000000e+00	2.532530e-01	5.032425e-04	5.032425e-04
3.000000e+00	3.500000e+00	1.439680e-01	3.794312e-04	3.794312e-04
3.500000e+00	4.000000e+00	8.550200e-02	2.924073e-04	2.924073e-04
4.000000e+00	5.000000e+00	4.234550e-02	1.455086e-04	1.455086e-04
5.000000e+00	6.000000e+00	1.716700e-02	9.264718e-05	9.264718e-05
6.000000e+00	7.000000e+00	7.342500e-03	6.059084e-05	6.059084e-05
7.000000e+00	8.000000e+00	3.129500e-03	3.955692e-05	3.955692e-05
8.000000e+00	1.000000e+01	9.982500e-04	1.579755e-05	1.579755e-05
1.000000e+01	1.400000e+01	1.171250e-04	3.826307e-06	3.826307e-06
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d11-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d11-x01-y01
ScaledBy=5.00000000000000083e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.529504e+01	1.504909e-02	1.504909e-02
1.000000e-01	2.000000e-01	3.584616e+01	1.338771e-02	1.338771e-02
2.000000e-01	3.000000e-01	2.700385e+01	1.161978e-02	1.161978e-02
3.000000e-01	4.000000e-01	2.016203e+01	1.004042e-02	1.004042e-02
4.000000e-01	5.000000e-01	1.513936e+01	8.700391e-03	8.700391e-03
5.000000e-01	6.000000e-01	1.148941e+01	7.579382e-03	7.579382e-03
6.000000e-01	7.000000e-01	8.800740e+00	6.633528e-03	6.633528e-03
7.000000e-01	8.000000e-01	6.808080e+00	5.834415e-03	5.834415e-03
8.000000e-01	9.000000e-01	5.324845e+00	5.159867e-03	5.159867e-03
9.000000e-01	1.000000e+00	4.211395e+00	4.588789e-03	4.588789e-03
1.000000e+00	1.200000e+00	3.049698e+00	2.761204e-03	2.761204e-03
1.200000e+00	1.400000e+00	2.050773e+00	2.264273e-03	2.264273e-03
1.400000e+00	1.600000e+00	1.429742e+00	1.890597e-03	1.890597e-03
1.600000e+00	1.800000e+00	1.029195e+00	1.604053e-03	1.604053e-03
1.800000e+00	2.000000e+00	7.557750e-01	1.374568e-03	1.374568e-03
2.000000e+00	2.500000e+00	4.733380e-01	6.879956e-04	6.879956e-04
2.500000e+00	3.000000e+00	2.534110e-01	5.033994e-04	5.033994e-04
3.000000e+00	3.500000e+00	1.447310e-01	3.804353e-04	3.804353e-04
3.500000e+00	4.000000e+00	8.576500e-02	2.928566e-04	2.928566e-04
4.000000e+00	5.000000e+00	4.310400e-02	1.468060e-04	1.468060e-04
5.000000e+00	6.000000e+00	1.734750e-02	9.313297e-05	9.313297e-05
6.000000e+00	7.000000e+00	7.310500e-03	6.045866e-05	6.045866e-05
7.000000e+00	8.000000e+00	3.156000e-03	3.972405e-05	3.972405e-05
8.000000e+00	1.000000e+01	1.015000e-03	1.592953e-05	1.592953e-05
1.000000e+01	1.400000e+01	1.133750e-04	3.764555e-06	3.764555e-06
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d11-x01-y01
IsRef=1
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d11-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.583662e+01	1.513879e-02	1.513879e-02
1.000000e-01	2.000000e-01	3.630610e+01	1.347333e-02	1.347333e-02
2.000000e-01	3.000000e-01	2.737719e+01	1.169982e-02	1.169982e-02
3.000000e-01	4.000000e-01	2.042277e+01	1.010514e-02	1.010514e-02
4.000000e-01	5.000000e-01	1.530614e+01	8.748183e-03	8.748183e-03
5.000000e-01	6.000000e-01	1.157053e+01	7.606094e-03	7.606094e-03
6.000000e-01	7.000000e-01	8.848900e+00	6.651654e-03	6.651654e-03
7.000000e-01	8.000000e-01	6.830625e+00	5.844067e-03	5.844067e-03
8.000000e-01	9.000000e-01	5.342530e+00	5.168428e-03	5.168428e-03
9.000000e-01	1.000000e+00	4.222610e+00	4.594894e-03	4.594894e-03
1.000000e+00	1.200000e+00	3.063553e+00	2.767468e-03	2.767468e-03
1.200000e+00	1.400000e+00	2.052738e+00	2.265358e-03	2.265358e-03
1.400000e+00	1.600000e+00	1.428795e+00	1.889970e-03	1.889970e-03
1.600000e+00	1.800000e+00	1.026535e+00	1.601979e-03	1.601979e-03
1.800000e+00	2.000000e+00	7.570975e-01	1.375770e-03	1.375770e-03
2.000000e+00	2.500000e+00	4.711480e-01	6.864022e-04	6.864022e-04
2.500000e+00	3.000000e+00	2.517070e-01	5.017041e-04	5.017041e-04
3.000000e+00	3.500000e+00	1.440080e-01	3.794839e-04	3.794839e-04
3.500000e+00	4.000000e+00	8.541200e-02	2.922533e-04	2.922533e-04
4.000000e+00	5.000000e+00	4.223200e-02	1.453135e-04	1.453135e-04
5.000000e+00	6.000000e+00	1.716550e-02	9.264313e-05	9.264313e-05
6.000000e+00	7.000000e+00	7.299500e-03	6.041316e-05	6.041316e-05
7.000000e+00	8.000000e+00	3.136500e-03	3.960114e-05	3.960114e-05
8.000000e+00	1.000000e+01	1.003250e-03	1.583706e-05	1.583706e-05
1.000000e+01	1.400000e+01	1.198750e-04	3.870966e-06	3.870966e-06
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d11-x01-y01
IsRef=1
LineColor=blue
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d11-x01-y01
ScaledBy=5.00000500000500058e-07
Title=$\Delta\eta=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.555381e+01	1.509203e-02	1.509203e-02
1.000000e-01	2.000000e-01	3.609960e+01	1.343496e-02	1.343496e-02
2.000000e-01	3.000000e-01	2.723817e+01	1.167009e-02	1.167009e-02
3.000000e-01	4.000000e-01	2.033067e+01	1.008233e-02	1.008233e-02
4.000000e-01	5.000000e-01	1.525843e+01	8.734542e-03	8.734542e-03
5.000000e-01	6.000000e-01	1.157163e+01	7.606457e-03	7.606457e-03
6.000000e-01	7.000000e-01	8.858079e+00	6.655106e-03	6.655106e-03
7.000000e-01	8.000000e-01	6.851322e+00	5.852917e-03	5.852917e-03
8.000000e-01	9.000000e-01	5.355510e+00	5.174706e-03	5.174706e-03
9.000000e-01	1.000000e+00	4.230289e+00	4.599073e-03	4.599073e-03
1.000000e+00	1.200000e+00	3.071951e+00	2.771261e-03	2.771261e-03
1.200000e+00	1.400000e+00	2.060055e+00	2.269393e-03	2.269393e-03
1.400000e+00	1.600000e+00	1.434596e+00	1.893804e-03	1.893804e-03
1.600000e+00	1.800000e+00	1.034901e+00	1.608495e-03	1.608495e-03
