# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d12-x01-y01
XLabel=$p_\perp^\text{out}$ / GeV
RatioPlotReference=/ALEPH_1996_S3486095/d12-x01-y01
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{p_\perp^\text{out}}$
Title=Out-of-plane $p_T$ in GeV w.r.t. sphericity axes (charged)
DrawOnly=/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d12-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d12-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d12-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d12-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.766000e+01	3.733631e-01	3.733631e-01
1.000000e-01	2.000000e-01	5.130000e+01	5.614268e-01	5.614268e-01
2.000000e-01	3.000000e-01	3.435000e+01	1.726268e-01	1.726268e-01
3.000000e-01	4.000000e-01	2.140000e+01	9.486833e-02	9.486833e-02
4.000000e-01	5.000000e-01	1.286000e+01	5.385165e-02	5.385165e-02
5.000000e-01	6.000000e-01	7.722000e+00	3.361547e-02	3.361547e-02
6.000000e-01	7.000000e-01	4.690000e+00	2.220360e-02	2.220360e-02
7.000000e-01	8.000000e-01	2.881000e+00	1.562050e-02	1.562050e-02
8.000000e-01	9.000000e-01	1.830000e+00	1.360147e-02	1.360147e-02
9.000000e-01	1.000000e+00	1.198000e+00	1.140175e-02	1.140175e-02
1.000000e+00	1.200000e+00	6.731000e-01	7.294518e-03	7.294518e-03
1.200000e+00	1.400000e+00	3.265000e-01	4.327817e-03	4.327817e-03
1.400000e+00	1.600000e+00	1.687000e-01	3.522783e-03	3.522783e-03
1.600000e+00	1.800000e+00	9.220000e-02	3.001666e-03	3.001666e-03
1.800000e+00	2.000000e+00	5.250000e-02	2.282542e-03	2.282542e-03
2.000000e+00	2.500000e+00	2.230000e-02	1.118034e-03	1.118034e-03
2.500000e+00	3.000000e+00	6.900000e-03	5.000000e-04	5.000000e-04
3.000000e+00	3.500000e+00	2.600000e-03	2.828427e-04	2.828427e-04
3.500000e+00	5.000000e+00	4.000000e-04	5.656854e-05	5.656854e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d12-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d12-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	6.367243e+01	1.784270e-02	1.784270e-02
1.000000e-01	2.000000e-01	4.841559e+01	1.555885e-02	1.555885e-02
