# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d17-x01-y01
DrawOnly=/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d17-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d17-x01-y01
Title=Log of scaled momentum, $\log(1/x_p)$ (charged)
RatioPlot=1
LogY=1
FullRange=1
RatioPlotReference=/ALEPH_1996_S3486095/d17-x01-y01
XLabel=$\xi_p$
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{\xi_p}$
LegendYPos=0.8
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d17-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d17-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	4.770000e-02	1.421267e-03	1.421267e-03
3.000000e-01	4.000000e-01	9.150000e-02	2.475884e-03	2.475884e-03
4.000000e-01	5.000000e-01	1.483000e-01	3.500000e-03	3.500000e-03
5.000000e-01	6.000000e-01	2.283000e-01	5.024938e-03	5.024938e-03
6.000000e-01	7.000000e-01	3.320000e-01	7.155418e-03	7.155418e-03
7.000000e-01	8.000000e-01	4.514000e-01	1.010198e-02	1.010198e-02
8.000000e-01	9.000000e-01	5.971000e-01	1.350296e-02	1.350296e-02
9.000000e-01	1.000000e+00	7.699000e-01	1.483273e-02	1.483273e-02
1.000000e+00	1.100000e+00	9.605000e-01	1.306790e-02	1.306790e-02
1.100000e+00	1.200000e+00	1.169000e+00	1.252996e-02	1.252996e-02
1.200000e+00	1.300000e+00	1.413000e+00	1.476482e-02	1.476482e-02
1.300000e+00	1.400000e+00	1.653000e+00	1.746425e-02	1.746425e-02
1.400000e+00	1.500000e+00	1.905000e+00	1.969772e-02	1.969772e-02
1.500000e+00	1.600000e+00	2.199000e+00	2.247221e-02	2.247221e-02
1.600000e+00	1.700000e+00	2.473000e+00	2.563201e-02	2.563201e-02
1.700000e+00	1.800000e+00	2.757000e+00	2.657066e-02	2.657066e-02
1.800000e+00	1.900000e+00	3.043000e+00	2.692582e-02	2.692582e-02
1.900000e+00	2.000000e+00	3.337000e+00	2.692582e-02	2.692582e-02
2.000000e+00	2.100000e+00	3.653000e+00	2.915476e-02	2.915476e-02
2.100000e+00	2.200000e+00	3.913000e+00	2.915476e-02	2.915476e-02
2.200000e+00	2.300000e+00	4.211000e+00	2.915476e-02	2.915476e-02
2.300000e+00	2.400000e+00	4.509000e+00	3.046309e-02	3.046309e-02
2.400000e+00	2.500000e+00	4.747000e+00	3.231099e-02	3.231099e-02
2.500000e+00	2.600000e+00	4.975000e+00	3.361547e-02	3.361547e-02
2.600000e+00	2.700000e+00	5.240000e+00	3.269557e-02	3.269557e-02
2.700000e+00	2.800000e+00	5.431000e+00	3.178050e-02	3.178050e-02
2.800000e+00	2.900000e+00	5.668000e+00	3.087070e-02	3.087070e-02
2.900000e+00	3.000000e+00	5.863000e+00	2.952965e-02	2.952965e-02
3.000000e+00	3.100000e+00	6.054000e+00	3.130495e-02	3.130495e-02
3.100000e+00	3.200000e+00	6.124000e+00	3.220248e-02	3.220248e-02
3.200000e+00	3.300000e+00	6.269000e+00	3.401470e-02	3.401470e-02
3.300000e+00	3.400000e+00	6.377000e+00	3.310589e-02	3.310589e-02
3.400000e+00	3.500000e+00	6.474000e+00	3.088689e-02	3.088689e-02
3.500000e+00	3.600000e+00	6.455000e+00	2.865310e-02	2.865310e-02
3.600000e+00	3.700000e+00	6.503000e+00	3.001666e-02	3.001666e-02
3.700000e+00	3.800000e+00	6.497000e+00	3.088689e-02	3.088689e-02
3.800000e+00	3.900000e+00	6.436000e+00	3.088689e-02	3.088689e-02
3.900000e+00	4.000000e+00	6.338000e+00	3.220248e-02	3.220248e-02
4.000000e+00	4.100000e+00	6.149000e+00	3.584690e-02	3.584690e-02
4.100000e+00	4.200000e+00	6.062000e+00	3.676955e-02	3.676955e-02
4.200000e+00	4.300000e+00	5.899000e+00	3.584690e-02	3.584690e-02
4.300000e+00	4.400000e+00	5.698000e+00	3.584690e-02	3.584690e-02
4.400000e+00	4.500000e+00	5.554000e+00	3.676955e-02	3.676955e-02
4.500000e+00	4.600000e+00	5.127000e+00	4.016217e-02	4.016217e-02
4.600000e+00	4.700000e+00	4.778000e+00	4.684015e-02	4.684015e-02
4.700000e+00	4.800000e+00	4.641000e+00	5.263079e-02	5.263079e-02
4.800000e+00	4.900000e+00	4.190000e+00	5.629387e-02	5.629387e-02
4.900000e+00	5.000000e+00	3.772000e+00	6.216912e-02	6.216912e-02
5.000000e+00	5.100000e+00	3.358000e+00	4.729693e-02	4.729693e-02
5.100000e+00	5.200000e+00	2.951000e+00	6.789698e-02	6.789698e-02
5.200000e+00	5.300000e+00	2.565000e+00	2.272202e-01	2.272202e-01
5.300000e+00	5.400000e+00	2.185000e+00	6.900725e-01	6.900725e-01
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d17-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d17-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	5.018500e-02	5.009241e-04	5.009241e-04
3.000000e-01	4.000000e-01	9.522500e-02	6.900181e-04	6.900181e-04
4.000000e-01	5.000000e-01	1.568550e-01	8.855930e-04	8.855930e-04
5.000000e-01	6.000000e-01	2.430100e-01	1.102293e-03	1.102293e-03
6.000000e-01	7.000000e-01	3.461600e-01	1.315599e-03	1.315599e-03
7.000000e-01	8.000000e-01	4.737050e-01	1.539001e-03	1.539001e-03
8.000000e-01	9.000000e-01	6.250700e-01	1.767866e-03	1.767866e-03
9.000000e-01	1.000000e+00	7.883750e-01	1.985416e-03	1.985416e-03
1.000000e+00	1.100000e+00	9.785100e-01	2.211911e-03	2.211911e-03
1.100000e+00	1.200000e+00	1.185760e+00	2.434913e-03	2.434913e-03
1.200000e+00	1.300000e+00	1.409025e+00	2.654265e-03	2.654265e-03
1.300000e+00	1.400000e+00	1.650710e+00	2.872899e-03	2.872899e-03
1.400000e+00	1.500000e+00	1.900720e+00	3.082791e-03	3.082791e-03
1.500000e+00	1.600000e+00	2.161340e+00	3.287355e-03	3.287355e-03
1.600000e+00	1.700000e+00	2.426940e+00	3.483490e-03	3.483490e-03
1.700000e+00	1.800000e+00	2.703715e+00	3.676761e-03	3.676761e-03
1.800000e+00	1.900000e+00	2.986495e+00	3.864255e-03	3.864255e-03
1.900000e+00	2.000000e+00	3.272145e+00	4.044839e-03	4.044839e-03
2.000000e+00	2.100000e+00	3.542385e+00	4.208553e-03	4.208553e-03
2.100000e+00	2.200000e+00	3.815035e+00	4.367514e-03	4.367514e-03
2.200000e+00	2.300000e+00	4.081920e+00	4.517699e-03	4.517699e-03
2.300000e+00	2.400000e+00	4.332320e+00	4.654202e-03	4.654202e-03
2.400000e+00	2.500000e+00	4.595560e+00	4.793516e-03	4.793516e-03
2.500000e+00	2.600000e+00	4.828400e+00	4.913451e-03	4.913451e-03
2.600000e+00	2.700000e+00	5.056620e+00	5.028230e-03	5.028230e-03
2.700000e+00	2.800000e+00	5.289490e+00	5.142708e-03	5.142708e-03
2.800000e+00	2.900000e+00	5.491890e+00	5.240177e-03	5.240177e-03
2.900000e+00	3.000000e+00	5.700070e+00	5.338572e-03	5.338572e-03
3.000000e+00	3.100000e+00	5.874780e+00	5.419769e-03	5.419769e-03
3.100000e+00	3.200000e+00	6.043870e+00	5.497213e-03	5.497213e-03
3.200000e+00	3.300000e+00	6.180540e+00	5.559020e-03	5.559020e-03
3.300000e+00	3.400000e+00	6.300540e+00	5.612727e-03	5.612727e-03
3.400000e+00	3.500000e+00	6.396710e+00	5.655400e-03	5.655400e-03
3.500000e+00	3.600000e+00	6.463095e+00	5.684671e-03	5.684671e-03
3.600000e+00	3.700000e+00	6.492510e+00	5.697592e-03	5.697592e-03
3.700000e+00	3.800000e+00	6.492350e+00	5.697521e-03	5.697521e-03
3.800000e+00	3.900000e+00	6.450170e+00	5.678983e-03	5.678983e-03
3.900000e+00	4.000000e+00	6.371630e+00	5.644302e-03	5.644302e-03
4.000000e+00	4.100000e+00	6.217245e+00	5.575502e-03	5.575502e-03
4.100000e+00	4.200000e+00	6.054745e+00	5.502156e-03	5.502156e-03
4.200000e+00	4.300000e+00	5.824765e+00	5.396650e-03	5.396650e-03
4.300000e+00	4.400000e+00	5.564080e+00	5.274505e-03	5.274505e-03
4.400000e+00	4.500000e+00	5.261990e+00	5.129323e-03	5.129323e-03
4.500000e+00	4.600000e+00	4.933365e+00	4.966570e-03	4.966570e-03
4.600000e+00	4.700000e+00	4.571480e+00	4.780941e-03	4.780941e-03
4.700000e+00	4.800000e+00	4.202080e+00	4.583710e-03	4.583710e-03
4.800000e+00	4.900000e+00	3.824060e+00	4.372677e-03	4.372677e-03
4.900000e+00	5.000000e+00	3.436945e+00	4.145446e-03	4.145446e-03
5.000000e+00	5.100000e+00	3.057610e+00	3.909994e-03	3.909994e-03
5.100000e+00	5.200000e+00	2.697590e+00	3.672594e-03	3.672594e-03
5.200000e+00	5.300000e+00	2.355605e+00	3.431912e-03	3.431912e-03
5.300000e+00	5.400000e+00	2.033860e+00	3.188934e-03	3.188934e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d17-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d17-x01-y01
ScaledBy=5.00000000000000083e-07
