# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d18-x01-y01
DrawOnly=/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d18-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d18-x01-y01
Title=Charged multiplicity distribution
RatioPlotReference=/ALEPH_1996_S3486095/d18-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.20
XLabel=$N_\text{ch}$
YLabel=$1/N \, \text{d}{N}/\text{d}{N_\text{ch}}$
LegendYPos=0.75
Legend=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d18-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d18-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e+00	5.000000e+00	2.000000e-03	3.201562e-03	3.201562e-03
5.000000e+00	7.000000e+00	2.100000e-03	2.657066e-03	2.657066e-03
7.000000e+00	9.000000e+00	5.800000e-03	2.416609e-03	2.416609e-03
9.000000e+00	1.100000e+01	2.660000e-02	3.328663e-03	3.328663e-03
1.100000e+01	1.300000e+01	5.310000e-02	7.111259e-03	7.111259e-03
1.300000e+01	1.500000e+01	7.900000e-02	1.360147e-02	1.360147e-02
1.500000e+01	1.700000e+01	1.280000e-01	1.581139e-02	1.581139e-02
1.700000e+01	1.900000e+01	1.180000e-01	1.868154e-02	1.868154e-02
1.900000e+01	2.100000e+01	1.330000e-01	1.300000e-02	1.300000e-02
2.100000e+01	2.300000e+01	1.220000e-01	1.077033e-02	1.077033e-02
2.300000e+01	2.500000e+01	9.000000e-02	1.077033e-02	1.077033e-02
2.500000e+01	2.700000e+01	7.600000e-02	6.931811e-03	6.931811e-03
2.700000e+01	2.900000e+01	5.590000e-02	7.026379e-03	7.026379e-03
2.900000e+01	3.100000e+01	3.890000e-02	3.940812e-03	3.940812e-03
3.100000e+01	3.300000e+01	2.640000e-02	3.244996e-03	3.244996e-03
3.300000e+01	3.500000e+01	1.660000e-02	2.247221e-03	2.247221e-03
3.500000e+01	3.700000e+01	1.050000e-02	1.972308e-03	1.972308e-03
3.700000e+01	3.900000e+01	8.000000e-03	1.612452e-03	1.612452e-03
3.900000e+01	4.100000e+01	4.400000e-03	1.081665e-03	1.081665e-03
4.100000e+01	4.300000e+01	1.900000e-03	6.403124e-04	6.403124e-04
4.300000e+01	4.500000e+01	9.100000e-04	4.565085e-04	4.565085e-04
4.500000e+01	4.700000e+01	7.600000e-04	6.264184e-04	6.264184e-04
4.700000e+01	4.900000e+01	3.000000e-05	1.100727e-03	1.100727e-03
4.900000e+01	5.100000e+01	3.800000e-04	4.825971e-04	4.825971e-04
5.100000e+01	5.300000e+01	2.300000e-04	2.193171e-04	2.193171e-04
5.300000e+01	5.500000e+01	1.300000e-04	2.441311e-04	2.441311e-04
# END HISTO1D

