# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d27-x01-y01
XLabel=$x_p$
RatioPlotReference=/ALEPH_1996_S3486095/d27-x01-y01
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{x_p}$
Title=$p$ spectrum
DrawOnly=/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d27-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d27-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d27-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d27-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.100000e-02	8.320000e+00	3.500000e-01	3.500000e-01
1.100000e-02	1.200000e-02	8.950000e+00	3.600000e-01	3.600000e-01
1.200000e-02	1.300000e-02	9.800000e+00	3.601389e-01	3.601389e-01
1.300000e-02	1.400000e-02	1.030000e+01	3.801316e-01	3.801316e-01
1.400000e-02	1.600000e-02	1.070000e+01	2.601922e-01	2.601922e-01
1.600000e-02	1.800000e-02	1.158000e+01	2.729469e-01	2.729469e-01
2.400000e-02	2.600000e-02	1.237000e+01	2.920616e-01	2.920616e-01
2.600000e-02	2.800000e-02	1.246000e+01	4.753946e-01	4.753946e-01
7.000000e-02	7.500000e-02	5.315000e+00	9.022372e-01	9.022372e-01
7.500000e-02	8.000000e-02	5.008000e+00	6.646879e-01	6.646879e-01
8.000000e-02	8.500000e-02	4.445000e+00	5.724028e-01	5.724028e-01
8.500000e-02	9.000000e-02	4.555000e+00	4.983894e-01	4.983894e-01
9.000000e-02	1.000000e-01	3.742000e+00	3.667274e-01	3.667274e-01
1.000000e-01	1.100000e-01	3.355000e+00	3.038421e-01	3.038421e-01
1.100000e-01	1.200000e-01	2.905000e+00	2.444443e-01	2.444443e-01
1.200000e-01	1.300000e-01	2.653000e+00	2.172763e-01	2.172763e-01
1.300000e-01	1.400000e-01	2.371000e+00	1.905466e-01	1.905466e-01
1.400000e-01	1.500000e-01	2.137000e+00	1.741838e-01	1.741838e-01
1.500000e-01	1.600000e-01	1.878000e+00	1.582308e-01	1.582308e-01
1.600000e-01	1.800000e-01	1.696000e+00	1.249200e-01	1.249200e-01
1.800000e-01	2.000000e-01	1.299000e+00	1.053423e-01	1.053423e-01
2.000000e-01	2.500000e-01	9.660000e-01	7.569016e-02	7.569016e-02
2.500000e-01	3.000000e-01	6.140000e-01	5.661272e-02	5.661272e-02
3.000000e-01	4.000000e-01	3.050000e-01	3.228002e-02	3.228002e-02
4.000000e-01	6.000000e-01	7.840000e-02	1.151347e-02	1.151347e-02
6.000000e-01	8.000000e-01	5.400000e-03	2.459675e-03	2.459675e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d27-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d27-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.100000e-02	8.789000e+00	6.629103e-02	6.629103e-02
1.100000e-02	1.200000e-02	9.541500e+00	6.907062e-02	6.907062e-02
1.200000e-02	1.300000e-02	1.028900e+01	7.172517e-02	7.172517e-02
1.300000e-02	1.400000e-02	1.091350e+01	7.386982e-02	7.386982e-02
1.400000e-02	1.600000e-02	1.165150e+01	5.397106e-02	5.397106e-02
1.600000e-02	1.800000e-02	1.250075e+01	5.590338e-02	5.590338e-02
2.400000e-02	2.600000e-02	1.268850e+01	5.632162e-02	5.632162e-02
2.600000e-02	2.800000e-02	1.227275e+01	5.539122e-02	5.539122e-02
7.000000e-02	7.500000e-02	5.237900e+00	2.288646e-02	2.288646e-02
7.500000e-02	8.000000e-02	4.817500e+00	2.194880e-02	2.194880e-02
8.000000e-02	8.500000e-02	4.446800e+00	2.108744e-02	2.108744e-02
8.500000e-02	9.000000e-02	4.157100e+00	2.038897e-02	2.038897e-02
9.000000e-02	1.000000e-01	3.676450e+00	1.355812e-02	1.355812e-02
1.000000e-01	1.100000e-01	3.214950e+00	1.267862e-02	1.267862e-02
1.100000e-01	1.200000e-01	2.832550e+00	1.190074e-02	1.190074e-02
1.200000e-01	1.300000e-01	2.512400e+00	1.120803e-02	1.120803e-02
1.300000e-01	1.400000e-01	2.211350e+00	1.051511e-02	1.051511e-02
1.400000e-01	1.500000e-01	2.000500e+00	1.000125e-02	1.000125e-02
1.500000e-01	1.600000e-01	1.764800e+00	9.393615e-03	9.393615e-03
1.600000e-01	1.800000e-01	1.475925e+00	6.074383e-03	6.074383e-03
1.800000e-01	2.000000e-01	1.179425e+00	5.430067e-03	5.430067e-03
2.000000e-01	2.500000e-01	8.270100e-01	2.875778e-03	2.875778e-03
2.500000e-01	3.000000e-01	5.120400e-01	2.262830e-03	2.262830e-03
3.000000e-01	4.000000e-01	2.717800e-01	1.165719e-03	1.165719e-03
4.000000e-01	6.000000e-01	8.389750e-02	4.579779e-04	4.579779e-04
6.000000e-01	8.000000e-01	1.239250e-02	1.760149e-04	1.760149e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d27-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d27-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-02	1.100000e-02	8.797000e+00	6.632119e-02	6.632119e-02
1.100000e-02	1.200000e-02	9.718500e+00	6.970832e-02	6.970832e-02
1.200000e-02	1.300000e-02	1.043050e+01	7.221669e-02	7.221669e-02
1.300000e-02	1.400000e-02	1.120500e+01	7.484985e-02	7.484985e-02
1.400000e-02	1.600000e-02	1.185150e+01	5.443230e-02	5.443230e-02
1.600000e-02	1.800000e-02	1.254600e+01	5.600446e-02	5.600446e-02
2.400000e-02	2.600000e-02	1.265975e+01	5.625778e-02	5.625778e-02
2.600000e-02	2.800000e-02	1.242225e+01	5.572757e-02	5.572757e-02
7.000000e-02	7.500000e-02	5.269800e+00	2.295604e-02	2.295604e-02
7.500000e-02	8.000000e-02	4.880900e+00	2.209276e-02	2.209276e-02
8.000000e-02	8.500000e-02	4.461600e+00	2.112250e-02	2.112250e-02
8.500000e-02	9.000000e-02	4.171600e+00	2.042450e-02	2.042450e-02
9.000000e-02	1.000000e-01	3.718200e+00	1.363488e-02	1.363488e-02
1.000000e-01	1.100000e-01	3.252250e+00	1.275196e-02	1.275196e-02
1.100000e-01	1.200000e-01	2.872700e+00	1.198478e-02	1.198478e-02
1.200000e-01	1.300000e-01	2.548800e+00	1.128893e-02	1.128893e-02
1.300000e-01	1.400000e-01	2.247150e+00	1.059988e-02	1.059988e-02
1.400000e-01	1.500000e-01	2.005150e+00	1.001287e-02	1.001287e-02
1.500000e-01	1.600000e-01	1.770850e+00	9.409702e-03	9.409702e-03
1.600000e-01	1.800000e-01	1.502300e+00	6.128417e-03	6.128417e-03
1.800000e-01	2.000000e-01	1.192200e+00	5.459396e-03	5.459396e-03
2.000000e-01	2.500000e-01	8.372500e-01	2.893527e-03	2.893527e-03
2.500000e-01	3.000000e-01	5.146600e-01	2.268612e-03	2.268612e-03
3.000000e-01	4.000000e-01	2.763150e-01	1.175404e-03	1.175404e-03
4.000000e-01	6.000000e-01	8.428250e-02	4.590275e-04	4.590275e-04
6.000000e-01	8.000000e-01	1.278500e-02	1.787806e-04	1.787806e-04
# END HISTO1D

