# BEGIN PLOT
LegendOnly=/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d34-x01-y01
XLabel=$x_E$
RatioPlotReference=/ALEPH_1996_S3486095/d34-x01-y01
YLabel=$1/\sigma \, \text{d}{\sigma}/\text{d}{x_E}$
Title=$\Xi^-$ spectrum
DrawOnly=/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1996_S3486095/d34-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1996_S3486095/d34-x01-y01
RatioPlot=1
FullRange=1
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /ALEPH_1996_S3486095/d34-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1996_S3486095/d34-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	5.000000e-02	3.360000e-01	2.600000e-02	2.600000e-02
5.000000e-02	7.000000e-02	2.260000e-01	1.400000e-02	1.400000e-02
7.000000e-02	9.000000e-02	1.630000e-01	9.900000e-03	9.900000e-03
9.000000e-02	1.100000e-01	1.090000e-01	6.800000e-03	6.800000e-03
1.100000e-01	1.300000e-01	9.250000e-02	6.000000e-03	6.000000e-03
1.300000e-01	1.600000e-01	6.720000e-02	4.300000e-03	4.300000e-03
1.600000e-01	1.900000e-01	5.330000e-02	3.800000e-03	3.800000e-03
1.900000e-01	2.200000e-01	5.070000e-02	4.000000e-03	4.000000e-03
2.200000e-01	2.600000e-01	2.690000e-02	2.300000e-03	2.300000e-03
2.600000e-01	3.500000e-01	2.080000e-02	1.800000e-03	1.800000e-03
3.500000e-01	5.000000e-01	1.040000e-02	1.300000e-03	1.300000e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d34-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1996_S3486095/d34-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-02	5.000000e-02	3.491750e-01	2.954552e-03	2.954552e-03
5.000000e-02	7.000000e-02	2.157750e-01	2.322579e-03	2.322579e-03
7.000000e-02	9.000000e-02	1.470000e-01	1.917029e-03	1.917029e-03
9.000000e-02	1.100000e-01	1.067250e-01	1.633440e-03	1.633440e-03
1.100000e-01	1.300000e-01	8.220000e-02	1.433527e-03	1.433527e-03
1.300000e-01	1.600000e-01	6.380000e-02	1.031181e-03	1.031181e-03
1.600000e-01	1.900000e-01	4.866667e-02	9.006171e-04	9.006171e-04
1.900000e-01	2.200000e-01	3.851667e-02	8.012144e-04	8.012144e-04
2.200000e-01	2.600000e-01	2.887500e-02	6.007807e-04	6.007807e-04
