# BEGIN PLOT
LegendOnly=/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1999_S4193598/d01-x01-y01
XLabel=$X_E$
RatioPlotReference=/ALEPH_1999_S4193598/d01-x01-y01
YLabel=$1/N_\text{Zhad} \text{d}N(D^{*})/\text{d}X_E$
DrawOnly=/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_1999_S4193598/d01-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_1999_S4193598/d01-x01-y01
RatioPlot=1
Title=Scaled energy of $D^{*\pm}$ in $e^+e^-\to Z\to\text{hadronic}$ at $\sqrt{s}=91.2$~GeV
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D /ALEPH_1999_S4193598/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_1999_S4193598/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-01	1.500000e-01	7.470000e-03	6.300000e-04	6.300000e-04
1.500000e-01	2.000000e-01	9.030000e-03	4.900000e-04	4.900000e-04
2.000000e-01	2.500000e-01	1.042000e-02	4.400000e-04	4.400000e-04
2.500000e-01	3.000000e-01	1.076000e-02	4.300000e-04	4.300000e-04
3.000000e-01	3.500000e-01	9.890000e-03	3.800000e-04	3.800000e-04
3.500000e-01	4.000000e-01	8.970000e-03	3.500000e-04	3.500000e-04
4.000000e-01	4.500000e-01	8.170000e-03	3.200000e-04	3.200000e-04
4.500000e-01	5.000000e-01	6.940000e-03	2.800000e-04	2.800000e-04
5.000000e-01	5.500000e-01	6.730000e-03	2.700000e-04	2.700000e-04
5.500000e-01	6.000000e-01	5.560000e-03	2.400000e-04	2.400000e-04
6.000000e-01	6.500000e-01	4.940000e-03	2.200000e-04	2.200000e-04
6.500000e-01	7.000000e-01	3.490000e-03	1.800000e-04	1.800000e-04
7.000000e-01	7.500000e-01	3.130000e-03	1.700000e-04	1.700000e-04
7.500000e-01	8.000000e-01	2.000000e-03	1.400000e-04	1.400000e-04
8.000000e-01	8.500000e-01	1.270000e-03	1.100000e-04	1.100000e-04
8.500000e-01	9.000000e-01	5.000000e-04	7.000000e-05	7.000000e-05
9.000000e-01	9.500000e-01	2.700000e-04	5.000000e-05	5.000000e-05
9.500000e-01	1.000000e+00	6.000000e-05	3.000000e-05	3.000000e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1999_S4193598/d01-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_1999_S4193598/d01-x01-y01
ScaledBy=1.31719111132451338e-08
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-01	1.500000e-01	5.211334e-03	3.705219e-05	3.705219e-05
1.500000e-01	2.000000e-01	7.551984e-03	4.460360e-05	4.460360e-05
2.000000e-01	2.500000e-01	1.005833e-02	5.147572e-05	5.147572e-05
2.500000e-01	3.000000e-01	1.153965e-02	5.513605e-05	5.513605e-05
3.000000e-01	3.500000e-01	1.127595e-02	5.450243e-05	5.450243e-05
3.500000e-01	4.000000e-01	9.709542e-03	5.057534e-05	5.057534e-05
4.000000e-01	4.500000e-01	8.339136e-03	4.687054e-05	4.687054e-05
4.500000e-01	5.000000e-01	7.230852e-03	4.364496e-05	4.364496e-05
5.000000e-01	5.500000e-01	6.307502e-03	4.076318e-05	4.076318e-05
5.500000e-01	6.000000e-01	5.396532e-03	3.770481e-05	3.770481e-05
6.000000e-01	6.500000e-01	4.556954e-03	3.464789e-05	3.464789e-05
6.500000e-01	7.000000e-01	3.595404e-03	3.077608e-05	3.077608e-05
7.000000e-01	7.500000e-01	2.696818e-03	2.665417e-05	2.665417e-05
7.500000e-01	8.000000e-01	1.906239e-03	2.240929e-05	2.240929e-05
8.000000e-01	8.500000e-01	1.217611e-03	1.790992e-05	1.790992e-05
8.500000e-01	9.000000e-01	6.651816e-04	1.323761e-05	1.323761e-05
9.000000e-01	9.500000e-01	2.924164e-04	8.776883e-06	8.776883e-06
9.500000e-01	1.000000e+00	5.532202e-05	3.817582e-06	3.817582e-06
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1999_S4193598/d01-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_1999_S4193598/d01-x01-y01
ScaledBy=1.31722734679872632e-08
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e-01	1.500000e-01	5.263378e-03	3.723725e-05	3.723725e-05
1.500000e-01	2.000000e-01	7.515572e-03	4.449656e-05	4.449656e-05
2.000000e-01	2.500000e-01	1.004201e-02	5.143465e-05	5.143465e-05
2.500000e-01	3.000000e-01	1.145830e-02	5.494212e-05	5.494212e-05
3.000000e-01	3.500000e-01	1.129786e-02	5.455611e-05	5.455611e-05
3.500000e-01	4.000000e-01	9.659492e-03	5.044551e-05	5.044551e-05
4.000000e-01	4.500000e-01	8.334098e-03	4.685702e-05	4.685702e-05
4.500000e-01	5.000000e-01	7.273202e-03	4.377319e-05	4.377319e-05
5.000000e-01	5.500000e-01	6.337708e-03	4.086123e-05	4.086123e-05
5.500000e-01	6.000000e-01	5.537360e-03	3.819414e-05	3.819414e-05
6.000000e-01	6.500000e-01	4.558660e-03	3.465485e-05	3.465485e-05
