# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d102-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d102-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d102-x01-y01
Title=Thrust minor ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d102-x01-y01
LegendXPos=0.35
XLabel=$\ln(T_\mathrm{minor})$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\ln(T_\mathrm{minor})$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d102-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d102-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.800000e+00	4.300000e-04	3.419064e-04	3.419064e-04
-4.800000e+00	-4.700000e+00	5.000000e-04	5.078386e-04	5.078386e-04
-4.700000e+00	-4.600000e+00	5.200000e-04	5.971599e-04	5.971599e-04
-4.600000e+00	-4.500000e+00	1.430000e-03	1.620062e-03	1.620062e-03
-4.500000e+00	-4.400000e+00	1.440000e-03	1.492682e-03	1.492682e-03
-4.400000e+00	-4.300000e+00	2.140000e-03	2.425902e-03	2.425902e-03
-4.300000e+00	-4.200000e+00	1.720000e-03	1.664272e-03	1.664272e-03
-4.200000e+00	-4.100000e+00	2.750000e-03	2.658834e-03	2.658834e-03
-4.100000e+00	-4.000000e+00	2.980000e-03	2.557987e-03	2.557987e-03
-4.000000e+00	-3.900000e+00	3.560000e-03	2.752326e-03	2.752326e-03
-3.900000e+00	-3.800000e+00	4.640000e-03	2.408589e-03	2.408589e-03
-3.800000e+00	-3.700000e+00	6.950000e-03	2.502239e-03	2.502239e-03
-3.700000e+00	-3.600000e+00	1.126000e-02	2.233764e-03	2.233764e-03
-3.600000e+00	-3.500000e+00	2.079000e-02	2.279057e-03	2.279057e-03
-3.500000e+00	-3.400000e+00	4.068000e-02	3.424471e-03	3.424471e-03
-3.400000e+00	-3.300000e+00	7.405000e-02	2.732782e-03	2.732782e-03
-3.300000e+00	-3.200000e+00	1.326700e-01	3.853245e-03	3.853245e-03
-3.200000e+00	-3.100000e+00	2.182200e-01	6.173840e-03	6.173840e-03
-3.100000e+00	-3.000000e+00	3.345400e-01	1.196601e-02	1.196601e-02
-3.000000e+00	-2.900000e+00	4.762100e-01	1.912336e-02	1.912336e-02
-2.900000e+00	-2.800000e+00	6.254700e-01	2.172224e-02	2.172224e-02
-2.800000e+00	-2.700000e+00	7.693000e-01	2.337912e-02	2.337912e-02
-2.700000e+00	-2.600000e+00	8.766800e-01	2.663174e-02	2.663174e-02
-2.600000e+00	-2.500000e+00	9.513700e-01	2.808519e-02	2.808519e-02
-2.500000e+00	-2.400000e+00	9.487200e-01	1.064568e-02	1.064568e-02
-2.400000e+00	-2.300000e+00	9.037500e-01	1.081912e-02	1.081912e-02
-2.300000e+00	-2.200000e+00	8.131500e-01	1.074256e-02	1.074256e-02
-2.200000e+00	-2.100000e+00	6.913800e-01	1.921313e-02	1.921313e-02
-2.100000e+00	-2.000000e+00	5.547000e-01	1.588222e-02	1.588222e-02
-2.000000e+00	-1.900000e+00	4.402200e-01	1.279394e-02	1.279394e-02
-1.900000e+00	-1.800000e+00	3.265400e-01	2.562116e-02	2.562116e-02
-1.800000e+00	-1.700000e+00	2.450400e-01	1.901475e-02	1.901475e-02
-1.700000e+00	-1.600000e+00	1.730000e-01	1.360352e-02	1.360352e-02
-1.600000e+00	-1.500000e+00	1.234000e-01	1.197798e-02	1.197798e-02
-1.500000e+00	-1.400000e+00	8.372000e-02	8.383203e-03	8.383203e-03
-1.400000e+00	-1.300000e+00	5.588000e-02	5.665810e-03	5.665810e-03
-1.300000e+00	-1.200000e+00	3.476000e-02	4.001362e-03	4.001362e-03
-1.200000e+00	-1.100000e+00	2.181000e-02	2.599269e-03	2.599269e-03
-1.100000e+00	-1.000000e+00	1.176000e-02	1.530588e-03	1.530588e-03
-1.000000e+00	-9.000000e-01	6.310000e-03	1.266728e-03	1.266728e-03
-9.000000e-01	-8.000000e-01	3.370000e-03	7.473286e-04	7.473286e-04
-8.000000e-01	-7.000000e-01	1.430000e-03	3.495712e-04	3.495712e-04
-7.000000e-01	-6.000000e-01	5.400000e-04	1.562050e-04	1.562050e-04
-6.000000e-01	-5.000000e-01	9.000000e-05	3.741657e-05	3.741657e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d102-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d102-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-4.900000e+00	-4.800000e+00	1.500000e-05	8.660254e-06	8.660254e-06
-4.800000e+00	-4.700000e+00	2.500000e-05	1.118034e-05	1.118034e-05
-4.700000e+00	-4.600000e+00	4.000000e-05	1.414214e-05	1.414214e-05
-4.600000e+00	-4.500000e+00	3.500000e-05	1.322876e-05	1.322876e-05
-4.500000e+00	-4.400000e+00	7.000000e-05	1.870829e-05	1.870829e-05
-4.400000e+00	-4.300000e+00	8.000000e-05	2.000000e-05	2.000000e-05
-4.300000e+00	-4.200000e+00	2.400000e-04	3.464102e-05	3.464102e-05
-4.200000e+00	-4.100000e+00	4.200000e-04	4.582576e-05	4.582576e-05
-4.100000e+00	-4.000000e+00	7.650000e-04	6.184658e-05	6.184658e-05
-4.000000e+00	-3.900000e+00	1.410000e-03	8.396428e-05	8.396428e-05
-3.900000e+00	-3.800000e+00	2.885000e-03	1.201041e-04	1.201041e-04
-3.800000e+00	-3.700000e+00	5.805000e-03	1.703673e-04	1.703673e-04
-3.700000e+00	-3.600000e+00	1.127500e-02	2.374342e-04	2.374342e-04
-3.600000e+00	-3.500000e+00	2.146500e-02	3.276049e-04	3.276049e-04
-3.500000e+00	-3.400000e+00	4.001000e-02	4.472695e-04	4.472695e-04
-3.400000e+00	-3.300000e+00	7.436000e-02	6.097540e-04	6.097540e-04
-3.300000e+00	-3.200000e+00	1.272900e-01	7.977782e-04	7.977782e-04
-3.200000e+00	-3.100000e+00	2.056350e-01	1.013990e-03	1.013990e-03
-3.100000e+00	-3.000000e+00	3.137000e-01	1.252398e-03	1.252398e-03
-3.000000e+00	-2.900000e+00	4.410450e-01	1.485000e-03	1.485000e-03
-2.900000e+00	-2.800000e+00	5.864050e-01	1.712316e-03	1.712316e-03
-2.800000e+00	-2.700000e+00	7.240000e-01	1.902630e-03	1.902630e-03
-2.700000e+00	-2.600000e+00	8.424200e-01	2.052340e-03	2.052340e-03
-2.600000e+00	-2.500000e+00	9.211800e-01	2.146136e-03	2.146136e-03
-2.500000e+00	-2.400000e+00	9.514550e-01	2.181118e-03	2.181118e-03
-2.400000e+00	-2.300000e+00	9.207950e-01	2.145688e-03	2.145688e-03
-2.300000e+00	-2.200000e+00	8.434550e-01	2.053600e-03	2.053600e-03
-2.200000e+00	-2.100000e+00	7.363850e-01	1.918834e-03	1.918834e-03
-2.100000e+00	-2.000000e+00	6.057400e-01	1.740316e-03	1.740316e-03
-2.000000e+00	-1.900000e+00	4.752650e-01	1.541533e-03	1.541533e-03
-1.900000e+00	-1.800000e+00	3.610850e-01	1.343661e-03	1.343661e-03
