# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d110-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d110-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d110-x01-y01
Title=Jet mass difference ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d110-x01-y01
LegendXPos=0.05
XLabel=$M_D$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}M_D$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d110-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d110-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.555451e+01	4.756825e-01	4.756825e-01
1.000000e-02	2.000000e-02	2.080849e+01	1.495604e-01	1.495604e-01
2.000000e-02	3.000000e-02	1.122253e+01	9.126118e-02	9.126118e-02
3.000000e-02	4.000000e-02	7.099850e+00	1.641676e-01	1.641676e-01
4.000000e-02	5.000000e-02	5.006380e+00	6.052387e-02	6.052387e-02
5.000000e-02	6.000000e-02	3.750150e+00	4.782410e-02	4.782410e-02
6.000000e-02	7.000000e-02	2.879640e+00	6.829089e-02	6.829089e-02
7.000000e-02	8.000000e-02	2.283880e+00	5.045716e-02	5.045716e-02
8.000000e-02	9.000000e-02	1.858140e+00	4.784860e-02	4.784860e-02
9.000000e-02	1.000000e-01	1.540500e+00	3.251527e-02	3.251527e-02
1.000000e-01	1.100000e-01	1.304360e+00	2.520150e-02	2.520150e-02
1.100000e-01	1.200000e-01	1.053500e+00	2.074486e-02	2.074486e-02
1.200000e-01	1.300000e-01	8.950100e-01	2.818141e-02	2.818141e-02
1.300000e-01	1.400000e-01	7.694400e-01	2.443629e-02	2.443629e-02
1.400000e-01	1.500000e-01	6.532400e-01	2.290071e-02	2.290071e-02
1.500000e-01	1.600000e-01	5.527000e-01	1.796753e-02	1.796753e-02
1.600000e-01	1.700000e-01	4.824800e-01	1.439254e-02	1.439254e-02
1.700000e-01	1.800000e-01	4.075100e-01	1.273544e-02	1.273544e-02
1.800000e-01	1.900000e-01	3.479200e-01	1.451174e-02	1.451174e-02
1.900000e-01	2.000000e-01	3.047100e-01	8.896173e-03	8.896173e-03
2.000000e-01	2.100000e-01	2.499600e-01	9.377233e-03	9.377233e-03
2.100000e-01	2.200000e-01	2.157900e-01	1.107829e-02	1.107829e-02
2.200000e-01	2.300000e-01	1.783700e-01	6.573051e-03	6.573051e-03
2.300000e-01	2.400000e-01	1.472300e-01	6.128238e-03	6.128238e-03
2.400000e-01	2.500000e-01	1.206200e-01	6.766956e-03	6.766956e-03
2.500000e-01	2.600000e-01	9.578000e-02	4.991833e-03	4.991833e-03
2.600000e-01	2.700000e-01	7.298000e-02	4.171439e-03	4.171439e-03
2.700000e-01	2.800000e-01	5.887000e-02	5.794765e-03	5.794765e-03
2.800000e-01	2.900000e-01	3.594000e-02	3.285438e-03	3.285438e-03
2.900000e-01	3.000000e-01	2.227000e-02	2.824217e-03	2.824217e-03
3.000000e-01	3.100000e-01	1.574000e-02	3.283824e-03	3.283824e-03
3.100000e-01	3.200000e-01	6.640000e-03	1.073406e-03	1.073406e-03
3.200000e-01	3.300000e-01	2.720000e-03	5.264029e-04	5.264029e-04
3.300000e-01	3.400000e-01	1.470000e-03	5.008992e-04	5.008992e-04
3.400000e-01	3.500000e-01	3.700000e-04	1.232883e-04	1.232883e-04
3.500000e-01	3.600000e-01	1.600000e-04	6.708204e-05	6.708204e-05
3.600000e-01	3.700000e-01	1.000000e-04	9.539392e-05	9.539392e-05
3.700000e-01	3.800000e-01	3.000000e-05	3.741657e-05	3.741657e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d110-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d110-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.498335e+01	4.182304e-02	4.182304e-02
1.000000e-02	2.000000e-02	2.088520e+01	3.231501e-02	3.231501e-02
2.000000e-02	3.000000e-02	1.160665e+01	2.409009e-02	2.409009e-02
3.000000e-02	4.000000e-02	7.371450e+00	1.919824e-02	1.919824e-02
4.000000e-02	5.000000e-02	5.138200e+00	1.602841e-02	1.602841e-02
5.000000e-02	6.000000e-02	3.819050e+00	1.381856e-02	1.381856e-02
6.000000e-02	7.000000e-02	2.906500e+00	1.205508e-02	1.205508e-02
7.000000e-02	8.000000e-02	2.302550e+00	1.072975e-02	1.072975e-02
8.000000e-02	9.000000e-02	1.830000e+00	9.565563e-03	9.565563e-03
9.000000e-02	1.000000e-01	1.502850e+00	8.668477e-03	8.668477e-03
1.000000e-01	1.100000e-01	1.246800e+00	7.895568e-03	7.895568e-03
1.100000e-01	1.200000e-01	1.040400e+00	7.212489e-03	7.212489e-03
1.200000e-01	1.300000e-01	8.580500e-01	6.550000e-03	6.550000e-03
1.300000e-01	1.400000e-01	7.360500e-01	6.066506e-03	6.066506e-03
1.400000e-01	1.500000e-01	6.384000e-01	5.649779e-03	5.649779e-03
1.500000e-01	1.600000e-01	5.353000e-01	5.173490e-03	5.173490e-03
1.600000e-01	1.700000e-01	4.647000e-01	4.820270e-03	4.820270e-03
1.700000e-01	1.800000e-01	3.892000e-01	4.411349e-03	4.411349e-03
1.800000e-01	1.900000e-01	3.333500e-01	4.082585e-03	4.082585e-03
1.900000e-01	2.000000e-01	2.802000e-01	3.742993e-03	3.742993e-03
2.000000e-01	2.100000e-01	2.402000e-01	3.465545e-03	3.465545e-03
2.100000e-01	2.200000e-01	2.039500e-01	3.193352e-03	3.193352e-03
2.200000e-01	2.300000e-01	1.593500e-01	2.822676e-03	2.822676e-03
2.300000e-01	2.400000e-01	1.366000e-01	2.613427e-03	2.613427e-03
2.400000e-01	2.500000e-01	1.076000e-01	2.319483e-03	2.319483e-03
2.500000e-01	2.600000e-01	8.500000e-02	2.061553e-03	2.061553e-03
2.600000e-01	2.700000e-01	6.545000e-02	1.809005e-03	1.809005e-03
2.700000e-01	2.800000e-01	4.875000e-02	1.561249e-03	1.561249e-03
2.800000e-01	2.900000e-01	3.405000e-02	1.304799e-03	1.304799e-03
2.900000e-01	3.000000e-01	2.240000e-02	1.058301e-03	1.058301e-03
3.000000e-01	3.100000e-01	1.465000e-02	8.558621e-04	8.558621e-04
3.100000e-01	3.200000e-01	7.250000e-03	6.020797e-04	6.020797e-04
3.200000e-01	3.300000e-01	3.800000e-03	4.358899e-04	4.358899e-04
3.300000e-01	3.400000e-01	1.400000e-03	2.645751e-04	2.645751e-04
3.400000e-01	3.500000e-01	3.500000e-04	1.322876e-04	1.322876e-04
3.500000e-01	3.600000e-01	4.000000e-04	1.414214e-04	1.414214e-04
3.600000e-01	3.700000e-01	2.000000e-04	1.000000e-04	1.000000e-04
3.700000e-01	3.800000e-01	1.000000e-04	7.071068e-05	7.071068e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d110-x01-y01
IsRef=1
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d110-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	3.498510e+01	4.182410e-02	4.182410e-02
1.000000e-02	2.000000e-02	2.089550e+01	3.232298e-02	3.232298e-02
2.000000e-02	3.000000e-02	1.164220e+01	2.412696e-02	2.412696e-02
3.000000e-02	4.000000e-02	7.348350e+00	1.916814e-02	1.916814e-02
4.000000e-02	5.000000e-02	5.115150e+00	1.599242e-02	1.599242e-02
5.000000e-02	6.000000e-02	3.795500e+00	1.377588e-02	1.377588e-02
6.000000e-02	7.000000e-02	2.913700e+00	1.207000e-02	1.207000e-02
7.000000e-02	8.000000e-02	2.291150e+00	1.070315e-02	1.070315e-02
8.000000e-02	9.000000e-02	1.859950e+00	9.643521e-03	9.643521e-03
9.000000e-02	1.000000e-01	1.492150e+00	8.637563e-03	8.637563e-03
1.000000e-01	1.100000e-01	1.232600e+00	7.850478e-03	7.850478e-03
1.100000e-01	1.200000e-01	1.039800e+00	7.210409e-03	7.210409e-03
1.200000e-01	1.300000e-01	8.643500e-01	6.574002e-03	6.574002e-03
1.300000e-01	1.400000e-01	7.415500e-01	6.089130e-03	6.089130e-03
1.400000e-01	1.500000e-01	6.370000e-01	5.643580e-03	5.643580e-03
1.500000e-01	1.600000e-01	5.286500e-01	5.141255e-03	5.141255e-03
1.600000e-01	1.700000e-01	4.621500e-01	4.807026e-03	4.807026e-03
1.700000e-01	1.800000e-01	3.967000e-01	4.453650e-03	4.453650e-03
1.800000e-01	1.900000e-01	3.356500e-01	4.096645e-03	4.096645e-03
1.900000e-01	2.000000e-01	2.876000e-01	3.792097e-03	3.792097e-03
2.000000e-01	2.100000e-01	2.376500e-01	3.447100e-03	3.447100e-03
2.100000e-01	2.200000e-01	1.950000e-01	3.122499e-03	3.122499e-03
2.200000e-01	2.300000e-01	1.636000e-01	2.860070e-03	2.860070e-03
2.300000e-01	2.400000e-01	1.371000e-01	2.618205e-03	2.618205e-03
2.400000e-01	2.500000e-01	1.116000e-01	2.362202e-03	2.362202e-03
2.500000e-01	2.600000e-01	8.885000e-02	2.107724e-03	2.107724e-03
2.600000e-01	2.700000e-01	6.795000e-02	1.843231e-03	1.843231e-03
2.700000e-01	2.800000e-01	4.955000e-02	1.574008e-03	1.574008e-03
2.800000e-01	2.900000e-01	3.530000e-02	1.328533e-03	1.328533e-03
2.900000e-01	3.000000e-01	2.075000e-02	1.018577e-03	1.018577e-03
3.000000e-01	3.100000e-01	1.330000e-02	8.154753e-04	8.154753e-04
3.100000e-01	3.200000e-01	8.150000e-03	6.383573e-04	6.383573e-04
3.200000e-01	3.300000e-01	3.800000e-03	4.358899e-04	4.358899e-04
3.300000e-01	3.400000e-01	1.400000e-03	2.645751e-04	2.645751e-04
