# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d133-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d133-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d133-x01-y01
Title=Oblateness ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d133-x01-y01
LegendXPos=0.05
XLabel=$O$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}O$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d133-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d133-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	1.072004e+01	5.546837e-01	5.546837e-01
1.000000e-02	2.000000e-02	1.188986e+01	6.193761e-01	6.193761e-01
2.000000e-02	3.000000e-02	1.136637e+01	5.810344e-01	5.810344e-01
3.000000e-02	4.000000e-02	9.391670e+00	9.900542e-02	9.900542e-02
4.000000e-02	5.000000e-02	7.474890e+00	7.875200e-02	7.875200e-02
5.000000e-02	6.000000e-02	6.080970e+00	6.716447e-02	6.716447e-02
6.000000e-02	7.000000e-02	5.019760e+00	1.757913e-01	1.757913e-01
7.000000e-02	8.000000e-02	4.270700e+00	1.529241e-01	1.529241e-01
8.000000e-02	9.000000e-02	3.645510e+00	1.308376e-01	1.308376e-01
9.000000e-02	1.000000e-01	3.201620e+00	1.218762e-01	1.218762e-01
1.000000e-01	1.100000e-01	2.828300e+00	1.083208e-01	1.083208e-01
1.100000e-01	1.200000e-01	2.472320e+00	9.215686e-02	9.215686e-02
1.200000e-01	1.300000e-01	2.186640e+00	1.007948e-01	1.007948e-01
1.300000e-01	1.400000e-01	1.937850e+00	8.885631e-02	8.885631e-02
1.400000e-01	1.500000e-01	1.747200e+00	7.900290e-02	7.900290e-02
1.500000e-01	1.600000e-01	1.611690e+00	6.518191e-02	6.518191e-02
1.600000e-01	1.700000e-01	1.402250e+00	6.239767e-02	6.239767e-02
1.700000e-01	1.800000e-01	1.273290e+00	4.765998e-02	4.765998e-02
1.800000e-01	1.900000e-01	1.172230e+00	4.893503e-02	4.893503e-02
1.900000e-01	2.000000e-01	1.043690e+00	4.587648e-02	4.587648e-02
2.000000e-01	2.100000e-01	9.532900e-01	4.494034e-02	4.494034e-02
2.100000e-01	2.200000e-01	8.789200e-01	2.769387e-02	2.769387e-02
2.200000e-01	2.300000e-01	7.754300e-01	2.969366e-02	2.969366e-02
2.300000e-01	2.400000e-01	7.085500e-01	2.601090e-02	2.601090e-02
2.400000e-01	2.500000e-01	6.543500e-01	3.277927e-02	3.277927e-02
2.500000e-01	2.600000e-01	5.843200e-01	2.778263e-02	2.778263e-02
2.600000e-01	2.700000e-01	5.444900e-01	2.630366e-02	2.630366e-02
2.700000e-01	2.800000e-01	4.818600e-01	2.029667e-02	2.029667e-02
2.800000e-01	2.900000e-01	4.510200e-01	2.299006e-02	2.299006e-02
2.900000e-01	3.000000e-01	3.976100e-01	1.742375e-02	1.742375e-02
3.000000e-01	3.100000e-01	3.758100e-01	1.285062e-02	1.285062e-02
3.100000e-01	3.200000e-01	3.317200e-01	1.621664e-02	1.621664e-02
3.200000e-01	3.300000e-01	2.979300e-01	1.118634e-02	1.118634e-02
3.300000e-01	3.400000e-01	2.622000e-01	1.635386e-02	1.635386e-02
3.400000e-01	3.500000e-01	2.230300e-01	2.284733e-02	2.284733e-02
3.500000e-01	3.600000e-01	2.103500e-01	1.386070e-02	1.386070e-02
3.600000e-01	3.700000e-01	1.897700e-01	8.639317e-03	8.639317e-03
3.700000e-01	3.800000e-01	1.632400e-01	7.353441e-03	7.353441e-03
3.800000e-01	3.900000e-01	1.482900e-01	6.850526e-03	6.850526e-03
3.900000e-01	4.000000e-01	1.193300e-01	8.330120e-03	8.330120e-03
4.000000e-01	4.100000e-01	1.093500e-01	7.487182e-03	7.487182e-03
4.100000e-01	4.200000e-01	9.194000e-02	7.586890e-03	7.586890e-03
4.200000e-01	4.300000e-01	7.835000e-02	5.060919e-03	5.060919e-03
4.300000e-01	4.400000e-01	5.943000e-02	8.011379e-03	8.011379e-03
4.400000e-01	4.500000e-01	5.317000e-02	3.308610e-03	3.308610e-03
4.500000e-01	4.600000e-01	3.726000e-02	4.832815e-03	4.832815e-03
4.600000e-01	4.700000e-01	2.715000e-02	3.536453e-03	3.536453e-03
4.700000e-01	4.800000e-01	1.974000e-02	3.134167e-03	3.134167e-03
4.800000e-01	4.900000e-01	1.334000e-02	2.040735e-03	2.040735e-03
4.900000e-01	5.000000e-01	9.090000e-03	1.540325e-03	1.540325e-03
5.000000e-01	5.100000e-01	5.950000e-03	9.921189e-04	9.921189e-04
5.100000e-01	5.200000e-01	3.030000e-03	1.307861e-03	1.307861e-03
5.200000e-01	5.300000e-01	2.010000e-03	9.178235e-04	9.178235e-04
5.300000e-01	5.400000e-01	7.700000e-04	3.605551e-04	3.605551e-04
5.400000e-01	5.500000e-01	7.800000e-04	2.513961e-04	2.513961e-04
5.500000e-01	5.600000e-01	2.000000e-04	8.062258e-05	8.062258e-05
5.600000e-01	5.700000e-01	3.000000e-05	1.414214e-05	1.414214e-05
5.700000e-01	5.800000e-01	4.000000e-05	6.164414e-05	6.164414e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d133-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d133-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-02	6.581900e+00	1.814098e-02	1.814098e-02
1.000000e-02	2.000000e-02	1.281135e+01	2.530943e-02	2.530943e-02
2.000000e-02	3.000000e-02	1.321160e+01	2.570175e-02	2.570175e-02
3.000000e-02	4.000000e-02	1.077030e+01	2.320593e-02	2.320593e-02
4.000000e-02	5.000000e-02	8.301550e+00	2.037345e-02	2.037345e-02
5.000000e-02	6.000000e-02	6.493150e+00	1.801825e-02	1.801825e-02
6.000000e-02	7.000000e-02	5.172400e+00	1.608167e-02	1.608167e-02
7.000000e-02	8.000000e-02	4.295850e+00	1.465580e-02	1.465580e-02
8.000000e-02	9.000000e-02	3.650500e+00	1.351018e-02	1.351018e-02
9.000000e-02	1.000000e-01	3.133750e+00	1.251749e-02	1.251749e-02
1.000000e-01	1.100000e-01	2.719400e+00	1.166062e-02	1.166062e-02
1.100000e-01	1.200000e-01	2.399450e+00	1.095320e-02	1.095320e-02
1.200000e-01	1.300000e-01	2.121300e+00	1.029879e-02	1.029879e-02
1.300000e-01	1.400000e-01	1.893000e+00	9.728823e-03	9.728823e-03
1.400000e-01	1.500000e-01	1.684200e+00	9.176601e-03	9.176601e-03
1.500000e-01	1.600000e-01	1.509050e+00	8.686340e-03	8.686340e-03
1.600000e-01	1.700000e-01	1.338300e+00	8.180159e-03	8.180159e-03
1.700000e-01	1.800000e-01	1.227800e+00	7.835177e-03	7.835177e-03
1.800000e-01	1.900000e-01	1.094050e+00	7.396114e-03	7.396114e-03
1.900000e-01	2.000000e-01	9.844000e-01	7.015697e-03	7.015697e-03
2.000000e-01	2.100000e-01	8.896500e-01	6.669520e-03	6.669520e-03
2.100000e-01	2.200000e-01	8.147000e-01	6.382398e-03	6.382398e-03
2.200000e-01	2.300000e-01	7.326000e-01	6.052272e-03	6.052272e-03
2.300000e-01	2.400000e-01	6.569500e-01	5.731274e-03	5.731274e-03
2.400000e-01	2.500000e-01	6.024000e-01	5.488169e-03	5.488169e-03
2.500000e-01	2.600000e-01	5.491000e-01	5.239752e-03	5.239752e-03
2.600000e-01	2.700000e-01	5.023000e-01	5.011487e-03	5.011487e-03
2.700000e-01	2.800000e-01	4.498500e-01	4.742626e-03	4.742626e-03
2.800000e-01	2.900000e-01	4.055000e-01	4.502777e-03	4.502777e-03
2.900000e-01	3.000000e-01	3.748500e-01	4.329261e-03	4.329261e-03
3.000000e-01	3.100000e-01	3.327500e-01	4.078909e-03	4.078909e-03
3.100000e-01	3.200000e-01	2.971000e-01	3.854218e-03	3.854218e-03
3.200000e-01	3.300000e-01	2.689500e-01	3.667083e-03	3.667083e-03
3.300000e-01	3.400000e-01	2.493000e-01	3.530581e-03	3.530581e-03
3.400000e-01	3.500000e-01	2.226000e-01	3.336165e-03	3.336165e-03
3.500000e-01	3.600000e-01	1.935500e-01	3.110868e-03	3.110868e-03
3.600000e-01	3.700000e-01	1.772000e-01	2.976575e-03	2.976575e-03
3.700000e-01	3.800000e-01	1.468500e-01	2.709705e-03	2.709705e-03
3.800000e-01	3.900000e-01	1.273500e-01	2.523391e-03	2.523391e-03
3.900000e-01	4.000000e-01	1.158500e-01	2.406761e-03	2.406761e-03
