# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d227-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d227-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d227-x01-y01
Title=$\geq$6-jet fraction ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d227-x01-y01
LegendXPos=0.05
XLabel=$\ln(y_\mathrm{cut})$
YLabel=$\sigma($\geq$\text{6 jet})/\sigma(\text{inclusive})$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d227-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d227-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	9.920500e-01	2.417292e-03	2.417292e-03
-9.800000e+00	-9.600000e+00	9.851700e-01	2.619332e-03	2.619332e-03
-9.600000e+00	-9.400000e+00	9.727200e-01	2.908161e-03	2.908161e-03
-9.400000e+00	-9.200000e+00	9.514000e-01	3.064213e-03	3.064213e-03
-9.200000e+00	-9.000000e+00	9.188700e-01	3.636729e-03	3.636729e-03
-9.000000e+00	-8.800000e+00	8.718600e-01	5.257395e-03	5.257395e-03
-8.800000e+00	-8.600000e+00	8.101500e-01	7.154558e-03	7.154558e-03
-8.600000e+00	-8.400000e+00	7.339200e-01	1.005340e-02	1.005340e-02
-8.400000e+00	-8.200000e+00	6.471600e-01	1.246697e-02	1.246697e-02
-8.200000e+00	-8.000000e+00	5.542200e-01	1.341656e-02	1.341656e-02
-8.000000e+00	-7.800000e+00	4.603800e-01	1.319365e-02	1.319365e-02
-7.800000e+00	-7.600000e+00	3.694200e-01	1.257113e-02	1.257113e-02
-7.600000e+00	-7.400000e+00	2.854000e-01	1.205913e-02	1.205913e-02
-7.400000e+00	-7.200000e+00	2.121300e-01	1.097067e-02	1.097067e-02
-7.200000e+00	-7.000000e+00	1.518000e-01	9.308689e-03	9.308689e-03
-7.000000e+00	-6.800000e+00	1.040800e-01	7.979261e-03	7.979261e-03
-6.800000e+00	-6.600000e+00	6.837000e-02	6.213091e-03	6.213091e-03
-6.600000e+00	-6.400000e+00	4.305000e-02	4.902907e-03	4.902907e-03
-6.400000e+00	-6.200000e+00	2.592000e-02	3.524613e-03	3.524613e-03
-6.200000e+00	-6.000000e+00	1.501000e-02	2.365840e-03	2.365840e-03
-6.000000e+00	-5.800000e+00	8.340000e-03	1.671466e-03	1.671466e-03
-5.800000e+00	-5.600000e+00	4.440000e-03	1.096084e-03	1.096084e-03
-5.600000e+00	-5.400000e+00	2.370000e-03	6.599242e-04	6.599242e-04
-5.400000e+00	-5.200000e+00	1.170000e-03	3.366007e-04	3.366007e-04
-5.200000e+00	-5.000000e+00	5.800000e-04	1.720465e-04	1.720465e-04
-5.000000e+00	-4.800000e+00	2.600000e-04	9.433981e-05	9.433981e-05
-4.800000e+00	-4.600000e+00	1.100000e-04	4.582576e-05	4.582576e-05
