# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d86-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d86-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d86-x01-y01
Title=C-Parameter ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d86-x01-y01
LegendXPos=0.15
XLabel=$C$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}C$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d86-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d86-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	6.711000e-02	6.522147e-02	6.522147e-02
2.000000e-02	4.000000e-02	1.725200e-01	1.732184e-02	1.732184e-02
4.000000e-02	6.000000e-02	9.903800e-01	5.928157e-02	5.928157e-02
6.000000e-02	8.000000e-02	2.637860e+00	1.470914e-01	1.470914e-01
8.000000e-02	1.000000e-01	4.051420e+00	2.145353e-01	2.145353e-01
1.000000e-01	1.200000e-01	4.374760e+00	2.272031e-01	2.272031e-01
1.200000e-01	1.400000e-01	3.975320e+00	7.806441e-02	7.806441e-02
1.400000e-01	1.600000e-01	3.422430e+00	6.772863e-02	6.772863e-02
1.600000e-01	1.800000e-01	2.929730e+00	6.094941e-02	6.094941e-02
1.800000e-01	2.000000e-01	2.548540e+00	3.268407e-02	3.268407e-02
2.000000e-01	2.200000e-01	2.250120e+00	2.902130e-02	2.902130e-02
2.200000e-01	2.400000e-01	1.977010e+00	3.172943e-02	3.172943e-02
2.400000e-01	2.600000e-01	1.801340e+00	2.592662e-02	2.592662e-02
2.600000e-01	2.800000e-01	1.605940e+00	1.932028e-02	1.932028e-02
2.800000e-01	3.000000e-01	1.453210e+00	1.618114e-02	1.618114e-02
3.000000e-01	3.200000e-01	1.299520e+00	4.055223e-02	4.055223e-02
3.200000e-01	3.400000e-01	1.186030e+00	3.691786e-02	3.691786e-02
3.400000e-01	3.600000e-01	1.081690e+00	3.259402e-02	3.259402e-02
3.600000e-01	3.800000e-01	1.019950e+00	3.531179e-02	3.531179e-02
3.800000e-01	4.000000e-01	9.276800e-01	3.292740e-02	3.292740e-02
4.000000e-01	4.200000e-01	8.626700e-01	3.127544e-02	3.127544e-02
4.200000e-01	4.400000e-01	7.951200e-01	2.164832e-02	2.164832e-02
4.400000e-01	4.600000e-01	7.507400e-01	2.321866e-02	2.321866e-02
4.600000e-01	4.800000e-01	6.940800e-01	1.897085e-02	1.897085e-02
4.800000e-01	5.000000e-01	6.293100e-01	2.656544e-02	2.656544e-02
5.000000e-01	5.200000e-01	6.022700e-01	2.400893e-02	2.400893e-02
5.200000e-01	5.400000e-01	5.587000e-01	2.356577e-02	2.356577e-02
5.400000e-01	5.600000e-01	5.327200e-01	2.137970e-02	2.137970e-02
5.600000e-01	5.800000e-01	5.038800e-01	1.872664e-02	1.872664e-02
5.800000e-01	6.000000e-01	4.591800e-01	1.952863e-02	1.952863e-02
6.000000e-01	6.200000e-01	4.264200e-01	2.179867e-02	2.179867e-02
6.200000e-01	6.400000e-01	4.098400e-01	2.138274e-02	2.138274e-02
6.400000e-01	6.600000e-01	3.777900e-01	1.937490e-02	1.937490e-02
6.600000e-01	6.800000e-01	3.556300e-01	1.755582e-02	1.755582e-02
6.800000e-01	7.000000e-01	3.400000e-01	1.423789e-02	1.423789e-02
7.000000e-01	7.200000e-01	3.220500e-01	1.401127e-02	1.401127e-02
7.200000e-01	7.400000e-01	3.028600e-01	1.477789e-02	1.477789e-02
7.400000e-01	7.600000e-01	2.883800e-01	1.392238e-02	1.392238e-02
7.600000e-01	7.800000e-01	2.714700e-01	1.359709e-02	1.359709e-02
7.800000e-01	8.000000e-01	2.274200e-01	2.199366e-02	2.199366e-02
8.000000e-01	8.200000e-01	1.754200e-01	1.655307e-02	1.655307e-02
8.200000e-01	8.400000e-01	1.191900e-01	1.151773e-02	1.151773e-02
8.400000e-01	8.600000e-01	8.324000e-02	1.151929e-02	1.151929e-02
8.600000e-01	8.800000e-01	5.707000e-02	7.795499e-03	7.795499e-03
8.800000e-01	9.000000e-01	3.548000e-02	5.816752e-03	5.816752e-03
9.000000e-01	9.200000e-01	2.111000e-02	4.886604e-03	4.886604e-03
9.200000e-01	9.400000e-01	1.266000e-02	3.057286e-03	3.057286e-03
9.400000e-01	9.600000e-01	8.920000e-03	2.247198e-03	2.247198e-03
9.600000e-01	9.800000e-01	2.920000e-03	8.307828e-04	8.307828e-04
9.800000e-01	1.000000e+00	9.100000e-04	4.064480e-04	4.064480e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d86-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d86-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	7.775000e-03	4.408798e-04	4.408798e-04
2.000000e-02	4.000000e-02	1.481750e-01	1.924675e-03	1.924675e-03
4.000000e-02	6.000000e-02	8.614750e-01	4.640784e-03	4.640784e-03
