# BEGIN PLOT
LegendOnly=/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d94-x01-y01
DrawOnly=/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/ALEPH_2004_S5765862/d94-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/ALEPH_2004_S5765862/d94-x01-y01
Title=Thrust major ($E_\mathrm{CMS}=91.2$ GeV)
RatioPlot=1
LogY=1
RatioPlotReference=/ALEPH_2004_S5765862/d94-x01-y01
LegendXPos=0.15
XLabel=$T_\mathrm{major}$
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}T_\mathrm{major}$
LegendYPos=0.6
Legend=1
# END PLOT

# BEGIN HISTO1D /ALEPH_2004_S5765862/d94-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALEPH_2004_S5765862/d94-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	2.115000e-02	2.263183e-02	2.263183e-02
2.000000e-02	4.000000e-02	2.279000e-01	1.300624e-01	1.300624e-01
4.000000e-02	6.000000e-02	2.157700e+00	1.679835e-01	1.679835e-01
6.000000e-02	8.000000e-02	5.796250e+00	2.104402e-01	2.104402e-01
8.000000e-02	1.000000e-01	6.619700e+00	2.244394e-01	2.244394e-01
1.000000e-01	1.200000e-01	5.865100e+00	1.990561e-01	1.990561e-01
1.200000e-01	1.400000e-01	4.686210e+00	8.153786e-02	8.153786e-02
1.400000e-01	1.600000e-01	3.795440e+00	6.587703e-02	6.587703e-02
1.600000e-01	1.800000e-01	3.156290e+00	5.636535e-02	5.636535e-02
1.800000e-01	2.000000e-01	2.646090e+00	1.052932e-01	1.052932e-01
2.000000e-01	2.200000e-01	2.242510e+00	8.815534e-02	8.815534e-02
2.200000e-01	2.400000e-01	1.912770e+00	7.526172e-02	7.526172e-02
2.400000e-01	2.600000e-01	1.625500e+00	7.654977e-02	7.654977e-02
2.600000e-01	2.800000e-01	1.429200e+00	6.318096e-02	6.318096e-02
2.800000e-01	3.000000e-01	1.205500e+00	5.321354e-02	5.321354e-02
3.000000e-01	3.200000e-01	1.059600e+00	3.956245e-02	3.956245e-02
3.200000e-01	3.400000e-01	9.127000e-01	3.464028e-02	3.464028e-02
3.400000e-01	3.600000e-01	7.941700e-01	3.085183e-02	3.085183e-02
3.600000e-01	3.800000e-01	6.751200e-01	3.339775e-02	3.339775e-02
3.800000e-01	4.000000e-01	5.945100e-01	2.751222e-02	2.751222e-02
4.000000e-01	4.200000e-01	5.171500e-01	2.435876e-02	2.435876e-02
4.200000e-01	4.400000e-01	4.344000e-01	1.954004e-02	1.954004e-02
4.400000e-01	4.600000e-01	3.662300e-01	1.819471e-02	1.819471e-02
4.600000e-01	4.800000e-01	3.111100e-01	1.545399e-02	1.545399e-02
4.800000e-01	5.000000e-01	2.650600e-01	1.515546e-02	1.515546e-02
5.000000e-01	5.200000e-01	2.096700e-01	1.131721e-02	1.131721e-02
5.200000e-01	5.400000e-01	1.722700e-01	1.054928e-02	1.054928e-02
5.400000e-01	5.600000e-01	1.248400e-01	1.385283e-02	1.385283e-02
