# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d48-x01-y01
XLabel=$\rho_H$
RatioPlotReference=/L3_2004_I652683/d48-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}\rho_H$
DrawOnly=/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d48-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d48-x01-y01
RatioPlot=1
Title=Heavy jet mass, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d48-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d48-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	7.432000e+00	1.576230e-01	1.576230e-01
1.500000e-02	3.000000e-02	2.194600e+01	7.897139e-01	7.897139e-01
3.000000e-02	4.500000e-02	1.189000e+01	5.557059e-01	5.557059e-01
4.500000e-02	6.000000e-02	7.033000e+00	1.943656e-01	1.943656e-01
6.000000e-02	7.500000e-02	4.595000e+00	9.904040e-02	9.904040e-02
7.500000e-02	9.000000e-02	3.279000e+00	7.106335e-02	7.106335e-02
9.000000e-02	1.050000e-01	2.433000e+00	5.316014e-02	5.316014e-02
1.050000e-01	1.200000e-01	1.890000e+00	4.684015e-02	4.684015e-02
1.200000e-01	1.350000e-01	1.445000e+00	3.324154e-02	3.324154e-02
1.350000e-01	1.500000e-01	1.105000e+00	2.507987e-02	2.507987e-02
1.500000e-01	1.650000e-01	9.170000e-01	2.284732e-02	2.284732e-02
1.650000e-01	1.800000e-01	6.890000e-01	1.700000e-02	1.700000e-02
1.800000e-01	1.950000e-01	5.500000e-01	1.389244e-02	1.389244e-02
1.950000e-01	2.100000e-01	4.250000e-01	1.081665e-02	1.081665e-02
2.100000e-01	2.250000e-01	3.200000e-01	8.602325e-03	8.602325e-03
2.250000e-01	2.400000e-01	2.560000e-01	7.071068e-03	7.071068e-03
2.400000e-01	2.550000e-01	1.830000e-01	5.656854e-03	5.656854e-03
2.550000e-01	2.700000e-01	1.330000e-01	4.242641e-03	4.242641e-03
2.700000e-01	2.850000e-01	8.600000e-02	5.000000e-03	5.000000e-03
2.850000e-01	3.000000e-01	5.900000e-02	2.828427e-03	2.828427e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y01
ScaledBy=6.38874354497324034e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	6.628960e+00	1.680292e-02	1.680292e-02
1.500000e-02	3.000000e-02	2.123763e+01	3.007566e-02	3.007566e-02
3.000000e-02	4.500000e-02	1.227375e+01	2.286393e-02	2.286393e-02
4.500000e-02	6.000000e-02	7.400973e+00	1.775442e-02	1.775442e-02
6.000000e-02	7.500000e-02	4.933303e+00	1.449543e-02	1.449543e-02
7.500000e-02	9.000000e-02	3.486082e+00	1.218515e-02	1.218515e-02
9.000000e-02	1.050000e-01	2.529091e+00	1.037873e-02	1.037873e-02
1.050000e-01	1.200000e-01	1.894816e+00	8.983501e-03	8.983501e-03
1.200000e-01	1.350000e-01	1.462043e+00	7.891182e-03	7.891182e-03
1.350000e-01	1.500000e-01	1.120884e+00	6.909433e-03	6.909433e-03
1.500000e-01	1.650000e-01	8.883760e-01	6.151209e-03	6.151209e-03
1.650000e-01	1.800000e-01	6.938173e-01	5.436066e-03	5.436066e-03
1.800000e-01	1.950000e-01	5.475579e-01	4.829222e-03	4.829222e-03
1.950000e-01	2.100000e-01	4.367771e-01	4.313125e-03	4.313125e-03
2.100000e-01	2.250000e-01	3.350257e-01	3.777471e-03	3.777471e-03
2.250000e-01	2.400000e-01	2.573386e-01	3.310660e-03	3.310660e-03
2.400000e-01	2.550000e-01	1.916197e-01	2.856816e-03	2.856816e-03
2.550000e-01	2.700000e-01	1.410635e-01	2.451147e-03	2.451147e-03
2.700000e-01	2.850000e-01	9.817367e-02	2.044842e-03	2.044842e-03
2.850000e-01	3.000000e-01	5.907458e-02	1.586216e-03	1.586216e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y01
ScaledBy=6.39162237272362361e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	6.633950e+00	1.681303e-02	1.681303e-02
1.500000e-02	3.000000e-02	2.126233e+01	3.009992e-02	3.009992e-02
3.000000e-02	4.500000e-02	1.230473e+01	2.289791e-02	2.289791e-02
4.500000e-02	6.000000e-02	7.367753e+00	1.771852e-02	1.771852e-02
6.000000e-02	7.500000e-02	4.892191e+00	1.443815e-02	1.443815e-02
7.500000e-02	9.000000e-02	3.453820e+00	1.213137e-02	1.213137e-02
9.000000e-02	1.050000e-01	2.551663e+00	1.042729e-02	1.042729e-02
1.050000e-01	1.200000e-01	1.903297e+00	9.005613e-03	9.005613e-03
1.200000e-01	1.350000e-01	1.454393e+00	7.872283e-03	7.872283e-03
1.350000e-01	1.500000e-01	1.134513e+00	6.952879e-03	6.952879e-03
1.500000e-01	1.650000e-01	8.819587e-01	6.130333e-03	6.130333e-03
1.650000e-01	1.800000e-01	6.984340e-01	5.455349e-03	5.455349e-03
1.800000e-01	1.950000e-01	5.517675e-01	4.848841e-03	4.848841e-03
1.950000e-01	2.100000e-01	4.326276e-01	4.293555e-03	4.293555e-03
2.100000e-01	2.250000e-01	3.427614e-01	3.821694e-03	3.821694e-03
2.250000e-01	2.400000e-01	2.536622e-01	3.287667e-03	3.287667e-03
2.400000e-01	2.550000e-01	1.950723e-01	2.883087e-03	2.883087e-03
2.550000e-01	2.700000e-01	1.401896e-01	2.444093e-03	2.444093e-03
2.700000e-01	2.850000e-01	9.689700e-02	2.031960e-03	2.031960e-03
2.850000e-01	3.000000e-01	6.276573e-02	1.635390e-03	1.635390e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y01
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y01
ScaledBy=6.39192061234599493e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	6.612783e+00	1.678658e-02	1.678658e-02
1.500000e-02	3.000000e-02	2.131395e+01	3.013714e-02	3.013714e-02
3.000000e-02	4.500000e-02	1.223921e+01	2.283741e-02	2.283741e-02
4.500000e-02	6.000000e-02	7.393107e+00	1.774940e-02	1.774940e-02
6.000000e-02	7.500000e-02	4.912830e+00	1.446891e-02	1.446891e-02
7.500000e-02	9.000000e-02	3.457347e+00	1.213784e-02	1.213784e-02
9.000000e-02	1.050000e-01	2.522593e+00	1.036797e-02	1.036797e-02
1.050000e-01	1.200000e-01	1.911184e+00	9.024463e-03	9.024463e-03
1.200000e-01	1.350000e-01	1.467969e+00	7.909126e-03	7.909126e-03
1.350000e-01	1.500000e-01	1.126981e+00	6.929922e-03	6.929922e-03
1.500000e-01	1.650000e-01	8.965307e-01	6.180913e-03	6.180913e-03
1.650000e-01	1.800000e-01	6.908813e-01	5.425900e-03	5.425900e-03
1.800000e-01	1.950000e-01	5.447621e-01	4.818074e-03	4.818074e-03
1.950000e-01	2.100000e-01	4.349489e-01	4.305159e-03	4.305159e-03
2.100000e-01	2.250000e-01	3.360446e-01	3.784151e-03	3.784151e-03
2.250000e-01	2.400000e-01	2.632193e-01	3.349106e-03	3.349106e-03
2.400000e-01	2.550000e-01	1.972547e-01	2.899237e-03	2.899237e-03
