# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d48-x01-y02
XLabel=$\rho_H$
RatioPlotReference=/L3_2004_I652683/d48-x01-y02
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}\rho_H$
DrawOnly=/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d48-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d48-x01-y02
RatioPlot=1
Title=Heavy jet mass, b events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d48-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d48-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	6.126000e+00	1.722846e-01	1.722846e-01
1.500000e-02	3.000000e-02	2.236300e+01	8.727084e-01	8.727084e-01
3.000000e-02	4.500000e-02	1.194500e+01	5.636896e-01	5.636896e-01
4.500000e-02	6.000000e-02	7.214000e+00	2.212691e-01	2.212691e-01
6.000000e-02	7.500000e-02	4.824000e+00	1.252517e-01	1.252517e-01
7.500000e-02	9.000000e-02	3.508000e+00	9.442987e-02	9.442987e-02
9.000000e-02	1.050000e-01	2.478000e+00	6.935416e-02	6.935416e-02
1.050000e-01	1.200000e-01	1.950000e+00	5.916925e-02	5.916925e-02
1.200000e-01	1.350000e-01	1.422000e+00	4.301163e-02	4.301163e-02
1.350000e-01	1.500000e-01	1.196000e+00	3.764306e-02	3.764306e-02
1.500000e-01	1.650000e-01	8.660000e-01	2.973214e-02	2.973214e-02
1.650000e-01	1.800000e-01	7.270000e-01	2.545584e-02	2.545584e-02
1.800000e-01	1.950000e-01	5.640000e-01	2.202272e-02	2.202272e-02
1.950000e-01	2.100000e-01	4.240000e-01	1.720465e-02	1.720465e-02
2.100000e-01	2.250000e-01	3.390000e-01	1.526434e-02	1.526434e-02
2.250000e-01	2.400000e-01	2.350000e-01	1.166190e-02	1.166190e-02
2.400000e-01	2.550000e-01	1.920000e-01	1.029563e-02	1.029563e-02
2.550000e-01	2.700000e-01	1.310000e-01	8.062258e-03	8.062258e-03
2.700000e-01	2.850000e-01	1.080000e-01	1.063015e-02	1.063015e-02
2.850000e-01	3.000000e-01	5.500000e-02	4.472136e-03	4.472136e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y02
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d48-x01-y02
ScaledBy=2.30018838542876651e-06
Title=nominal
XLabel=
YLabel=
