# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d49-x01-y01
XLabel=$B_T$
RatioPlotReference=/L3_2004_I652683/d49-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}B_T$
DrawOnly=/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d49-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d49-x01-y01
RatioPlot=1
Title=Total jet broadening, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d49-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d49-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-02	3.000000e-03	1.400000e-02	1.400000e-02
2.000000e-02	4.000000e-02	1.588000e+00	8.110154e-01	8.110154e-01
4.000000e-02	6.000000e-02	1.015100e+01	5.337883e-01	5.337883e-01
6.000000e-02	8.000000e-02	9.728000e+00	5.116112e-01	5.116112e-01
8.000000e-02	1.000000e-01	7.282000e+00	3.835218e-01	3.835218e-01
1.000000e-01	1.200000e-01	5.438000e+00	2.865048e-01	2.865048e-01
1.200000e-01	1.400000e-01	4.060000e+00	2.135275e-01	2.135275e-01
1.400000e-01	1.600000e-01	3.033000e+00	1.595306e-01	1.595306e-01
1.600000e-01	1.800000e-01	2.313000e+00	1.215936e-01	1.215936e-01
1.800000e-01	2.000000e-01	1.778000e+00	9.353609e-02	9.353609e-02
2.000000e-01	2.200000e-01	1.396000e+00	7.355270e-02	7.355270e-02
2.200000e-01	2.400000e-01	1.046000e+00	5.557877e-02	5.557877e-02
2.400000e-01	2.600000e-01	8.120000e-01	4.356604e-02	4.356604e-02
2.600000e-01	2.800000e-01	5.800000e-01	3.157531e-02	3.157531e-02
2.800000e-01	3.000000e-01	4.130000e-01	2.256103e-02	2.256103e-02
3.000000e-01	3.200000e-01	2.330000e-01	1.236932e-02	1.236932e-02
3.200000e-01	3.400000e-01	1.050000e-01	5.385165e-03	5.385165e-03
3.400000e-01	3.600000e-01	3.400000e-02	6.082763e-03	6.082763e-03
3.600000e-01	3.800000e-01	9.000000e-03	2.000000e-03	2.000000e-03
3.800000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d49-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d49-x01-y01
ScaledBy=6.38874354497324034e-07
Title=nominal
XLabel=
YLabel=
