# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d50-x01-y01
XLabel=$B_W$
RatioPlotReference=/L3_2004_I652683/d50-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}B_W$
DrawOnly=/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d50-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d50-x01-y01
RatioPlot=1
Title=Wide jet broadening, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d50-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d50-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	4.300000e-02	1.730000e-01	1.730000e-01
1.500000e-02	3.000000e-02	9.367000e+00	2.545447e-01	2.545447e-01
3.000000e-02	4.500000e-02	1.502800e+01	4.129419e-01	4.129419e-01
4.500000e-02	6.000000e-02	1.069300e+01	3.390767e-01	3.390767e-01
6.000000e-02	7.500000e-02	7.827000e+00	1.116109e-01	1.116109e-01
7.500000e-02	9.000000e-02	5.721000e+00	8.174350e-02	8.174350e-02
9.000000e-02	1.050000e-01	4.282000e+00	7.324616e-02	7.324616e-02
1.050000e-01	1.200000e-01	3.338000e+00	4.870318e-02	4.870318e-02
1.200000e-01	1.350000e-01	2.595000e+00	3.862642e-02	3.862642e-02
1.350000e-01	1.500000e-01	2.046000e+00	3.178050e-02	3.178050e-02
1.500000e-01	1.650000e-01	1.585000e+00	2.459675e-02	2.459675e-02
1.650000e-01	1.800000e-01	1.273000e+00	2.109502e-02	2.109502e-02
1.800000e-01	1.950000e-01	9.670000e-01	1.581139e-02	1.581139e-02
1.950000e-01	2.100000e-01	7.020000e-01	1.220656e-02	1.220656e-02
2.100000e-01	2.250000e-01	5.150000e-01	1.063015e-02	1.063015e-02
2.250000e-01	2.400000e-01	3.440000e-01	7.810250e-03	7.810250e-03
2.400000e-01	2.550000e-01	2.110000e-01	6.403124e-03	6.403124e-03
2.550000e-01	2.700000e-01	1.080000e-01	4.242641e-03	4.242641e-03
2.700000e-01	2.850000e-01	2.200000e-02	3.162278e-03	3.162278e-03
2.850000e-01	3.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y01
ScaledBy=6.38874354497324034e-07
Title=nominal
XLabel=
YLabel=
