# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d50-x01-y02
XLabel=$B_W$
RatioPlotReference=/L3_2004_I652683/d50-x01-y02
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}B_W$
DrawOnly=/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d50-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d50-x01-y02
RatioPlot=1
Title=Wide jet broadening, b events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d50-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d50-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-02	3.000000e-02	1.734000e+00	8.448077e-02	8.448077e-02
3.000000e-02	4.500000e-02	1.977900e+01	8.219939e-01	8.219939e-01
4.500000e-02	6.000000e-02	1.223900e+01	4.456602e-01	4.456602e-01
6.000000e-02	7.500000e-02	8.451000e+00	1.629264e-01	1.629264e-01
7.500000e-02	9.000000e-02	5.951000e+00	1.175457e-01	1.175457e-01
9.000000e-02	1.050000e-01	4.538000e+00	9.213577e-02	9.213577e-02
1.050000e-01	1.200000e-01	3.433000e+00	7.256032e-02	7.256032e-02
1.200000e-01	1.350000e-01	2.745000e+00	5.990826e-02	5.990826e-02
1.350000e-01	1.500000e-01	1.993000e+00	4.640043e-02	4.640043e-02
1.500000e-01	1.650000e-01	1.639000e+00	3.969887e-02	3.969887e-02
1.650000e-01	1.800000e-01	1.278000e+00	3.252691e-02	3.252691e-02
1.800000e-01	1.950000e-01	9.330000e-01	2.549510e-02	2.549510e-02
1.950000e-01	2.100000e-01	7.440000e-01	2.280351e-02	2.280351e-02
2.100000e-01	2.250000e-01	5.160000e-01	1.843909e-02	1.843909e-02
2.250000e-01	2.400000e-01	3.470000e-01	1.500000e-02	1.500000e-02
2.400000e-01	2.550000e-01	2.250000e-01	1.204159e-02	1.204159e-02
2.550000e-01	2.700000e-01	1.000000e-01	6.403124e-03	6.403124e-03
2.700000e-01	2.850000e-01	1.900000e-02	2.236068e-03	2.236068e-03
2.850000e-01	3.000000e-01	1.000000e-03	1.000000e-03	1.000000e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y02
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d50-x01-y02
ScaledBy=2.30018838542876651e-06
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e-02	3.000000e-02	1.886155e+00	1.700688e-02	1.700688e-02
3.000000e-02	4.500000e-02	1.798257e+01	5.251240e-02	5.251240e-02
4.500000e-02	6.000000e-02	1.351177e+01	4.551894e-02	4.551894e-02
6.000000e-02	7.500000e-02	8.723080e+00	3.657388e-02	3.657388e-02
7.500000e-02	9.000000e-02	6.192414e+00	3.081528e-02	3.081528e-02
9.000000e-02	1.050000e-01	4.611571e+00	2.659258e-02	2.659258e-02
1.050000e-01	1.200000e-01	3.445222e+00	2.298501e-02	2.298501e-02
1.200000e-01	1.350000e-01	2.662238e+00	2.020503e-02	2.020503e-02
1.350000e-01	1.500000e-01	2.023859e+00	1.761677e-02	1.761677e-02
1.500000e-01	1.650000e-01	1.584370e+00	1.558706e-02	1.558706e-02
1.650000e-01	1.800000e-01	1.219100e+00	1.367274e-02	1.367274e-02
1.800000e-01	1.950000e-01	9.197687e-01	1.187614e-02	1.187614e-02
1.950000e-01	2.100000e-01	7.112180e-01	1.044329e-02	1.044329e-02
2.100000e-01	2.250000e-01	5.147821e-01	8.884804e-03	8.884804e-03
