# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y01
XLabel=$C$
RatioPlotReference=/L3_2004_I652683/d51-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}C$
DrawOnly=/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y01
RatioPlot=1
Title=C-parameter, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d51-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d51-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.940000e-01	1.190000e-01	1.190000e-01
5.000000e-02	1.000000e-01	3.040000e+00	8.845903e-02	8.845903e-02
1.000000e-01	1.500000e-01	4.010000e+00	1.155249e-01	1.155249e-01
1.500000e-01	2.000000e-01	2.849000e+00	6.946222e-02	6.946222e-02
2.000000e-01	2.500000e-01	2.071000e+00	5.941380e-02	5.941380e-02
2.500000e-01	3.000000e-01	1.567000e+00	2.863564e-02	2.863564e-02
3.000000e-01	3.500000e-01	1.232000e+00	2.256103e-02	2.256103e-02
3.500000e-01	4.000000e-01	9.840000e-01	1.772005e-02	1.772005e-02
4.000000e-01	4.500000e-01	8.040000e-01	1.649242e-02	1.649242e-02
4.500000e-01	5.000000e-01	6.650000e-01	1.264911e-02	1.264911e-02
5.000000e-01	5.500000e-01	5.600000e-01	1.077033e-02	1.077033e-02
5.500000e-01	6.000000e-01	4.880000e-01	1.044031e-02	1.044031e-02
6.000000e-01	6.500000e-01	4.190000e-01	7.615773e-03	7.615773e-03
6.500000e-01	7.000000e-01	3.580000e-01	6.708204e-03	6.708204e-03
7.000000e-01	7.500000e-01	3.100000e-01	9.486833e-03	9.486833e-03
7.500000e-01	8.000000e-01	2.600000e-01	5.830952e-03	5.830952e-03
8.000000e-01	8.500000e-01	1.240000e-01	8.246211e-03	8.246211e-03
8.500000e-01	9.000000e-01	4.700000e-02	2.236068e-03	2.236068e-03
9.000000e-01	9.500000e-01	1.600000e-02	2.236068e-03	2.236068e-03
9.500000e-01	1.000000e+00	3.000000e-03	1.000000e-03	1.000000e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y01
ScaledBy=6.38874354497324034e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.152496e-01	1.658417e-03	1.658417e-03
5.000000e-02	1.000000e-01	2.713746e+00	5.888537e-03	5.888537e-03
1.000000e-01	1.500000e-01	3.869406e+00	7.031449e-03	7.031449e-03
1.500000e-01	2.000000e-01	2.910864e+00	6.098651e-03	6.098651e-03
2.000000e-01	2.500000e-01	2.159038e+00	5.252340e-03	5.252340e-03
2.500000e-01	3.000000e-01	1.642750e+00	4.581509e-03	4.581509e-03
3.000000e-01	3.500000e-01	1.282719e+00	4.048448e-03	4.048448e-03
3.500000e-01	4.000000e-01	1.037430e+00	3.640844e-03	3.640844e-03
4.000000e-01	4.500000e-01	8.461252e-01	3.288062e-03	3.288062e-03
4.500000e-01	5.000000e-01	6.990564e-01	2.988676e-03	2.988676e-03
5.000000e-01	5.500000e-01	5.845444e-01	2.732949e-03	2.732949e-03
5.500000e-01	6.000000e-01	4.922144e-01	2.507841e-03	2.507841e-03
6.000000e-01	6.500000e-01	4.134284e-01	2.298386e-03	2.298386e-03
6.500000e-01	7.000000e-01	3.578846e-01	2.138427e-03	2.138427e-03
7.000000e-01	7.500000e-01	3.058420e-01	1.976839e-03	1.976839e-03
7.500000e-01	8.000000e-01	2.565080e-01	1.810395e-03	1.810395e-03
8.000000e-01	8.500000e-01	1.417918e-01	1.346010e-03	1.346010e-03
8.500000e-01	9.000000e-01	5.273268e-02	8.208479e-04	8.208479e-04
9.000000e-01	9.500000e-01	1.608686e-02	4.533758e-04	4.533758e-04
9.500000e-01	1.000000e+00	2.581052e-03	1.816022e-04	1.816022e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y01
ScaledBy=6.39162237272362361e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.175070e-01	1.667466e-03	1.667466e-03
5.000000e-02	1.000000e-01	2.720466e+00	5.897150e-03	5.897150e-03
1.000000e-01	1.500000e-01	3.886170e+00	7.048254e-03	7.048254e-03
1.500000e-01	2.000000e-01	2.908802e+00	6.097862e-03	6.097862e-03
2.000000e-01	2.500000e-01	2.152992e+00	5.246163e-03	5.246163e-03
2.500000e-01	3.000000e-01	1.636204e+00	4.573401e-03	4.573401e-03
3.000000e-01	3.500000e-01	1.282581e+00	4.049142e-03	4.049142e-03
3.500000e-01	4.000000e-01	1.030994e+00	3.630351e-03	3.630351e-03
4.000000e-01	4.500000e-01	8.393606e-01	3.275630e-03	3.275630e-03
4.500000e-01	5.000000e-01	6.936572e-01	2.977782e-03	2.977782e-03
5.000000e-01	5.500000e-01	5.792984e-01	2.721270e-03	2.721270e-03
5.500000e-01	6.000000e-01	4.954658e-01	2.516676e-03	2.516676e-03
6.000000e-01	6.500000e-01	4.166442e-01	2.307828e-03	2.307828e-03
6.500000e-01	7.000000e-01	3.597844e-01	2.144577e-03	2.144577e-03
7.000000e-01	7.500000e-01	3.120646e-01	1.997298e-03	1.997298e-03
7.500000e-01	8.000000e-01	2.561762e-01	1.809631e-03	1.809631e-03
8.000000e-01	8.500000e-01	1.403472e-01	1.339438e-03	1.339438e-03
8.500000e-01	9.000000e-01	5.307604e-02	8.237014e-04	8.237014e-04
9.000000e-01	9.500000e-01	1.572339e-02	4.483257e-04	4.483257e-04
9.500000e-01	1.000000e+00	2.684482e-03	1.852468e-04	1.852468e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y01
LineColor=red
LineStyle=dotdashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y01
ScaledBy=6.39192061234599493e-07
Title=$\Delta\rho=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.108822e-01	1.641915e-03	1.641915e-03
5.000000e-02	1.000000e-01	2.709254e+00	5.885123e-03	5.885123e-03
1.000000e-01	1.500000e-01	3.892246e+00	7.053924e-03	7.053924e-03
1.500000e-01	2.000000e-01	2.901766e+00	6.090625e-03	6.090625e-03
2.000000e-01	2.500000e-01	2.157196e+00	5.251405e-03	5.251405e-03
2.500000e-01	3.000000e-01	1.636012e+00	4.573240e-03	4.573240e-03
3.000000e-01	3.500000e-01	1.285786e+00	4.054292e-03	4.054292e-03
3.500000e-01	4.000000e-01	1.028831e+00	3.626625e-03	3.626625e-03
4.000000e-01	4.500000e-01	8.411640e-01	3.279224e-03	3.279224e-03
4.500000e-01	5.000000e-01	6.987392e-01	2.988741e-03	2.988741e-03
5.000000e-01	5.500000e-01	5.891050e-01	2.744271e-03	2.744271e-03
5.500000e-01	6.000000e-01	4.932900e-01	2.511204e-03	2.511204e-03
6.000000e-01	6.500000e-01	4.156922e-01	2.305243e-03	2.305243e-03
6.500000e-01	7.000000e-01	3.584844e-01	2.140749e-03	2.140749e-03
7.000000e-01	7.500000e-01	3.107368e-01	1.993091e-03	1.993091e-03
7.500000e-01	8.000000e-01	2.589750e-01	1.819532e-03	1.819532e-03
8.000000e-01	8.500000e-01	1.403282e-01	1.339378e-03	1.339378e-03
8.500000e-01	9.000000e-01	5.217086e-02	8.166664e-04	8.166664e-04
9.000000e-01	9.500000e-01	1.658064e-02	4.603958e-04	4.603958e-04
9.500000e-01	1.000000e+00	2.761310e-03	1.878833e-04	1.878833e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y01
LineColor=blue
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y01
ScaledBy=6.39276237015500543e-07
Title=$\Delta\eta=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.123804e-01	1.647845e-03	1.647845e-03
5.000000e-02	1.000000e-01	2.724250e+00	5.901777e-03	5.901777e-03
1.000000e-01	1.500000e-01	3.871112e+00	7.035211e-03	7.035211e-03
1.500000e-01	2.000000e-01	2.920456e+00	6.110611e-03	6.110611e-03
2.000000e-01	2.500000e-01	2.145666e+00	5.237698e-03	5.237698e-03
2.500000e-01	3.000000e-01	1.639091e+00	4.577843e-03	4.577843e-03
3.000000e-01	3.500000e-01	1.282951e+00	4.050086e-03	4.050086e-03
3.500000e-01	4.000000e-01	1.032252e+00	3.632889e-03	3.632889e-03
4.000000e-01	4.500000e-01	8.424766e-01	3.281997e-03	3.281997e-03
4.500000e-01	5.000000e-01	6.956348e-01	2.982290e-03	2.982290e-03
5.000000e-01	5.500000e-01	5.858456e-01	2.736849e-03	2.736849e-03
5.500000e-01	6.000000e-01	4.914628e-01	2.506713e-03	2.506713e-03
6.000000e-01	6.500000e-01	4.176392e-01	2.310787e-03	2.310787e-03
6.500000e-01	7.000000e-01	3.583782e-01	2.140574e-03	2.140574e-03
7.000000e-01	7.500000e-01	3.067504e-01	1.980395e-03	1.980395e-03
7.500000e-01	8.000000e-01	2.607736e-01	1.825959e-03	1.825959e-03
8.000000e-01	8.500000e-01	1.411650e-01	1.343454e-03	1.343454e-03
8.500000e-01	9.000000e-01	5.291928e-02	8.225575e-04	8.225575e-04
9.000000e-01	9.500000e-01	1.654447e-02	4.599236e-04	4.599236e-04
9.500000e-01	1.000000e+00	2.250252e-03	1.696191e-04	1.696191e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y01
LineColor=blue
LineStyle=dotdashed
LineWidth=1.3pt$
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y01
ScaledBy=6.39051545258589035e-07
Title=$\Delta\eta=+10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.130214e-01	1.650040e-03	1.650040e-03
5.000000e-02	1.000000e-01	2.699060e+00	5.873395e-03	5.873395e-03
1.000000e-01	1.500000e-01	3.891722e+00	7.052673e-03	7.052673e-03
1.500000e-01	2.000000e-01	2.916516e+00	6.105414e-03	6.105414e-03
