# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y02
XLabel=$C$
RatioPlotReference=/L3_2004_I652683/d51-x01-y02
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}C$
DrawOnly=/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d51-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d51-x01-y02
RatioPlot=1
Title=C-parameter, b events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d51-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d51-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.300000e-02	1.000000e-03	1.000000e-03
5.000000e-02	1.000000e-01	1.921000e+00	7.200694e-02	7.200694e-02
1.000000e-01	1.500000e-01	4.303000e+00	1.509205e-01	1.509205e-01
1.500000e-01	2.000000e-01	3.142000e+00	8.452810e-02	8.452810e-02
2.000000e-01	2.500000e-01	2.210000e+00	6.923150e-02	6.923150e-02
2.500000e-01	3.000000e-01	1.746000e+00	3.921734e-02	3.921734e-02
3.000000e-01	3.500000e-01	1.290000e+00	2.915476e-02	2.915476e-02
3.500000e-01	4.000000e-01	1.076000e+00	2.549510e-02	2.549510e-02
4.000000e-01	4.500000e-01	8.750000e-01	2.236068e-02	2.236068e-02
4.500000e-01	5.000000e-01	6.950000e-01	1.749286e-02	1.749286e-02
5.000000e-01	5.500000e-01	6.270000e-01	1.581139e-02	1.581139e-02
5.500000e-01	6.000000e-01	5.020000e-01	1.360147e-02	1.360147e-02
6.000000e-01	6.500000e-01	4.230000e-01	1.140175e-02	1.140175e-02
6.500000e-01	7.000000e-01	3.470000e-01	9.219544e-03	9.219544e-03
7.000000e-01	7.500000e-01	3.340000e-01	1.303840e-02	1.303840e-02
7.500000e-01	8.000000e-01	2.880000e-01	9.899495e-03	9.899495e-03
8.000000e-01	8.500000e-01	1.290000e-01	1.170470e-02	1.170470e-02
8.500000e-01	9.000000e-01	6.000000e-02	3.605551e-03	3.605551e-03
9.000000e-01	9.500000e-01	1.700000e-02	2.236068e-03	2.236068e-03
9.500000e-01	1.000000e+00	1.000000e-03	0.000000e+00	0.000000e+00
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y02
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d51-x01-y02
ScaledBy=2.30018838542876651e-06
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.425562e-02	1.426859e-03	1.426859e-03
5.000000e-02	1.000000e-01	1.750397e+00	8.973566e-03	8.973566e-03
1.000000e-01	1.500000e-01	3.941234e+00	1.346520e-02	1.346520e-02
1.500000e-01	2.000000e-01	3.283932e+00	1.229119e-02	1.229119e-02
2.000000e-01	2.500000e-01	2.387550e+00	1.048028e-02	1.048028e-02
2.500000e-01	3.000000e-01	1.770225e+00	9.024245e-03	9.024245e-03
3.000000e-01	3.500000e-01	1.390234e+00	7.997250e-03	7.997250e-03
3.500000e-01	4.000000e-01	1.095396e+00	7.098755e-03	7.098755e-03
4.000000e-01	4.500000e-01	8.823522e-01	6.371147e-03	6.371147e-03
4.500000e-01	5.000000e-01	7.204650e-01	5.757092e-03	5.757092e-03
5.000000e-01	5.500000e-01	6.095040e-01	5.295231e-03	5.295231e-03
5.500000e-01	6.000000e-01	5.139080e-01	4.862274e-03	4.862274e-03
6.000000e-01	6.500000e-01	4.310554e-01	4.453108e-03	4.453108e-03
6.500000e-01	7.000000e-01	3.651320e-01	4.098468e-03	4.098468e-03
7.000000e-01	7.500000e-01	3.183000e-01	3.826618e-03	3.826618e-03
7.500000e-01	8.000000e-01	2.626356e-01	3.475949e-03	3.475949e-03
8.000000e-01	8.500000e-01	1.523185e-01	2.647116e-03	2.647116e-03
8.500000e-01	9.000000e-01	6.081698e-02	1.672666e-03	1.672666e-03
9.000000e-01	9.500000e-01	1.715941e-02	8.884803e-04	8.884803e-04
9.500000e-01	1.000000e+00	3.128256e-03	3.793568e-04	3.793568e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y02
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d51-x01-y02
ScaledBy=2.29646436346600784e-06
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.184158e-02	1.386273e-03	1.386273e-03
5.000000e-02	1.000000e-01	1.757163e+00	8.983610e-03	8.983610e-03
1.000000e-01	1.500000e-01	3.971964e+00	1.350665e-02	1.350665e-02
1.500000e-01	2.000000e-01	3.292624e+00	1.229748e-02	1.229748e-02
2.000000e-01	2.500000e-01	2.371696e+00	1.043697e-02	1.043697e-02
2.500000e-01	3.000000e-01	1.771355e+00	9.019816e-03	9.019816e-03
3.000000e-01	3.500000e-01	1.376547e+00	7.951340e-03	7.951340e-03
