# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d52-x01-y01
XLabel=$D$
RatioPlotReference=/L3_2004_I652683/d52-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}D$
DrawOnly=/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d52-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d52-x01-y01
RatioPlot=1
Title=D-parameter, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d52-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d52-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-02	1.757400e+01	3.262208e-01	3.262208e-01
3.200000e-02	6.400000e-02	5.154000e+00	9.542536e-02	9.542536e-02
6.400000e-02	9.600000e-02	2.622000e+00	4.883646e-02	4.883646e-02
9.600000e-02	1.280000e-01	1.620000e+00	3.080584e-02	3.080584e-02
1.280000e-01	1.600000e-01	1.111000e+00	2.570992e-02	2.570992e-02
1.600000e-01	1.920000e-01	7.850000e-01	1.964688e-02	1.964688e-02
1.920000e-01	2.240000e-01	5.630000e-01	1.772005e-02	1.772005e-02
2.240000e-01	2.560000e-01	4.250000e-01	1.360147e-02	1.360147e-02
2.560000e-01	2.880000e-01	3.220000e-01	9.486833e-03	9.486833e-03
2.880000e-01	3.200000e-01	2.410000e-01	8.544004e-03	8.544004e-03
3.200000e-01	3.520000e-01	1.840000e-01	6.708204e-03	6.708204e-03
3.520000e-01	3.840000e-01	1.500000e-01	7.615773e-03	7.615773e-03
3.840000e-01	4.160000e-01	1.110000e-01	5.385165e-03	5.385165e-03
4.160000e-01	4.480000e-01	8.700000e-02	6.324555e-03	6.324555e-03
4.480000e-01	4.800000e-01	6.800000e-02	2.828427e-03	2.828427e-03
4.800000e-01	5.120000e-01	5.700000e-02	2.828427e-03	2.828427e-03
5.120000e-01	5.440000e-01	4.400000e-02	1.414214e-03	1.414214e-03
5.440000e-01	5.760000e-01	3.500000e-02	2.236068e-03	2.236068e-03
5.760000e-01	6.080000e-01	2.700000e-02	1.414214e-03	1.414214e-03
6.080000e-01	6.400000e-01	1.900000e-02	1.414214e-03	1.414214e-03
6.400000e-01	6.720000e-01	1.700000e-02	1.414214e-03	1.414214e-03
6.720000e-01	7.040000e-01	1.200000e-02	1.000000e-03	1.000000e-03
7.040000e-01	7.360000e-01	1.100000e-02	1.414214e-03	1.414214e-03
7.360000e-01	7.680000e-01	8.000000e-03	1.414214e-03	1.414214e-03
7.680000e-01	8.000000e-01	3.000000e-03	1.000000e-03	1.000000e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y01
ScaledBy=6.38874354497324034e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-02	1.686482e+01	1.834947e-02	1.834947e-02
3.200000e-02	6.400000e-02	5.321844e+00	1.030775e-02	1.030775e-02
6.400000e-02	9.600000e-02	2.744145e+00	7.401781e-03	7.401781e-03
9.600000e-02	1.280000e-01	1.731629e+00	5.879768e-03	5.879768e-03
1.280000e-01	1.600000e-01	1.178184e+00	4.849973e-03	4.849973e-03
1.600000e-01	1.920000e-01	8.475666e-01	4.113578e-03	4.113578e-03
1.920000e-01	2.240000e-01	6.162741e-01	3.507679e-03	3.507679e-03
