# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d52-x01-y02
XLabel=$D$
RatioPlotReference=/L3_2004_I652683/d52-x01-y02
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}D$
DrawOnly=/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d52-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d52-x01-y02
RatioPlot=1
Title=D-parameter, b events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d52-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d52-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-02	1.613300e+01	3.385292e-01	3.385292e-01
3.200000e-02	6.400000e-02	5.432000e+00	1.127874e-01	1.127874e-01
6.400000e-02	9.600000e-02	2.858000e+00	6.168468e-02	6.168468e-02
9.600000e-02	1.280000e-01	1.816000e+00	4.071855e-02	4.071855e-02
1.280000e-01	1.600000e-01	1.307000e+00	3.534119e-02	3.534119e-02
1.600000e-01	1.920000e-01	9.440000e-01	2.817801e-02	2.817801e-02
1.920000e-01	2.240000e-01	6.980000e-01	2.683282e-02	2.683282e-02
2.240000e-01	2.560000e-01	5.040000e-01	1.972308e-02	1.972308e-02
2.560000e-01	2.880000e-01	3.680000e-01	1.360147e-02	1.360147e-02
2.880000e-01	3.200000e-01	2.730000e-01	9.899495e-03	9.899495e-03
3.200000e-01	3.520000e-01	2.270000e-01	9.219544e-03	9.219544e-03
3.520000e-01	3.840000e-01	1.600000e-01	8.485281e-03	8.485281e-03
3.840000e-01	4.160000e-01	1.160000e-01	7.071068e-03	7.071068e-03
4.160000e-01	4.480000e-01	8.200000e-02	7.211103e-03	7.211103e-03
4.480000e-01	4.800000e-01	7.700000e-02	5.656854e-03	5.656854e-03
4.800000e-01	5.120000e-01	6.000000e-02	5.000000e-03	5.000000e-03
5.120000e-01	5.440000e-01	4.900000e-02	5.000000e-03	5.000000e-03
5.440000e-01	5.760000e-01	3.300000e-02	3.605551e-03	3.605551e-03
5.760000e-01	6.080000e-01	3.000000e-02	3.605551e-03	3.605551e-03
6.080000e-01	6.400000e-01	1.700000e-02	2.236068e-03	2.236068e-03
6.400000e-01	6.720000e-01	2.300000e-02	3.162278e-03	3.162278e-03
6.720000e-01	7.040000e-01	1.800000e-02	2.000000e-03	2.000000e-03
7.040000e-01	7.360000e-01	1.200000e-02	2.828427e-03	2.828427e-03
7.360000e-01	7.680000e-01	5.000000e-03	1.414214e-03	1.414214e-03
7.680000e-01	8.000000e-01	7.000000e-03	3.162278e-03	3.162278e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y02
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d52-x01-y02
ScaledBy=2.30018838542876651e-06
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-02	1.551125e+01	3.339105e-02	3.339105e-02
3.200000e-02	6.400000e-02	5.820556e+00	2.045450e-02	2.045450e-02
6.400000e-02	9.600000e-02	2.957036e+00	1.457925e-02	1.457925e-02
9.600000e-02	1.280000e-01	1.862074e+00	1.156925e-02	1.156925e-02
1.280000e-01	1.600000e-01	1.282283e+00	9.600607e-03	9.600607e-03
1.600000e-01	1.920000e-01	9.302825e-01	8.177379e-03	8.177379e-03
1.920000e-01	2.240000e-01	6.974603e-01	7.080541e-03	7.080541e-03
2.240000e-01	2.560000e-01	5.271744e-01	6.155792e-03	6.155792e-03
2.560000e-01	2.880000e-01	3.849222e-01	5.260090e-03	5.260090e-03
2.880000e-01	3.200000e-01	2.958617e-01	4.611595e-03	4.611595e-03
3.200000e-01	3.520000e-01	2.252747e-01	4.024046e-03	4.024046e-03
3.520000e-01	3.840000e-01	1.703577e-01	3.499351e-03	3.499351e-03
3.840000e-01	4.160000e-01	1.331234e-01	3.093385e-03	3.093385e-03
4.160000e-01	4.480000e-01	1.030772e-01	2.721999e-03	2.721999e-03
4.480000e-01	4.800000e-01	8.359747e-02	2.451339e-03	2.451339e-03
4.800000e-01	5.120000e-01	5.951737e-02	2.068372e-03	2.068372e-03
5.120000e-01	5.440000e-01	4.751328e-02	1.848052e-03	1.848052e-03
5.440000e-01	5.760000e-01	3.694678e-02	1.629652e-03	1.629652e-03
5.760000e-01	6.080000e-01	3.011809e-02	1.471365e-03	1.471365e-03
6.080000e-01	6.400000e-01	2.451138e-02	1.327366e-03	1.327366e-03
6.400000e-01	6.720000e-01	1.746706e-02	1.120512e-03	1.120512e-03
6.720000e-01	7.040000e-01	1.358549e-02	9.881988e-04	9.881988e-04
7.040000e-01	7.360000e-01	1.171658e-02	9.177138e-04	9.177138e-04
7.360000e-01	7.680000e-01	8.985109e-03	8.036527e-04	8.036527e-04
7.680000e-01	8.000000e-01	5.391066e-03	6.225067e-04	6.225067e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y02
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d52-x01-y02
ScaledBy=2.29646436346600784e-06
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
