# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d59-x01-y02
XLabel=$N_ch$
RatioPlotReference=/L3_2004_I652683/d59-x01-y02
YLabel=$P(N_ch)$
DrawOnly=/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d59-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d59-x01-y02
RatioPlot=1
Title=Charged multiplicity, udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d59-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d59-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	3.000000e+00	2.100000e-05	4.472136e-06	4.472136e-06
3.000000e+00	5.000000e+00	3.310000e-04	3.041381e-05	3.041381e-05
5.000000e+00	7.000000e+00	2.582000e-03	1.963288e-04	1.963288e-04
7.000000e+00	9.000000e+00	1.133500e-02	7.302013e-04	7.302013e-04
9.000000e+00	1.100000e+01	3.282100e-02	1.772191e-03	1.772191e-03
1.100000e+01	1.300000e+01	6.699500e-02	2.913803e-03	2.913803e-03
1.300000e+01	1.500000e+01	1.043050e-01	3.403512e-03	3.403512e-03
1.500000e+01	1.700000e+01	1.302150e-01	2.806035e-03	2.806035e-03
1.700000e+01	1.900000e+01	1.378740e-01	1.621055e-03	1.621055e-03
1.900000e+01	2.100000e+01	1.283850e-01	9.344357e-04	9.344357e-04
2.100000e+01	2.300000e+01	1.093030e-01	1.662550e-03	1.662550e-03
2.300000e+01	2.500000e+01	8.627400e-02	1.999326e-03	1.999326e-03
2.500000e+01	2.700000e+01	6.417200e-02	2.130429e-03	2.130429e-03
2.700000e+01	2.900000e+01	4.549500e-02	1.999362e-03	1.999362e-03
2.900000e+01	3.100000e+01	3.075000e-02	1.795373e-03	1.795373e-03
3.100000e+01	3.300000e+01	1.997400e-02	1.432767e-03	1.432767e-03
3.300000e+01	3.500000e+01	1.243400e-02	1.130170e-03	1.130170e-03
3.500000e+01	3.700000e+01	7.410000e-03	8.098024e-04	8.098024e-04
3.700000e+01	3.900000e+01	4.343000e-03	5.525233e-04	5.525233e-04
3.900000e+01	4.100000e+01	2.433000e-03	3.563510e-04	3.563510e-04
4.100000e+01	4.300000e+01	1.284000e-03	2.379286e-04	2.379286e-04
4.300000e+01	4.500000e+01	6.510000e-04	1.426885e-04	1.426885e-04
4.500000e+01	4.700000e+01	3.300000e-04	8.670063e-05	8.670063e-05
4.700000e+01	4.900000e+01	1.490000e-04	5.544367e-05	5.544367e-05
4.900000e+01	5.100000e+01	7.200000e-05	3.157531e-05	3.157531e-05
5.100000e+01	5.300000e+01	3.300000e-05	1.868154e-05	1.868154e-05
5.300000e+01	5.500000e+01	1.400000e-05	2.319483e-05	2.319483e-05
5.500000e+01	5.700000e+01	1.100000e-05	1.264911e-05	1.264911e-05
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d59-x01-y02
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d59-x01-y02
ScaledBy=1.27774870899464807e-06
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	3.000000e+00	2.427723e-05	3.938286e-06	3.938286e-06
3.000000e+00	5.000000e+00	3.820468e-04	1.562306e-05	1.562306e-05
5.000000e+00	7.000000e+00	2.889629e-03	4.296638e-05	4.296638e-05
7.000000e+00	9.000000e+00	1.226255e-02	8.851120e-05	8.851120e-05
9.000000e+00	1.100000e+01	3.520517e-02	1.499723e-04	1.499723e-04
1.100000e+01	1.300000e+01	7.048955e-02	2.122121e-04	2.122121e-04
1.300000e+01	1.500000e+01	1.075200e-01	2.620912e-04	2.620912e-04
1.500000e+01	1.700000e+01	1.318669e-01	2.902522e-04	2.902522e-04
1.700000e+01	1.900000e+01	1.368322e-01	2.956663e-04	2.956663e-04
