# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y01
XLabel=$\xi_p$
RatioPlotReference=/L3_2004_I652683/d65-x01-y01
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}\xi_p$
DrawOnly=/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y01
RatioPlot=1
Title=Log of scaled momentum distribution (charged)
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d65-x01-y01
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d65-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.500000e-02	1.414214e-03	1.414214e-03
2.000000e-01	4.000000e-01	8.400000e-02	5.099020e-03	5.099020e-03
4.000000e-01	6.000000e-01	2.200000e-01	1.216553e-02	1.216553e-02
6.000000e-01	8.000000e-01	4.170000e-01	9.219544e-03	9.219544e-03
8.000000e-01	1.000000e+00	6.900000e-01	1.236932e-02	1.236932e-02
1.000000e+00	1.200000e+00	1.047000e+00	1.552417e-02	1.552417e-02
1.200000e+00	1.400000e+00	1.481000e+00	1.208305e-02	1.208305e-02
1.400000e+00	1.600000e+00	1.986000e+00	1.676305e-02	1.676305e-02
1.600000e+00	1.800000e+00	2.550000e+00	1.081665e-02	1.081665e-02
1.800000e+00	2.000000e+00	3.104000e+00	2.213594e-02	2.213594e-02
2.000000e+00	2.200000e+00	3.642000e+00	4.751842e-02	4.751842e-02
2.200000e+00	2.400000e+00	4.211000e+00	4.472136e-02	4.472136e-02
2.400000e+00	2.600000e+00	4.697000e+00	3.883298e-02	3.883298e-02
2.600000e+00	2.800000e+00	5.156000e+00	3.492850e-02	3.492850e-02
2.800000e+00	3.000000e+00	5.555000e+00	6.166036e-02	6.166036e-02
3.000000e+00	3.200000e+00	5.896000e+00	2.193171e-02	2.193171e-02
3.200000e+00	3.400000e+00	6.104000e+00	5.178803e-02	5.178803e-02
3.400000e+00	3.600000e+00	6.253000e+00	6.661081e-02	6.661081e-02
3.600000e+00	3.800000e+00	6.278000e+00	6.675328e-02	6.675328e-02
3.800000e+00	4.000000e+00	6.201000e+00	4.903060e-02	4.903060e-02
4.000000e+00	4.200000e+00	6.000000e+00	5.375872e-02	5.375872e-02
4.200000e+00	4.400000e+00	5.681000e+00	4.981967e-02	4.981967e-02
4.400000e+00	4.600000e+00	5.237000e+00	5.968249e-02	5.968249e-02
4.600000e+00	4.800000e+00	4.629000e+00	5.178803e-02	5.178803e-02
4.800000e+00	5.000000e+00	3.890000e+00	7.343705e-02	7.343705e-02
5.000000e+00	5.200000e+00	3.239000e+00	4.373786e-02	4.373786e-02
5.200000e+00	5.400000e+00	2.615000e+00	6.946222e-02	6.946222e-02
5.400000e+00	5.600000e+00	1.967000e+00	7.632169e-02	7.632169e-02
5.600000e+00	5.800000e+00	1.433000e+00	2.162799e-01	2.162799e-01
5.800000e+00	6.000000e+00	8.040000e-01	8.704596e-02	8.704596e-02
6.000000e+00	6.200000e+00	4.950000e-01	7.045566e-02	7.045566e-02
6.200000e+00	6.400000e+00	3.230000e-01	4.539824e-02	4.539824e-02
6.400000e+00	6.600000e+00	2.080000e-01	4.393177e-02	4.393177e-02
6.600000e+00	6.800000e+00	1.340000e-01	4.522168e-02	4.522168e-02
6.800000e+00	7.000000e+00	8.900000e-02	4.219005e-02	4.219005e-02
7.000000e+00	7.200000e+00	6.200000e-02	9.470480e-02	9.470480e-02
7.200000e+00	7.400000e+00	4.600000e-02	2.630589e-02	2.630589e-02
7.400000e+00	7.600000e+00	3.400000e-02	2.022375e-02	2.022375e-02
7.600000e+00	7.800000e+00	2.600000e-02	4.390900e-02	4.390900e-02
7.800000e+00	8.000000e+00	2.200000e-02	1.414214e-03	1.414214e-03
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y01
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.196000e-02	1.729162e-04	1.729162e-04
2.000000e-01	4.000000e-01	7.270500e-02	4.263361e-04	4.263361e-04
4.000000e-01	6.000000e-01	1.999325e-01	7.069874e-04	7.069874e-04
6.000000e-01	8.000000e-01	4.099325e-01	1.012339e-03	1.012339e-03
8.000000e-01	1.000000e+00	7.067225e-01	1.329213e-03	1.329213e-03
1.000000e+00	1.200000e+00	1.082135e+00	1.644791e-03	1.644791e-03
1.200000e+00	1.400000e+00	1.529868e+00	1.955676e-03	1.955676e-03
1.400000e+00	1.600000e+00	2.031030e+00	2.253348e-03	2.253348e-03
1.600000e+00	1.800000e+00	2.565328e+00	2.532453e-03	2.532453e-03
1.800000e+00	2.000000e+00	3.129320e+00	2.797016e-03	2.797016e-03
2.000000e+00	2.200000e+00	3.678710e+00	3.032619e-03	3.032619e-03
2.200000e+00	2.400000e+00	4.207120e+00	3.243116e-03	3.243116e-03
2.400000e+00	2.600000e+00	4.711980e+00	3.432193e-03	3.432193e-03
2.600000e+00	2.800000e+00	5.173055e+00	3.596198e-03	3.596198e-03
2.800000e+00	3.000000e+00	5.595980e+00	3.740314e-03	3.740314e-03
3.000000e+00	3.200000e+00	5.959325e+00	3.859833e-03	3.859833e-03
3.200000e+00	3.400000e+00	6.240540e+00	3.949854e-03	3.949854e-03
3.400000e+00	3.600000e+00	6.429900e+00	4.009334e-03	4.009334e-03
3.600000e+00	3.800000e+00	6.492430e+00	4.028781e-03	4.028781e-03
3.800000e+00	4.000000e+00	6.410900e+00	4.003405e-03	4.003405e-03
4.000000e+00	4.200000e+00	6.135995e+00	3.916630e-03	3.916630e-03
4.200000e+00	4.400000e+00	5.694420e+00	3.773070e-03	3.773070e-03
4.400000e+00	4.600000e+00	5.097675e+00	3.569901e-03	3.569901e-03
4.600000e+00	4.800000e+00	4.386780e+00	3.311639e-03	3.311639e-03
4.800000e+00	5.000000e+00	3.630502e+00	3.012683e-03	3.012683e-03
5.000000e+00	5.200000e+00	2.877600e+00	2.682163e-03	2.682163e-03
5.200000e+00	5.400000e+00	2.194732e+00	2.342399e-03	2.342399e-03
5.400000e+00	5.600000e+00	1.597610e+00	1.998506e-03	1.998506e-03
5.600000e+00	5.800000e+00	1.118367e+00	1.672100e-03	1.672100e-03
5.800000e+00	6.000000e+00	7.554550e-01	1.374277e-03	1.374277e-03
6.000000e+00	6.200000e+00	4.970100e-01	1.114686e-03	1.114686e-03
6.200000e+00	6.400000e+00	3.209250e-01	8.957190e-04	8.957190e-04
6.400000e+00	6.600000e+00	2.083050e-01	7.216388e-04	7.216388e-04
6.600000e+00	6.800000e+00	1.350150e-01	5.809798e-04	5.809798e-04
6.800000e+00	7.000000e+00	9.053000e-02	4.757363e-04	4.757363e-04
7.000000e+00	7.200000e+00	6.398500e-02	3.999531e-04	3.999531e-04
7.200000e+00	7.400000e+00	4.628500e-02	3.401654e-04	3.401654e-04
7.400000e+00	7.600000e+00	3.441750e-02	2.933321e-04	2.933321e-04
7.600000e+00	7.800000e+00	2.711500e-02	2.603603e-04	2.603603e-04
7.800000e+00	8.000000e+00	2.095250e-02	2.288695e-04	2.288695e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y01
LineColor=red
LineStyle=dashed
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y01
ScaledBy=4.99999999999999977e-07
Title=$\Delta\rho=-10\%$
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.193500e-02	1.727353e-04	1.727353e-04
2.000000e-01	4.000000e-01	7.354000e-02	4.287773e-04	4.287773e-04
4.000000e-01	6.000000e-01	2.007700e-01	7.084667e-04	7.084667e-04
6.000000e-01	8.000000e-01	4.115975e-01	1.014393e-03	1.014393e-03
8.000000e-01	1.000000e+00	7.093375e-01	1.331670e-03	1.331670e-03
