# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y02
XLabel=$\xi_p$
RatioPlotReference=/L3_2004_I652683/d65-x01-y02
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}\xi_p$
DrawOnly=/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y02 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y02
RatioPlot=1
Title=Log of scaled momentum distribution (charged), udsc events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d65-x01-y02
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d65-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.800000e-02	1.414214e-03	1.414214e-03
2.000000e-01	4.000000e-01	1.010000e-01	6.082763e-03	6.082763e-03
4.000000e-01	6.000000e-01	2.560000e-01	1.513275e-02	1.513275e-02
6.000000e-01	8.000000e-01	4.710000e-01	1.824829e-02	1.824829e-02
8.000000e-01	1.000000e+00	7.670000e-01	2.531798e-02	2.531798e-02
1.000000e+00	1.200000e+00	1.142000e+00	3.041381e-02	3.041381e-02
1.200000e+00	1.400000e+00	1.582000e+00	2.844293e-02	2.844293e-02
1.400000e+00	1.600000e+00	2.077000e+00	2.668333e-02	2.668333e-02
1.600000e+00	1.800000e+00	2.599000e+00	1.476482e-02	1.476482e-02
1.800000e+00	2.000000e+00	3.092000e+00	2.720294e-02	2.720294e-02
2.000000e+00	2.200000e+00	3.536000e+00	5.656854e-02	5.656854e-02
2.200000e+00	2.400000e+00	4.035000e+00	6.661081e-02	6.661081e-02
2.400000e+00	2.600000e+00	4.458000e+00	7.553807e-02	7.553807e-02
2.600000e+00	2.800000e+00	4.884000e+00	8.558621e-02	8.558621e-02
2.800000e+00	3.000000e+00	5.261000e+00	1.094578e-01	1.094578e-01
3.000000e+00	3.200000e+00	5.610000e+00	9.751410e-02	9.751410e-02
3.200000e+00	3.400000e+00	5.829000e+00	1.115437e-01	1.115437e-01
3.400000e+00	3.600000e+00	5.965000e+00	1.224949e-01	1.224949e-01
3.600000e+00	3.800000e+00	6.024000e+00	1.185116e-01	1.185116e-01
3.800000e+00	4.000000e+00	5.976000e+00	1.075639e-01	1.075639e-01
4.000000e+00	4.200000e+00	5.805000e+00	1.006032e-01	1.006032e-01
4.200000e+00	4.400000e+00	5.519000e+00	9.166242e-02	9.166242e-02
4.400000e+00	4.600000e+00	5.100000e+00	8.161495e-02	8.161495e-02
4.600000e+00	4.800000e+00	4.534000e+00	6.576473e-02	6.576473e-02
4.800000e+00	5.000000e+00	3.817000e+00	8.050466e-02	8.050466e-02
5.000000e+00	5.200000e+00	3.180000e+00	4.981967e-02	4.981967e-02
