# BEGIN PLOT
LegendOnly=/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y03
XLabel=$\xi_p$
RatioPlotReference=/L3_2004_I652683/d65-x01-y03
YLabel=$1/\sigma \mathrm{d}\sigma/\mathrm{d}\xi_p$
DrawOnly=/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/L3_2004_I652683/d65-x01-y03 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/L3_2004_I652683/d65-x01-y03
RatioPlot=1
Title=Log of scaled momentum distribution (charged), b events
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D /L3_2004_I652683/d65-x01-y03
ConnectBins=0
ErrorBars=1
Path=/L3_2004_I652683/d65-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.000000e-03	1.414214e-03	1.414214e-03
2.000000e-01	4.000000e-01	1.500000e-02	4.472136e-03	4.472136e-03
4.000000e-01	6.000000e-01	8.300000e-02	1.334166e-02	1.334166e-02
6.000000e-01	8.000000e-01	2.150000e-01	1.300000e-02	1.300000e-02
8.000000e-01	1.000000e+00	4.110000e-01	1.655295e-02	1.655295e-02
1.000000e+00	1.200000e+00	7.060000e-01	2.102380e-02	2.102380e-02
1.200000e+00	1.400000e+00	1.124000e+00	2.024846e-02	2.024846e-02
1.400000e+00	1.600000e+00	1.687000e+00	3.220248e-02	3.220248e-02
1.600000e+00	1.800000e+00	2.384000e+00	3.400000e-02	3.400000e-02
1.800000e+00	2.000000e+00	3.155000e+00	6.484597e-02	6.484597e-02
2.000000e+00	2.200000e+00	4.088000e+00	9.556673e-02	9.556673e-02
2.200000e+00	2.400000e+00	4.905000e+00	1.086830e-01	1.086830e-01
2.400000e+00	2.600000e+00	5.619000e+00	1.198541e-01	1.198541e-01
2.600000e+00	2.800000e+00	6.221000e+00	1.239758e-01	1.239758e-01
2.800000e+00	3.000000e+00	6.598000e+00	1.310267e-01	1.310267e-01
3.000000e+00	3.200000e+00	6.998000e+00	9.265528e-02	9.265528e-02
3.200000e+00	3.400000e+00	7.128000e+00	9.486833e-02	9.486833e-02
3.400000e+00	3.600000e+00	7.336000e+00	9.424436e-02	9.424436e-02
3.600000e+00	3.800000e+00	7.162000e+00	8.731552e-02	8.731552e-02
3.800000e+00	4.000000e+00	7.052000e+00	7.201389e-02	7.201389e-02
4.000000e+00	4.200000e+00	6.699000e+00	7.432362e-02	7.432362e-02
4.200000e+00	4.400000e+00	6.275000e+00	7.249828e-02	7.249828e-02
4.400000e+00	4.600000e+00	5.716000e+00	8.415462e-02	8.415462e-02
4.600000e+00	4.800000e+00	4.995000e+00	7.725283e-02	7.725283e-02
4.800000e+00	5.000000e+00	4.164000e+00	9.080198e-02	9.080198e-02
5.000000e+00	5.200000e+00	3.410000e+00	6.500000e-02	6.500000e-02
