# BEGIN PLOT
LegendOnly=/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/OPAL_1994_S2927284/d02-x01-y01
DrawOnly=/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/OPAL_1994_S2927284/d02-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/OPAL_1994_S2927284/d02-x01-y01
Title=$K^\pm$ momentum
RatioPlotReference=/OPAL_1994_S2927284/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p$ [GeV]
YLabel=$1/\sigma \, \text{d}\sigma/\text{d}p$ [$\text{GeV}^-1$]
Legend=1
# END PLOT

# BEGIN HISTO1D /OPAL_1994_S2927284/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/OPAL_1994_S2927284/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.710000e-01	2.810000e-01	3.630000e-01	4.103657e-02	4.103657e-02
2.810000e-01	2.920000e-01	3.730000e-01	3.889730e-02	3.889730e-02
2.920000e-01	3.040000e-01	3.670000e-01	3.465545e-02	3.465545e-02
3.040000e-01	3.170000e-01	3.740000e-01	3.182766e-02	3.182766e-02
3.170000e-01	3.310000e-01	3.750000e-01	2.831960e-02	2.831960e-02
3.310000e-01	3.460000e-01	4.100000e-01	2.758623e-02	2.758623e-02
3.460000e-01	3.620000e-01	4.310000e-01	2.758623e-02	2.758623e-02
3.620000e-01	3.790000e-01	4.180000e-01	2.690725e-02	2.690725e-02
3.790000e-01	3.970000e-01	4.560000e-01	2.408319e-02	2.408319e-02
3.970000e-01	4.160000e-01	4.990000e-01	2.475884e-02	2.475884e-02
4.160000e-01	4.360000e-01	5.140000e-01	2.334524e-02	2.334524e-02
4.360000e-01	4.570000e-01	4.860000e-01	1.555635e-02	1.555635e-02
4.570000e-01	4.800000e-01	5.220000e-01	1.555635e-02	1.555635e-02
4.800000e-01	5.040000e-01	5.410000e-01	1.627882e-02	1.627882e-02
5.040000e-01	5.280000e-01	5.390000e-01	2.109502e-02	2.109502e-02
5.280000e-01	5.550000e-01	5.570000e-01	2.282542e-02	2.282542e-02
5.550000e-01	5.830000e-01	5.870000e-01	1.780449e-02	1.780449e-02
5.830000e-01	6.120000e-01	5.900000e-01	4.903060e-02	4.903060e-02
6.120000e-01	6.430000e-01	5.860000e-01	1.886796e-02	1.886796e-02
6.430000e-01	6.750000e-01	5.910000e-01	4.512206e-02	4.512206e-02
6.750000e-01	7.090000e-01	6.140000e-01	2.563201e-02	2.563201e-02
7.090000e-01	7.450000e-01	5.970000e-01	2.657066e-02	2.657066e-02
7.450000e-01	7.830000e-01	6.130000e-01	3.228002e-02	3.228002e-02
4.050000e+00	4.950000e+00	1.810000e-01	1.552417e-02	1.552417e-02
4.950000e+00	6.050000e+00	1.380000e-01	9.486833e-03	9.486833e-03
6.050000e+00	7.380000e+00	1.030000e-01	6.082763e-03	6.082763e-03
7.380000e+00	9.020000e+00	7.670000e-02	4.317407e-03	4.317407e-03
9.020000e+00	1.101000e+01	5.360000e-02	2.961419e-03	2.961419e-03
1.101000e+01	1.345000e+01	3.490000e-02	1.868154e-03	1.868154e-03
1.345000e+01	1.643000e+01	2.200000e-02	1.236932e-03	1.236932e-03
1.643000e+01	2.006000e+01	1.270000e-02	7.615773e-04	7.615773e-04
2.006000e+01	2.993000e+01	4.200000e-03	3.162278e-04	3.162278e-04
2.993000e+01	4.560000e+01	4.000000e-04	1.414214e-04	1.414214e-04
# END HISTO1D

# BEGIN HISTO1D //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d02-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
LineWidth=1.3pt
Path=//media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d02-x01-y01
ScaledBy=4.99999999999999977e-07
Title=nominal
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
2.710000e-01	2.810000e-01	3.347500e-01	4.091149e-03	4.091149e-03
2.810000e-01	2.920000e-01	3.634091e-01	4.064307e-03	4.064307e-03
2.920000e-01	3.040000e-01	3.760833e-01	3.958553e-03	3.958553e-03
3.040000e-01	3.170000e-01	3.943462e-01	3.894504e-03	3.894504e-03
3.170000e-01	3.310000e-01	4.172143e-01	3.860118e-03	3.860118e-03
3.310000e-01	3.460000e-01	4.350667e-01	3.808178e-03	3.808178e-03
3.460000e-01	3.620000e-01	4.559375e-01	3.774659e-03	3.774659e-03
3.620000e-01	3.790000e-01	4.734412e-01	3.731587e-03	3.731587e-03
3.790000e-01	3.970000e-01	4.985278e-01	3.721289e-03	3.721289e-03
3.970000e-01	4.160000e-01	5.229737e-01	3.709780e-03	3.709780e-03
4.160000e-01	4.360000e-01	5.350000e-01	3.657185e-03	3.657185e-03
4.360000e-01	4.570000e-01	5.650952e-01	3.668058e-03	3.668058e-03
4.570000e-01	4.800000e-01	5.855000e-01	3.567669e-03	3.567669e-03
4.800000e-01	5.040000e-01	5.956042e-01	3.522559e-03	3.522559e-03
