# BEGIN PLOT
LegendOnly=/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/OPAL_1994_S2927284/d03-x01-y01
DrawOnly=/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/Monash.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoDown.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/RhoUp.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaDown.yoda/OPAL_1994_S2927284/d03-x01-y01 //media/adil/70aa4125-8ea2-43be-afcf-88b43c0b7507/adil/Work/QCD_events/EtaUp.yoda/OPAL_1994_S2927284/d03-x01-y01
Title=$p,\bar{p}$ momentum
RatioPlotReference=/OPAL_1994_S2927284/d03-x01-y01
RatioPlot=1
LogY=1
XLabel=$p$ [GeV]
YLabel=$1/\sigma \, \text{d}\sigma/\text{d}p$ [$\text{GeV}^-1$]
Legend=1
# END PLOT

# BEGIN HISTO1D /OPAL_1994_S2927284/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/OPAL_1994_S2927284/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.060000e-01	4.210000e-01	1.690000e-01	1.640122e-02	1.640122e-02
4.210000e-01	4.380000e-01	1.740000e-01	1.749286e-02	1.749286e-02
4.380000e-01	4.560000e-01	1.710000e-01	1.500000e-02	1.500000e-02
4.560000e-01	4.750000e-01	1.850000e-01	1.700000e-02	1.700000e-02
4.750000e-01	4.950000e-01	1.810000e-01	1.000000e-02	1.000000e-02
4.950000e-01	5.170000e-01	2.020000e-01	1.280625e-02	1.280625e-02
5.170000e-01	5.410000e-01	2.150000e-01	1.442221e-02	1.442221e-02
5.410000e-01	5.650000e-01	2.280000e-01	1.612452e-02	1.612452e-02
5.650000e-01	5.920000e-01	2.300000e-01	1.280625e-02	1.280625e-02
5.920000e-01	6.200000e-01	2.300000e-01	1.063015e-02	1.063015e-02
6.200000e-01	6.500000e-01	2.360000e-01	1.389244e-02	1.389244e-02
6.500000e-01	6.810000e-01	2.390000e-01	1.063015e-02	1.063015e-02
6.810000e-01	7.140000e-01	2.460000e-01	9.219544e-03	9.219544e-03
7.140000e-01	7.500000e-01	2.480000e-01	1.140175e-02	1.140175e-02
7.500000e-01	7.870000e-01	2.480000e-01	9.848858e-03	9.848858e-03
7.870000e-01	8.260000e-01	2.540000e-01	8.944272e-03	8.944272e-03
8.260000e-01	8.670000e-01	2.600000e-01	8.062258e-03	8.062258e-03
8.670000e-01	9.110000e-01	2.600000e-01	8.062258e-03	8.062258e-03
9.110000e-01	9.570000e-01	2.570000e-01	7.211103e-03	7.211103e-03
9.570000e-01	1.005000e+00	2.630000e-01	8.062258e-03	8.062258e-03
1.005000e+00	1.056000e+00	2.570000e-01	2.137756e-02	2.137756e-02
1.056000e+00	1.109000e+00	2.560000e-01	2.729469e-02	2.729469e-02
1.109000e+00	1.166000e+00	2.570000e-01	2.927456e-02	2.927456e-02
1.166000e+00	1.225000e+00	2.480000e-01	2.729469e-02	2.729469e-02
1.225000e+00	1.287000e+00	2.410000e-01	1.746425e-02	1.746425e-02
1.287000e+00	1.353000e+00	2.500000e-01	1.649242e-02	1.649242e-02
1.353000e+00	1.422000e+00	2.450000e-01	2.137756e-02	2.137756e-02
